skill,prompt,id_prompt
addition-subtraction,Create a true-or-false question with a brief explanation that asks students to find a missing total after adding and subtracting garden plants. Include the correct answer.,48
addition-subtraction,Create a fill-in-the-blank question about cookies that combines addition and subtraction. Make it very easy. Make the numbers easy to calculate mentally.,49
addition-subtraction,Create a real-life classroom problem about flowers that combines addition and subtraction. Make it very easy. Keep the question under 45 words.,50
addition-subtraction,Create a real-life classroom problem about water bottles that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.,51
addition-subtraction,Generate a short word problem using two operations: one addition and one subtraction. Use books. Add one short hint.,52
addition-subtraction,Create a question that asks students to explain their reasoning about pencils that combines addition and subtraction. Make it moderate. Include the correct answer.,53
addition-subtraction,Create a short word problem that asks students to find a missing total after adding and subtracting toy cars. Include the correct answer.,54
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using toy cars. Make it easy. Make the numbers easy to calculate mentally.,55
addition-subtraction,Create a question that asks students to explain their reasoning about coins that combines addition and subtraction. Make it easy. Include the correct answer.,56
addition-subtraction,Create a fill-in-the-blank question about coins that combines addition and subtraction. Make it slightly challenging. Use simple vocabulary suitable for elementary students.,57
addition-subtraction,"Write a true-or-false question with a brief explanation where students first add and then subtract using notebooks. Make it slightly challenging. Ask for a written answer, not a drawing.",58
addition-subtraction,Write a two-step problem with three quantities related to sports balls. Students must decide whether to add or subtract. Include the correct answer.,59
addition-subtraction,Write a fill-in-the-blank question with three quantities related to garden plants. Students must decide whether to add or subtract. Make the numbers easy to calculate mentally.,60
addition-subtraction,Create a fill-in-the-blank question about recycling bins that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.,61
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using animals on a farm. Make it very easy. Keep the question under 45 words.,62
addition-subtraction,Write a short word problem with three quantities related to recycling bins. Students must decide whether to add or subtract. Make the numbers easy to calculate mentally.,63
addition-subtraction,Write a two-step problem with three quantities related to colored blocks. Students must decide whether to add or subtract. Use simple vocabulary suitable for elementary students.,64
addition-subtraction,Create a question that asks students to explain their reasoning about sports balls that combines addition and subtraction. Make it very easy. Add one short hint.,65
addition-subtraction,Write a multiple-choice question with four options with three quantities related to coins. Students must decide whether to add or subtract. Include the correct answer.,66
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using recycling bins. Make it slightly challenging. Add one short hint.,67
addition-subtraction,Write a true-or-false question with a brief explanation with three quantities related to notebooks. Students must decide whether to add or subtract. Keep the question under 45 words.,68
addition-subtraction,Write a simple challenge question where students first add and then subtract using animals on a farm. Make it moderate. Add one short hint.,69
addition-subtraction,Write a short word problem where students first add and then subtract using colored blocks. Make it easy. Include the correct answer.,70
addition-subtraction,"Write a true-or-false question with a brief explanation where students first add and then subtract using birthday candles. Make it very easy. Ask for a written answer, not a drawing.",71
addition-subtraction,Create a fill-in-the-blank question about coins that combines addition and subtraction. Make it easy. Use whole numbers only.,72
addition-subtraction,Write a short word problem with three quantities related to stickers. Students must decide whether to add or subtract. Add one short hint.,73
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using water bottles. Make it very easy. Use simple vocabulary suitable for elementary students.,74
addition-subtraction,Create a question that asks students to explain their reasoning about sports balls that combines addition and subtraction. Make it very easy. Keep the question under 45 words.,75
addition-subtraction,"Create a question that asks students to explain their reasoning about animals on a farm that combines addition and subtraction. Make it very easy. Ask for a written answer, not a drawing.",76
addition-subtraction,Create a short word problem about sports balls that combines addition and subtraction. Make it moderate. Keep the question under 45 words.,77
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using fruit baskets. Make it very easy. Include the correct answer.,78
addition-subtraction,Generate a fill-in-the-blank question using two operations: one addition and one subtraction. Use school supplies. Use whole numbers only.,79
addition-subtraction,Write a short word problem where students first add and then subtract using animals on a farm. Make it easy. Use whole numbers only.,80
addition-subtraction,Create a true-or-false question with a brief explanation about fruit baskets that combines addition and subtraction. Make it moderate. Use simple vocabulary suitable for elementary students.,81
addition-subtraction,Generate a fill-in-the-blank question using two operations: one addition and one subtraction. Use coins. Include the correct answer.,82
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using toy cars. Make it slightly challenging. Make the numbers easy to calculate mentally.,83
addition-subtraction,Write a short word problem with three quantities related to school supplies. Students must decide whether to add or subtract. Use whole numbers only.,84
addition-subtraction,Generate a real-life classroom problem using two operations: one addition and one subtraction. Use books. Add one short hint.,85
addition-subtraction,Create a real-life classroom problem about water bottles that combines addition and subtraction. Make it very easy. Keep the question under 45 words.,86
addition-subtraction,Create a fill-in-the-blank question about notebooks that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.,87
addition-subtraction,"Generate a short word problem using two operations: one addition and one subtraction. Use flowers. Ask for a written answer, not a drawing.",88
addition-subtraction,Create a short word problem that asks students to find a missing total after adding and subtracting marbles. Include the correct answer.,89
addition-subtraction,Write a real-life classroom problem with three quantities related to bus passengers. Students must decide whether to add or subtract. Avoid decimals and negative numbers.,90
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using bus passengers. Make it moderate. Make the numbers easy to calculate mentally.,91
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of bus passengers using addition and subtraction. Use whole numbers only.,92
addition-subtraction,Create a short word problem about water bottles that combines addition and subtraction. Make it easy. Avoid decimals and negative numbers.,93
addition-subtraction,Generate a real-life classroom problem using two operations: one addition and one subtraction. Use classroom chairs. Make the numbers easy to calculate mentally.,94
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using pencils. Make it easy. Avoid decimals and negative numbers.,95
addition-subtraction,"Write a true-or-false question with a brief explanation with three quantities related to stickers. Students must decide whether to add or subtract. Ask for a written answer, not a drawing.",96
addition-subtraction,Create a real-life classroom problem about coins that combines addition and subtraction. Make it moderate. Include the correct answer.,97
addition-subtraction,Generate a fill-in-the-blank question using two operations: one addition and one subtraction. Use notebooks. Include the correct answer.,98
addition-subtraction,Create a short word problem about garden plants that combines addition and subtraction. Make it easy. Use whole numbers only.,99
addition-subtraction,Create a two-step problem that asks students to find a missing total after adding and subtracting notebooks. Add one short hint.,100
addition-subtraction,Create a real-life classroom problem about bus passengers that combines addition and subtraction. Make it moderate. Use whole numbers only.,101
addition-subtraction,Create a simple challenge question about recycling bins that combines addition and subtraction. Make it slightly challenging. Use simple vocabulary suitable for elementary students.,102
addition-subtraction,Generate a two-step problem using two operations: one addition and one subtraction. Use school supplies. Use simple vocabulary suitable for elementary students.,103
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using birthday candles. Make it easy. Include the correct answer.,104
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using notebooks. Make it very easy. Include the correct answer.,105
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using notebooks. Make it slightly challenging. Include the correct answer.,106
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using garden plants. Make it very easy. Use simple vocabulary suitable for elementary students.,107
addition-subtraction,Generate a two-step problem about comparing an initial amount and a final amount of garden plants using addition and subtraction. Keep the question under 45 words.,108
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using animals on a farm. Make it slightly challenging. Make the numbers easy to calculate mentally.,109
addition-subtraction,Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of sports balls using addition and subtraction. Avoid decimals and negative numbers.,110
addition-subtraction,Create a short word problem about marbles that combines addition and subtraction. Make it slightly challenging. Include the correct answer.,111
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using cookies. Make it moderate. Add one short hint.,112
addition-subtraction,Write a short word problem where students first add and then subtract using fruit baskets. Make it very easy. Add one short hint.,113
addition-subtraction,Write a simple challenge question where students first add and then subtract using cookies. Make it slightly challenging. Make the numbers easy to calculate mentally.,114
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of sports balls using addition and subtraction. Make the numbers easy to calculate mentally.,115
addition-subtraction,"Write a simple challenge question where students first add and then subtract using bus passengers. Make it very easy. Ask for a written answer, not a drawing.",116
addition-subtraction,"Write a simple challenge question where students first add and then subtract using pencils. Make it slightly challenging. Ask for a written answer, not a drawing.",117
addition-subtraction,Create a question that asks students to explain their reasoning about fruit baskets that combines addition and subtraction. Make it moderate. Make the numbers easy to calculate mentally.,118
addition-subtraction,Write a fill-in-the-blank question with three quantities related to bus passengers. Students must decide whether to add or subtract. Add one short hint.,119
addition-subtraction,Create a two-step problem about sports balls that combines addition and subtraction. Make it easy. Keep the question under 45 words.,120
addition-subtraction,Create a fill-in-the-blank question about notebooks that combines addition and subtraction. Make it very easy. Keep the question under 45 words.,121
addition-subtraction,Create a two-step problem about garden plants that combines addition and subtraction. Make it moderate. Include the correct answer.,122
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting pencils. Include the correct answer.,123
addition-subtraction,Create a fill-in-the-blank question about coins that combines addition and subtraction. Make it moderate. Use whole numbers only.,124
addition-subtraction,Write a question that asks students to explain their reasoning with three quantities related to classroom chairs. Students must decide whether to add or subtract. Add one short hint.,125
addition-subtraction,Create a fill-in-the-blank question about colored blocks that combines addition and subtraction. Make it moderate. Make the numbers easy to calculate mentally.,126
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using animals on a farm. Make it slightly challenging. Keep the question under 45 words.,127
addition-subtraction,Generate a multiple-choice question with four options using two operations: one addition and one subtraction. Use stickers. Use whole numbers only.,128
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting pencils. Keep the question under 45 words.,129
addition-subtraction,Create a real-life classroom problem about pencils that combines addition and subtraction. Make it very easy. Keep the question under 45 words.,130
addition-subtraction,Generate a simple challenge question using two operations: one addition and one subtraction. Use notebooks. Avoid decimals and negative numbers.,131
addition-subtraction,Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of colored blocks using addition and subtraction. Use simple vocabulary suitable for elementary students.,132
addition-subtraction,Write a two-step problem where students first add and then subtract using coins. Make it slightly challenging. Use simple vocabulary suitable for elementary students.,133
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using bus passengers. Make it easy. Avoid decimals and negative numbers.,134
addition-subtraction,Create a fill-in-the-blank question about birthday candles that combines addition and subtraction. Make it moderate. Use simple vocabulary suitable for elementary students.,135
addition-subtraction,Create a real-life classroom problem that asks students to find a missing total after adding and subtracting toy cars. Include the correct answer.,136
addition-subtraction,"Write a fill-in-the-blank question with three quantities related to recycling bins. Students must decide whether to add or subtract. Ask for a written answer, not a drawing.",137
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using colored blocks. Make it slightly challenging. Use simple vocabulary suitable for elementary students.,138
addition-subtraction,Write a short word problem where students first add and then subtract using school supplies. Make it slightly challenging. Use whole numbers only.,139
addition-subtraction,Create a two-step problem that asks students to find a missing total after adding and subtracting garden plants. Use simple vocabulary suitable for elementary students.,140
addition-subtraction,"Create a true-or-false question with a brief explanation about bus passengers that combines addition and subtraction. Make it easy. Ask for a written answer, not a drawing.",141
addition-subtraction,Write a short word problem where students first add and then subtract using colored blocks. Make it slightly challenging. Keep the question under 45 words.,142
addition-subtraction,Create a short word problem about sports balls that combines addition and subtraction. Make it moderate. Add one short hint.,143
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using sports balls. Make it easy. Keep the question under 45 words.,144
addition-subtraction,Create a simple challenge question about pencils that combines addition and subtraction. Make it very easy. Keep the question under 45 words.,145
addition-subtraction,Create a two-step problem about pencils that combines addition and subtraction. Make it moderate. Include the correct answer.,146
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of water bottles using addition and subtraction. Avoid decimals and negative numbers.,147
addition-subtraction,"Write a question that asks students to explain their reasoning where students first add and then subtract using toy cars. Make it easy. Ask for a written answer, not a drawing.",148
addition-subtraction,Write a short word problem where students first add and then subtract using recycling bins. Make it moderate. Avoid decimals and negative numbers.,149
addition-subtraction,Write a short word problem with three quantities related to classroom chairs. Students must decide whether to add or subtract. Use simple vocabulary suitable for elementary students.,150
addition-subtraction,Write a short word problem with three quantities related to notebooks. Students must decide whether to add or subtract. Keep the question under 45 words.,151
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using pencils. Make it very easy. Use simple vocabulary suitable for elementary students.,152
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using birthday candles. Make it easy. Add one short hint.,153
addition-subtraction,Write a two-step problem where students first add and then subtract using classroom chairs. Make it moderate. Make the numbers easy to calculate mentally.,154
addition-subtraction,Write a short word problem with three quantities related to school supplies. Students must decide whether to add or subtract. Include the correct answer.,155
addition-subtraction,"Write a short word problem where students first add and then subtract using cookies. Make it very easy. Ask for a written answer, not a drawing.",156
addition-subtraction,Write a simple challenge question where students first add and then subtract using animals on a farm. Make it slightly challenging. Use simple vocabulary suitable for elementary students.,157
addition-subtraction,Write a two-step problem where students first add and then subtract using marbles. Make it easy. Make the numbers easy to calculate mentally.,158
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using water bottles. Make it moderate. Add one short hint.,159
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting fruit baskets. Keep the question under 45 words.,160
addition-subtraction,Create a real-life classroom problem about colored blocks that combines addition and subtraction. Make it very easy. Add one short hint.,161
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using colored blocks. Make it moderate. Include the correct answer.,162
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using marbles. Make it slightly challenging. Include the correct answer.,163
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of cookies using addition and subtraction. Make the numbers easy to calculate mentally.,164
addition-subtraction,Write a simple challenge question where students first add and then subtract using notebooks. Make it slightly challenging. Include the correct answer.,165
addition-subtraction,Generate a simple challenge question about comparing an initial amount and a final amount of recycling bins using addition and subtraction. Add one short hint.,166
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using flowers. Make it easy. Add one short hint.,167
addition-subtraction,Write a two-step problem where students first add and then subtract using classroom chairs. Make it slightly challenging. Use whole numbers only.,168
addition-subtraction,Generate a simple challenge question using two operations: one addition and one subtraction. Use stickers. Use simple vocabulary suitable for elementary students.,169
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using garden plants. Make it very easy. Use whole numbers only.,170
addition-subtraction,Write a short word problem where students first add and then subtract using books. Make it easy. Use whole numbers only.,171
addition-subtraction,Generate a short word problem using two operations: one addition and one subtraction. Use stickers. Avoid decimals and negative numbers.,172
addition-subtraction,Write a two-step problem where students first add and then subtract using marbles. Make it very easy. Make the numbers easy to calculate mentally.,173
addition-subtraction,Create a two-step problem about colored blocks that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.,174
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using notebooks. Make it easy. Add one short hint.,175
addition-subtraction,Create a true-or-false question with a brief explanation about flowers that combines addition and subtraction. Make it moderate. Add one short hint.,176
addition-subtraction,Write a real-life classroom problem with three quantities related to flowers. Students must decide whether to add or subtract. Keep the question under 45 words.,177
addition-subtraction,"Generate a simple challenge question about comparing an initial amount and a final amount of colored blocks using addition and subtraction. Ask for a written answer, not a drawing.",178
addition-subtraction,Create a fill-in-the-blank question that asks students to find a missing total after adding and subtracting cookies. Include the correct answer.,179
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of pencils using addition and subtraction. Keep the question under 45 words.,180
addition-subtraction,Create a two-step problem about animals on a farm that combines addition and subtraction. Make it very easy. Add one short hint.,181
addition-subtraction,Write a simple challenge question where students first add and then subtract using stickers. Make it easy. Include the correct answer.,182
addition-subtraction,Create a fill-in-the-blank question that asks students to find a missing total after adding and subtracting stickers. Avoid decimals and negative numbers.,183
addition-subtraction,"Create a short word problem about animals on a farm that combines addition and subtraction. Make it very easy. Ask for a written answer, not a drawing.",184
addition-subtraction,Write a short word problem where students first add and then subtract using stickers. Make it slightly challenging. Keep the question under 45 words.,185
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using sports balls. Make it slightly challenging. Avoid decimals and negative numbers.,186
addition-subtraction,Create a two-step problem that asks students to find a missing total after adding and subtracting sports balls. Use simple vocabulary suitable for elementary students.,187
addition-subtraction,Create a true-or-false question with a brief explanation about coins that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.,188
addition-subtraction,Write a short word problem with three quantities related to water bottles. Students must decide whether to add or subtract. Keep the question under 45 words.,189
addition-subtraction,Generate a short word problem using two operations: one addition and one subtraction. Use flowers. Keep the question under 45 words.,190
addition-subtraction,Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of books using addition and subtraction. Make the numbers easy to calculate mentally.,191
addition-subtraction,Write a two-step problem where students first add and then subtract using pencils. Make it moderate. Make the numbers easy to calculate mentally.,192
addition-subtraction,"Write a simple challenge question where students first add and then subtract using colored blocks. Make it moderate. Ask for a written answer, not a drawing.",193
addition-subtraction,Write a two-step problem where students first add and then subtract using fruit baskets. Make it slightly challenging. Add one short hint.,194
addition-subtraction,Write a two-step problem with three quantities related to coins. Students must decide whether to add or subtract. Avoid decimals and negative numbers.,195
addition-subtraction,Write a true-or-false question with a brief explanation with three quantities related to school supplies. Students must decide whether to add or subtract. Avoid decimals and negative numbers.,196
addition-subtraction,Create a fill-in-the-blank question about notebooks that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.,197
addition-subtraction,"Generate a multiple-choice question with four options using two operations: one addition and one subtraction. Use colored blocks. Ask for a written answer, not a drawing.",198
addition-subtraction,Create a fill-in-the-blank question about garden plants that combines addition and subtraction. Make it slightly challenging. Use whole numbers only.,199
addition-subtraction,Create a fill-in-the-blank question about cookies that combines addition and subtraction. Make it slightly challenging. Make the numbers easy to calculate mentally.,200
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using birthday candles. Make it easy. Include the correct answer.,201
addition-subtraction,"Create a real-life classroom problem about garden plants that combines addition and subtraction. Make it moderate. Ask for a written answer, not a drawing.",202
addition-subtraction,Create a true-or-false question with a brief explanation about colored blocks that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.,203
addition-subtraction,"Write a simple challenge question where students first add and then subtract using notebooks. Make it slightly challenging. Ask for a written answer, not a drawing.",204
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using bus passengers. Make it easy. Add one short hint.,205
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of pencils using addition and subtraction. Include the correct answer.,206
addition-subtraction,"Write a simple challenge question with three quantities related to bus passengers. Students must decide whether to add or subtract. Ask for a written answer, not a drawing.",207
addition-subtraction,"Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of bus passengers using addition and subtraction. Ask for a written answer, not a drawing.",208
addition-subtraction,Create a multiple-choice question with four options about marbles that combines addition and subtraction. Make it slightly challenging. Avoid decimals and negative numbers.,209
addition-subtraction,Write a short word problem where students first add and then subtract using notebooks. Make it moderate. Use simple vocabulary suitable for elementary students.,210
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of books using addition and subtraction. Use simple vocabulary suitable for elementary students.,211
addition-subtraction,Create a multiple-choice question with four options about toy cars that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.,212
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using cookies. Make it easy. Use whole numbers only.,213
addition-subtraction,Create a simple challenge question about toy cars that combines addition and subtraction. Make it slightly challenging. Add one short hint.,214
addition-subtraction,Create a multiple-choice question with four options that asks students to find a missing total after adding and subtracting pencils. Use simple vocabulary suitable for elementary students.,215
addition-subtraction,Create a true-or-false question with a brief explanation about water bottles that combines addition and subtraction. Make it moderate. Add one short hint.,216
addition-subtraction,Create a question that asks students to explain their reasoning about marbles that combines addition and subtraction. Make it moderate. Keep the question under 45 words.,217
addition-subtraction,Create a real-life classroom problem about garden plants that combines addition and subtraction. Make it easy. Use simple vocabulary suitable for elementary students.,218
addition-subtraction,"Write a real-life classroom problem where students first add and then subtract using colored blocks. Make it easy. Ask for a written answer, not a drawing.",219
addition-subtraction,Generate a simple challenge question about comparing an initial amount and a final amount of fruit baskets using addition and subtraction. Include the correct answer.,220
addition-subtraction,Create a simple challenge question about classroom chairs that combines addition and subtraction. Make it easy. Add one short hint.,221
addition-subtraction,Create a question that asks students to explain their reasoning about coins that combines addition and subtraction. Make it very easy. Avoid decimals and negative numbers.,222
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using school supplies. Make it slightly challenging. Include the correct answer.,223
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using school supplies. Make it slightly challenging. Avoid decimals and negative numbers.,224
addition-subtraction,"Generate a two-step problem about comparing an initial amount and a final amount of cookies using addition and subtraction. Ask for a written answer, not a drawing.",225
addition-subtraction,Create a real-life classroom problem about books that combines addition and subtraction. Make it moderate. Use simple vocabulary suitable for elementary students.,226
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using notebooks. Make it slightly challenging. Avoid decimals and negative numbers.,227
addition-subtraction,Create a two-step problem about fruit baskets that combines addition and subtraction. Make it moderate. Avoid decimals and negative numbers.,228
addition-subtraction,Generate a short word problem about comparing an initial amount and a final amount of toy cars using addition and subtraction. Use simple vocabulary suitable for elementary students.,229
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using stickers. Make it easy. Use whole numbers only.,230
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting garden plants. Avoid decimals and negative numbers.,231
addition-subtraction,Write a real-life classroom problem with three quantities related to garden plants. Students must decide whether to add or subtract. Make the numbers easy to calculate mentally.,232
addition-subtraction,Create a fill-in-the-blank question about bus passengers that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.,233
addition-subtraction,"Create a two-step problem about sports balls that combines addition and subtraction. Make it easy. Ask for a written answer, not a drawing.",234
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using sports balls. Make it easy. Use whole numbers only.,235
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using notebooks. Make it moderate. Make the numbers easy to calculate mentally.,236
