subject,skill,prompt,id_prompt
science,scientific explanation,Create a true-or-false question with a brief explanation for moderate elementary students to develop scientific explanation through recycling. Make the instructions direct and easy for a teacher to use.,23
science,scientific explanation,Create a two-part question for easy elementary students to develop scientific explanation through the solar system. Use a familiar real-life context and add a short hint.,24
science,scientific explanation,Create a comparison question for easy elementary students to develop scientific explanation through materials. Use a familiar real-life context and add a short hint.,25
science,classification,Create a two-part question for moderate elementary students to develop classification through light and shadows. Use age-appropriate language and explain the answer briefly.,26
science,scientific explanation,Create a question that asks the student to explain their reasoning for easy elementary students to develop scientific explanation through animals. Make the instructions direct and easy for a teacher to use.,27
science,cause and effect,Create a multiple-choice question with four options for moderate elementary students to develop cause and effect through recycling. Make the instructions direct and easy for a teacher to use.,28
science,cause and effect,Create a multiple-choice question with four options for easy elementary students to develop cause and effect through water. Avoid technical vocabulary and include a brief answer key.,29
science,cause and effect,Create a simple scenario-based question for moderate elementary students to develop cause and effect through the solar system. Make the instructions direct and easy for a teacher to use.,30
science,classification,Create a question that asks the student to explain their reasoning for moderate elementary students to develop classification through materials. Use clear vocabulary and include the correct answer.,31
science,cause and effect,Create a multiple-choice question with four options for easy elementary students to develop cause and effect through animals. Avoid technical vocabulary and include a brief answer key.,32
science,observation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop observation through habitats. Make the instructions direct and easy for a teacher to use.,33
science,prediction,Create a simple scenario-based question for easy elementary students to develop prediction through light and shadows. Make the expected response possible using text only.,34
science,observation,Create a two-part question for easy elementary students to develop observation through the human body. Ask only one main idea and include the correct answer.,35
science,scientific explanation,Create a short-answer question for moderate elementary students to develop scientific explanation through weather. Ask only one main idea and include the correct answer.,36
science,scientific explanation,Create a true-or-false question with a brief explanation for easy elementary students to develop scientific explanation through plants. Use age-appropriate language and explain the answer briefly.,37
science,prediction,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop prediction through the human body. Use a familiar real-life context and add a short hint.,38
science,prediction,Create a short-answer question for easy elementary students to develop prediction through plants. Ask only one main idea and include the correct answer.,39
science,prediction,Create a simple scenario-based question for slightly challenging elementary students to develop prediction through plants. Avoid technical vocabulary and include a brief answer key.,40
science,classification,Create a simple scenario-based question for slightly challenging elementary students to develop classification through habitats. Avoid technical vocabulary and include a brief answer key.,41
science,scientific explanation,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop scientific explanation through materials. Avoid technical vocabulary and include a brief answer key.,42
science,observation,Create a fill-in-the-blank question for easy elementary students to develop observation through plants. Use age-appropriate language and explain the answer briefly.,43
science,cause and effect,Create a two-part question for moderate elementary students to develop cause and effect through recycling. Use clear vocabulary and include the correct answer.,44
science,environmental awareness,Create a comparison question for slightly challenging elementary students to develop environmental awareness through recycling. Use age-appropriate language and explain the answer briefly.,45
science,classification,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop classification through light and shadows. Use a familiar real-life context and add a short hint.,46
science,classification,Create a short-answer question for easy elementary students to develop classification through water. Make the instructions direct and easy for a teacher to use.,47
science,observation,Create a comparison question for beginner elementary students to develop observation through plants. Make the instructions direct and easy for a teacher to use.,48
science,observation,Create a short-answer question for moderate elementary students to develop observation through water. Make the expected response possible using text only.,49
science,classification,Create a true-or-false question with a brief explanation for beginner elementary students to develop classification through weather. Make the instructions direct and easy for a teacher to use.,50
science,prediction,Create a short-answer question for beginner elementary students to develop prediction through the solar system. Avoid technical vocabulary and include a brief answer key.,51
science,observation,Create a short-answer question for easy elementary students to develop observation through habitats. Ask only one main idea and include the correct answer.,52
science,prediction,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop prediction through water. Make the expected response possible using text only.,53
science,environmental awareness,Create a two-part question for moderate elementary students to develop environmental awareness through materials. Keep the question under 50 words and provide the answer.,54
science,environmental awareness,Create a question that asks the student to explain their reasoning for beginner elementary students to develop environmental awareness through light and shadows. Use age-appropriate language and explain the answer briefly.,55
science,prediction,Create a short-answer question for slightly challenging elementary students to develop prediction through animals. Make the expected response possible using text only.,56
science,observation,Create a fill-in-the-blank question for moderate elementary students to develop observation through habitats. Make the expected response possible using text only.,57
science,environmental awareness,Create a question that asks the student to explain their reasoning for easy elementary students to develop environmental awareness through plants. Use a familiar real-life context and add a short hint.,58
science,prediction,Create a multiple-choice question with four options for slightly challenging elementary students to develop prediction through water. Keep the question under 50 words and provide the answer.,59
science,cause and effect,Create a multiple-choice question with four options for moderate elementary students to develop cause and effect through habitats. Use age-appropriate language and explain the answer briefly.,60
science,prediction,Create a short-answer question for beginner elementary students to develop prediction through water. Make the instructions direct and easy for a teacher to use.,61
science,cause and effect,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop cause and effect through the solar system. Make the expected response possible using text only.,62
science,prediction,Create a short-answer question for easy elementary students to develop prediction through the solar system. Make the instructions direct and easy for a teacher to use.,63
science,prediction,Create a comparison question for easy elementary students to develop prediction through habitats. Make the expected response possible using text only.,64
science,environmental awareness,Create a two-part question for moderate elementary students to develop environmental awareness through recycling. Use a familiar real-life context and add a short hint.,65
science,environmental awareness,Create a true-or-false question with a brief explanation for moderate elementary students to develop environmental awareness through plants. Use a familiar real-life context and add a short hint.,66
science,classification,Create a true-or-false question with a brief explanation for moderate elementary students to develop classification through the solar system. Use clear vocabulary and include the correct answer.,67
science,observation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop observation through materials. Make the expected response possible using text only.,68
science,cause and effect,Create a question that asks the student to explain their reasoning for easy elementary students to develop cause and effect through the solar system. Make the expected response possible using text only.,69
science,prediction,Create a multiple-choice question with four options for moderate elementary students to develop prediction through recycling. Use a familiar real-life context and add a short hint.,70
science,classification,Create a two-part question for easy elementary students to develop classification through the solar system. Use a familiar real-life context and add a short hint.,71
science,environmental awareness,Create a true-or-false question with a brief explanation for moderate elementary students to develop environmental awareness through light and shadows. Use a familiar real-life context and add a short hint.,72
science,prediction,Create a comparison question for easy elementary students to develop prediction through animals. Avoid technical vocabulary and include a brief answer key.,73
science,observation,Create a short-answer question for easy elementary students to develop observation through the solar system. Ask only one main idea and include the correct answer.,74
science,observation,Create a true-or-false question with a brief explanation for moderate elementary students to develop observation through the human body. Keep the question under 50 words and provide the answer.,75
science,observation,Create a multiple-choice question with four options for slightly challenging elementary students to develop observation through plants. Use a familiar real-life context and add a short hint.,76
science,observation,Create a true-or-false question with a brief explanation for beginner elementary students to develop observation through the human body. Use age-appropriate language and explain the answer briefly.,77
science,observation,Create a fill-in-the-blank question for beginner elementary students to develop observation through materials. Keep the question under 50 words and provide the answer.,78
science,environmental awareness,Create a multiple-choice question with four options for easy elementary students to develop environmental awareness through the solar system. Use a familiar real-life context and add a short hint.,79
language-arts,sequence of events,Create a short-answer question for beginner elementary students to develop sequence of events through a classroom dialogue. Make the expected response possible using text only.,80
language-arts,sequence of events,Create a question that asks the student to explain their reasoning for easy elementary students to develop sequence of events through a description of a place. Ask only one main idea and include the correct answer.,81
language-arts,vocabulary in context,Create a two-part question for moderate elementary students to develop vocabulary in context through a description of a place. Make the instructions direct and easy for a teacher to use.,82
language-arts,written expression,Create a multiple-choice question with four options for slightly challenging elementary students to develop written expression through a school event. Make the expected response possible using text only.,83
language-arts,sequence of events,Create a short-answer question for easy elementary students to develop sequence of events through a school event. Use clear vocabulary and include the correct answer.,84
language-arts,sequence of events,Create a comparison question for slightly challenging elementary students to develop sequence of events through a classroom dialogue. Avoid technical vocabulary and include a brief answer key.,85
language-arts,main idea,Create a fill-in-the-blank question for easy elementary students to develop main idea through a fable. Avoid technical vocabulary and include a brief answer key.,86
language-arts,main idea,Create a question that asks the student to explain their reasoning for easy elementary students to develop main idea through a short informational text. Make the expected response possible using text only.,87
language-arts,reading comprehension,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop reading comprehension through a school event. Keep the question under 50 words and provide the answer.,88
language-arts,vocabulary in context,Create a comparison question for moderate elementary students to develop vocabulary in context through a poem. Use clear vocabulary and include the correct answer.,89
language-arts,character analysis,Create a fill-in-the-blank question for easy elementary students to develop character analysis through a short informational text. Use clear vocabulary and include the correct answer.,90
language-arts,reading comprehension,Create a short-answer question for easy elementary students to develop reading comprehension through a fable. Keep the question under 50 words and provide the answer.,91
language-arts,vocabulary in context,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop vocabulary in context through a character's actions. Keep the question under 50 words and provide the answer.,92
language-arts,sequence of events,Create a multiple-choice question with four options for moderate elementary students to develop sequence of events through a description of a place. Avoid technical vocabulary and include a brief answer key.,93
language-arts,character analysis,Create a short-answer question for beginner elementary students to develop character analysis through a family story. Avoid technical vocabulary and include a brief answer key.,94
language-arts,written expression,Create a simple scenario-based question for moderate elementary students to develop written expression through a poem. Make the instructions direct and easy for a teacher to use.,95
language-arts,character analysis,Create a comparison question for moderate elementary students to develop character analysis through a short story. Make the expected response possible using text only.,96
language-arts,written expression,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop written expression through a fable. Use a familiar real-life context and add a short hint.,97
language-arts,reading comprehension,Create a fill-in-the-blank question for beginner elementary students to develop reading comprehension through a sequence of pictures. Keep the question under 50 words and provide the answer.,98
language-arts,reading comprehension,Create a two-part question for easy elementary students to develop reading comprehension through a short story. Use a familiar real-life context and add a short hint.,99
language-arts,reading comprehension,Create a short-answer question for moderate elementary students to develop reading comprehension through a school event. Use age-appropriate language and explain the answer briefly.,100
language-arts,vocabulary in context,Create a fill-in-the-blank question for easy elementary students to develop vocabulary in context through a classroom dialogue. Make the expected response possible using text only.,101
language-arts,reading comprehension,Create a two-part question for easy elementary students to develop reading comprehension through a character's actions. Avoid technical vocabulary and include a brief answer key.,102
language-arts,written expression,Create a short-answer question for slightly challenging elementary students to develop written expression through a character's actions. Make the expected response possible using text only.,103
language-arts,written expression,Create a two-part question for slightly challenging elementary students to develop written expression through a character's actions. Ask only one main idea and include the correct answer.,104
language-arts,vocabulary in context,Create a fill-in-the-blank question for slightly challenging elementary students to develop vocabulary in context through a school event. Make the instructions direct and easy for a teacher to use.,105
language-arts,main idea,Create a short-answer question for beginner elementary students to develop main idea through a fable. Use clear vocabulary and include the correct answer.,106
language-arts,reading comprehension,Create a comparison question for slightly challenging elementary students to develop reading comprehension through a school event. Use a familiar real-life context and add a short hint.,107
language-arts,sequence of events,Create a question that asks the student to explain their reasoning for easy elementary students to develop sequence of events through a poem. Ask only one main idea and include the correct answer.,108
language-arts,sequence of events,Create a simple scenario-based question for easy elementary students to develop sequence of events through a poem. Make the expected response possible using text only.,109
language-arts,character analysis,Create a comparison question for beginner elementary students to develop character analysis through a sequence of pictures. Make the expected response possible using text only.,110
language-arts,written expression,Create a two-part question for moderate elementary students to develop written expression through a school event. Make the instructions direct and easy for a teacher to use.,111
language-arts,written expression,Create a fill-in-the-blank question for beginner elementary students to develop written expression through a fable. Make the instructions direct and easy for a teacher to use.,112
language-arts,reading comprehension,Create a question that asks the student to explain their reasoning for moderate elementary students to develop reading comprehension through a fable. Use clear vocabulary and include the correct answer.,113
language-arts,sequence of events,Create a short-answer question for slightly challenging elementary students to develop sequence of events through a sequence of pictures. Keep the question under 50 words and provide the answer.,114
language-arts,written expression,Create a true-or-false question with a brief explanation for beginner elementary students to develop written expression through a short informational text. Ask only one main idea and include the correct answer.,115
language-arts,reading comprehension,Create a multiple-choice question with four options for moderate elementary students to develop reading comprehension through a character's actions. Make the instructions direct and easy for a teacher to use.,116
language-arts,sequence of events,Create a true-or-false question with a brief explanation for moderate elementary students to develop sequence of events through a classroom dialogue. Keep the question under 50 words and provide the answer.,117
language-arts,sequence of events,Create a true-or-false question with a brief explanation for moderate elementary students to develop sequence of events through a sequence of pictures. Make the instructions direct and easy for a teacher to use.,118
language-arts,character analysis,Create a short-answer question for beginner elementary students to develop character analysis through a fable. Use age-appropriate language and explain the answer briefly.,119
language-arts,reading comprehension,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop reading comprehension through a character's actions. Use age-appropriate language and explain the answer briefly.,120
language-arts,vocabulary in context,Create a simple scenario-based question for slightly challenging elementary students to develop vocabulary in context through a short informational text. Ask only one main idea and include the correct answer.,121
language-arts,sequence of events,Create a short-answer question for beginner elementary students to develop sequence of events through a sequence of pictures. Make the expected response possible using text only.,122
language-arts,main idea,Create a multiple-choice question with four options for beginner elementary students to develop main idea through a poem. Ask only one main idea and include the correct answer.,123
language-arts,vocabulary in context,Create a comparison question for easy elementary students to develop vocabulary in context through a family story. Make the instructions direct and easy for a teacher to use.,124
language-arts,reading comprehension,Create a true-or-false question with a brief explanation for moderate elementary students to develop reading comprehension through a school event. Make the expected response possible using text only.,125
language-arts,character analysis,Create a simple scenario-based question for moderate elementary students to develop character analysis through a poem. Ask only one main idea and include the correct answer.,126
language-arts,written expression,Create a comparison question for moderate elementary students to develop written expression through a poem. Avoid technical vocabulary and include a brief answer key.,127
language-arts,sequence of events,Create a multiple-choice question with four options for moderate elementary students to develop sequence of events through a character's actions. Use clear vocabulary and include the correct answer.,128
language-arts,sequence of events,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop sequence of events through a classroom dialogue. Make the expected response possible using text only.,129
language-arts,character analysis,Create a simple scenario-based question for slightly challenging elementary students to develop character analysis through a sequence of pictures. Make the instructions direct and easy for a teacher to use.,130
language-arts,main idea,Create a fill-in-the-blank question for slightly challenging elementary students to develop main idea through a family story. Ask only one main idea and include the correct answer.,131
language-arts,character analysis,Create a short-answer question for moderate elementary students to develop character analysis through a sequence of pictures. Use age-appropriate language and explain the answer briefly.,132
language-arts,reading comprehension,Create a comparison question for easy elementary students to develop reading comprehension through a short informational text. Avoid technical vocabulary and include a brief answer key.,133
language-arts,character analysis,Create a fill-in-the-blank question for beginner elementary students to develop character analysis through a poem. Make the instructions direct and easy for a teacher to use.,134
language-arts,sequence of events,Create a comparison question for beginner elementary students to develop sequence of events through a short story. Keep the question under 50 words and provide the answer.,135
language-arts,reading comprehension,Create a simple scenario-based question for easy elementary students to develop reading comprehension through a classroom dialogue. Make the instructions direct and easy for a teacher to use.,136
language-arts,reading comprehension,Create a short-answer question for easy elementary students to develop reading comprehension through a description of a place. Use a familiar real-life context and add a short hint.,137
language-arts,reading comprehension,Create a question that asks the student to explain their reasoning for beginner elementary students to develop reading comprehension through a fable. Ask only one main idea and include the correct answer.,138
language-arts,sequence of events,Create a comparison question for easy elementary students to develop sequence of events through a short story. Make the instructions direct and easy for a teacher to use.,139
language-arts,main idea,Create a two-part question for easy elementary students to develop main idea through a sequence of pictures. Avoid technical vocabulary and include a brief answer key.,140
language-arts,main idea,Create a multiple-choice question with four options for beginner elementary students to develop main idea through a fable. Use a familiar real-life context and add a short hint.,141
language-arts,character analysis,Create a fill-in-the-blank question for moderate elementary students to develop character analysis through a family story. Use a familiar real-life context and add a short hint.,142
language-arts,character analysis,Create a simple scenario-based question for easy elementary students to develop character analysis through a family story. Make the expected response possible using text only.,143
language-arts,reading comprehension,Create a short-answer question for easy elementary students to develop reading comprehension through a school event. Make the instructions direct and easy for a teacher to use.,144
language-arts,main idea,Create a two-part question for moderate elementary students to develop main idea through a short informational text. Ask only one main idea and include the correct answer.,145
language-arts,character analysis,Create a question that asks the student to explain their reasoning for easy elementary students to develop character analysis through a classroom dialogue. Avoid technical vocabulary and include a brief answer key.,146
language-arts,vocabulary in context,Create a short-answer question for beginner elementary students to develop vocabulary in context through a school event. Make the instructions direct and easy for a teacher to use.,147
language-arts,vocabulary in context,Create a true-or-false question with a brief explanation for beginner elementary students to develop vocabulary in context through a sequence of pictures. Keep the question under 50 words and provide the answer.,148
language-arts,sequence of events,Create a fill-in-the-blank question for slightly challenging elementary students to develop sequence of events through a short story. Make the expected response possible using text only.,149
language-arts,character analysis,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop character analysis through a fable. Make the expected response possible using text only.,150
language-arts,sequence of events,Create a simple scenario-based question for beginner elementary students to develop sequence of events through a fable. Use a familiar real-life context and add a short hint.,151
language-arts,sequence of events,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop sequence of events through a school event. Use age-appropriate language and explain the answer briefly.,152
language-arts,main idea,Create a short-answer question for moderate elementary students to develop main idea through a classroom dialogue. Use age-appropriate language and explain the answer briefly.,153
language-arts,written expression,Create a two-part question for slightly challenging elementary students to develop written expression through a school event. Use clear vocabulary and include the correct answer.,154
language-arts,vocabulary in context,Create a comparison question for slightly challenging elementary students to develop vocabulary in context through a family story. Ask only one main idea and include the correct answer.,155
language-arts,main idea,Create a comparison question for beginner elementary students to develop main idea through a family story. Make the expected response possible using text only.,156
language-arts,sequence of events,Create a fill-in-the-blank question for beginner elementary students to develop sequence of events through a family story. Avoid technical vocabulary and include a brief answer key.,157
language-arts,written expression,Create a fill-in-the-blank question for slightly challenging elementary students to develop written expression through a classroom dialogue. Avoid technical vocabulary and include a brief answer key.,158
language-arts,reading comprehension,Create a two-part question for beginner elementary students to develop reading comprehension through a family story. Use age-appropriate language and explain the answer briefly.,159
social-studies,maps and location,Create a fill-in-the-blank question for slightly challenging elementary students to develop maps and location through transportation. Keep the question under 50 words and provide the answer.,160
social-studies,historical sequence,Create a question that asks the student to explain their reasoning for beginner elementary students to develop historical sequence through natural and human-made landmarks. Use age-appropriate language and explain the answer briefly.,161
social-studies,comparison of societies,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop comparison of societies through rules and responsibilities. Use age-appropriate language and explain the answer briefly.,162
social-studies,maps and location,Create a two-part question for easy elementary students to develop maps and location through family traditions. Avoid technical vocabulary and include a brief answer key.,163
social-studies,citizenship,Create a short-answer question for easy elementary students to develop citizenship through transportation. Use a familiar real-life context and add a short hint.,164
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for easy elementary students to develop comparison of societies through important historical events. Use age-appropriate language and explain the answer briefly.,165
social-studies,citizenship,Create a fill-in-the-blank question for moderate elementary students to develop citizenship through the local community. Keep the question under 50 words and provide the answer.,166
social-studies,community roles,Create a comparison question for beginner elementary students to develop community roles through a neighborhood map. Use age-appropriate language and explain the answer briefly.,167
social-studies,community roles,Create a two-part question for beginner elementary students to develop community roles through natural and human-made landmarks. Use clear vocabulary and include the correct answer.,168
social-studies,community roles,Create a multiple-choice question with four options for beginner elementary students to develop community roles through rules and responsibilities. Avoid technical vocabulary and include a brief answer key.,169
social-studies,maps and location,Create a simple scenario-based question for beginner elementary students to develop maps and location through the local community. Use a familiar real-life context and add a short hint.,170
social-studies,citizenship,Create a multiple-choice question with four options for easy elementary students to develop citizenship through transportation. Make the expected response possible using text only.,171
social-studies,maps and location,Create a fill-in-the-blank question for moderate elementary students to develop maps and location through community helpers. Use clear vocabulary and include the correct answer.,172
social-studies,comparison of societies,Create a comparison question for easy elementary students to develop comparison of societies through rural and urban areas. Use clear vocabulary and include the correct answer.,173
social-studies,community roles,Create a comparison question for easy elementary students to develop community roles through important historical events. Use a familiar real-life context and add a short hint.,174
social-studies,citizenship,Create a two-part question for beginner elementary students to develop citizenship through local celebrations. Use age-appropriate language and explain the answer briefly.,175
social-studies,comparison of societies,Create a comparison question for slightly challenging elementary students to develop comparison of societies through local celebrations. Keep the question under 50 words and provide the answer.,176
social-studies,comparison of societies,Create a fill-in-the-blank question for easy elementary students to develop comparison of societies through rural and urban areas. Use age-appropriate language and explain the answer briefly.,177
social-studies,citizenship,Create a true-or-false question with a brief explanation for moderate elementary students to develop citizenship through local celebrations. Use age-appropriate language and explain the answer briefly.,178
social-studies,citizenship,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop citizenship through family traditions. Use clear vocabulary and include the correct answer.,179
social-studies,maps and location,Create a comparison question for moderate elementary students to develop maps and location through the local community. Make the expected response possible using text only.,180
social-studies,comparison of societies,Create a two-part question for slightly challenging elementary students to develop comparison of societies through family traditions. Keep the question under 50 words and provide the answer.,181
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop comparison of societies through community helpers. Make the instructions direct and easy for a teacher to use.,182
social-studies,community roles,Create a two-part question for beginner elementary students to develop community roles through rural and urban areas. Ask only one main idea and include the correct answer.,183
social-studies,community roles,Create a multiple-choice question with four options for easy elementary students to develop community roles through important historical events. Use a familiar real-life context and add a short hint.,184
social-studies,citizenship,Create a true-or-false question with a brief explanation for moderate elementary students to develop citizenship through natural and human-made landmarks. Use clear vocabulary and include the correct answer.,185
social-studies,citizenship,Create a two-part question for slightly challenging elementary students to develop citizenship through rural and urban areas. Avoid technical vocabulary and include a brief answer key.,186
social-studies,maps and location,Create a multiple-choice question with four options for beginner elementary students to develop maps and location through transportation. Use clear vocabulary and include the correct answer.,187
social-studies,maps and location,Create a multiple-choice question with four options for easy elementary students to develop maps and location through rules and responsibilities. Avoid technical vocabulary and include a brief answer key.,188
social-studies,maps and location,Create a short-answer question for easy elementary students to develop maps and location through natural and human-made landmarks. Use clear vocabulary and include the correct answer.,189
social-studies,citizenship,Create a comparison question for slightly challenging elementary students to develop citizenship through rural and urban areas. Make the expected response possible using text only.,190
social-studies,community roles,Create a comparison question for beginner elementary students to develop community roles through important historical events. Make the expected response possible using text only.,191
social-studies,historical sequence,Create a fill-in-the-blank question for slightly challenging elementary students to develop historical sequence through family traditions. Ask only one main idea and include the correct answer.,192
social-studies,historical sequence,Create a simple scenario-based question for beginner elementary students to develop historical sequence through local celebrations. Use age-appropriate language and explain the answer briefly.,193
social-studies,maps and location,Create a multiple-choice question with four options for beginner elementary students to develop maps and location through important historical events. Use age-appropriate language and explain the answer briefly.,194
social-studies,cultural diversity,Create a multiple-choice question with four options for easy elementary students to develop cultural diversity through rules and responsibilities. Use clear vocabulary and include the correct answer.,195
social-studies,maps and location,Create a simple scenario-based question for easy elementary students to develop maps and location through a neighborhood map. Make the expected response possible using text only.,196
social-studies,historical sequence,Create a fill-in-the-blank question for slightly challenging elementary students to develop historical sequence through transportation. Use clear vocabulary and include the correct answer.,197
social-studies,citizenship,Create a two-part question for easy elementary students to develop citizenship through the local community. Make the instructions direct and easy for a teacher to use.,198
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for moderate elementary students to develop comparison of societies through rural and urban areas. Ask only one main idea and include the correct answer.,199
social-studies,maps and location,Create a multiple-choice question with four options for easy elementary students to develop maps and location through rural and urban areas. Keep the question under 50 words and provide the answer.,200
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for easy elementary students to develop comparison of societies through community helpers. Make the instructions direct and easy for a teacher to use.,201
social-studies,community roles,Create a question that asks the student to explain their reasoning for moderate elementary students to develop community roles through rural and urban areas. Use a familiar real-life context and add a short hint.,202
social-studies,cultural diversity,Create a true-or-false question with a brief explanation for easy elementary students to develop cultural diversity through rules and responsibilities. Make the expected response possible using text only.,203
social-studies,historical sequence,Create a simple scenario-based question for moderate elementary students to develop historical sequence through important historical events. Use a familiar real-life context and add a short hint.,204
social-studies,historical sequence,Create a comparison question for moderate elementary students to develop historical sequence through rural and urban areas. Ask only one main idea and include the correct answer.,205
social-studies,maps and location,Create a multiple-choice question with four options for moderate elementary students to develop maps and location through transportation. Make the expected response possible using text only.,206
social-studies,historical sequence,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop historical sequence through a neighborhood map. Make the expected response possible using text only.,207
social-studies,maps and location,Create a true-or-false question with a brief explanation for beginner elementary students to develop maps and location through important historical events. Use a familiar real-life context and add a short hint.,208
social-studies,comparison of societies,Create a simple scenario-based question for slightly challenging elementary students to develop comparison of societies through community helpers. Use age-appropriate language and explain the answer briefly.,209
social-studies,citizenship,Create a two-part question for easy elementary students to develop citizenship through rules and responsibilities. Avoid technical vocabulary and include a brief answer key.,210
social-studies,cultural diversity,Create a simple scenario-based question for moderate elementary students to develop cultural diversity through community helpers. Ask only one main idea and include the correct answer.,211
social-studies,comparison of societies,Create a two-part question for beginner elementary students to develop comparison of societies through natural and human-made landmarks. Avoid technical vocabulary and include a brief answer key.,212
social-studies,maps and location,Create a fill-in-the-blank question for slightly challenging elementary students to develop maps and location through rural and urban areas. Use clear vocabulary and include the correct answer.,213
social-studies,maps and location,Create a true-or-false question with a brief explanation for beginner elementary students to develop maps and location through natural and human-made landmarks. Keep the question under 50 words and provide the answer.,214
social-studies,community roles,Create a fill-in-the-blank question for easy elementary students to develop community roles through important historical events. Use age-appropriate language and explain the answer briefly.,215
social-studies,comparison of societies,Create a simple scenario-based question for moderate elementary students to develop comparison of societies through important historical events. Avoid technical vocabulary and include a brief answer key.,216
social-studies,historical sequence,Create a question that asks the student to explain their reasoning for beginner elementary students to develop historical sequence through rural and urban areas. Use clear vocabulary and include the correct answer.,217
social-studies,historical sequence,Create a fill-in-the-blank question for easy elementary students to develop historical sequence through transportation. Make the instructions direct and easy for a teacher to use.,218
social-studies,maps and location,Create a simple scenario-based question for moderate elementary students to develop maps and location through transportation. Make the expected response possible using text only.,219
social-studies,comparison of societies,Create a short-answer question for slightly challenging elementary students to develop comparison of societies through rules and responsibilities. Keep the question under 50 words and provide the answer.,220
social-studies,cultural diversity,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop cultural diversity through community helpers. Make the instructions direct and easy for a teacher to use.,221
