education_level,skill,prompt,id_prompt
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Keep the wording concise and include an answer key.,23
early-childhood,simple patterns,Create a conceptual question for children ages 4 to 5 to develop simple patterns using a context related to toys. Keep the wording concise and include an answer key.,24
early-childhood,sorting,Create a short problem for children ages 4 to 5 to develop sorting using a context related to colored blocks. Ask the student to justify the answer briefly.,25
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to picture cards. Connect the task to a realistic situation.,26
early-childhood,sorting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop sorting using a context related to colored blocks. Connect the task to a realistic situation.,27
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to playground objects. Make the answer possible using text and numbers only.,28
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to songs. Ask the student to justify the answer briefly.,29
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to classroom objects. Use clear instructions and avoid unnecessary information.,30
early-childhood,quantity comparison,Create a conceptual question for children ages 4 to 5 to develop quantity comparison using a context related to classroom objects. Use clear instructions and avoid unnecessary information.,31
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Keep the wording concise and include an answer key.,32
early-childhood,simple patterns,Create a real-life word problem for children ages 4 to 5 to develop simple patterns using a context related to songs. Include one hint and the final answer.,33
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Keep the wording concise and include an answer key.,34
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Use values appropriate for the educational level.,35
early-childhood,sorting,Create a real-life word problem for children ages 4 to 5 to develop sorting using a context related to classroom objects. Ask the student to justify the answer briefly.,36
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to toys. Connect the task to a realistic situation.,37
early-childhood,sorting,Create a two-step problem for children ages 4 to 5 to develop sorting using a context related to playground objects. Keep the wording concise and include an answer key.,38
early-childhood,sorting,Create a conceptual question for children ages 4 to 5 to develop sorting using a context related to animals. Keep the wording concise and include an answer key.,39
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to toys. Connect the task to a realistic situation.,40
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to picture cards. Make the answer possible using text and numbers only.,41
early-childhood,number recognition,Create an error-analysis question for children ages 4 to 5 to develop number recognition using a context related to picture cards. Make the answer possible using text and numbers only.,42
early-childhood,counting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop counting using a context related to animals. Use values appropriate for the educational level.,43
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to songs. Connect the task to a realistic situation.,44
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to classroom objects. Include the correct answer and a brief solution.,45
early-childhood,simple patterns,Create an error-analysis question for children ages 4 to 5 to develop simple patterns using a context related to picture cards. Use values appropriate for the educational level.,46
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to classroom objects. Include one hint and the final answer.,47
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Keep the wording concise and include an answer key.,48
early-childhood,number recognition,Create a real-life word problem for children ages 4 to 5 to develop number recognition using a context related to picture cards. Use values appropriate for the educational level.,49
early-childhood,shape recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop shape recognition using a context related to toys. Include the correct answer and a brief solution.,50
early-childhood,shape recognition,Create a multiple-choice question with four options for children ages 4 to 5 to develop shape recognition using a context related to toys. Connect the task to a realistic situation.,51
early-childhood,counting,Create a two-step problem for children ages 4 to 5 to develop counting using a context related to picture cards. Ask the student to justify the answer briefly.,52
early-childhood,simple patterns,Create a short problem for children ages 4 to 5 to develop simple patterns using a context related to classroom objects. Use values appropriate for the educational level.,53
early-childhood,number recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop number recognition using a context related to picture cards. Make the answer possible using text and numbers only.,54
early-childhood,counting,Create a two-step problem for children ages 4 to 5 to develop counting using a context related to picture cards. Connect the task to a realistic situation.,55
early-childhood,shape recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop shape recognition using a context related to playground objects. Make the answer possible using text and numbers only.,56
early-childhood,shape recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Keep the wording concise and include an answer key.,57
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to animals. Include one hint and the final answer.,58
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to colored blocks. Keep the wording concise and include an answer key.,59
early-childhood,simple patterns,Create a two-step problem for children ages 4 to 5 to develop simple patterns using a context related to picture cards. Make the answer possible using text and numbers only.,60
early-childhood,quantity comparison,Create a fill-in-the-blank problem for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Include one hint and the final answer.,61
early-childhood,counting,Create a multiple-choice question with four options for children ages 4 to 5 to develop counting using a context related to toys. Use clear instructions and avoid unnecessary information.,62
early-childhood,simple patterns,Create a fill-in-the-blank problem for children ages 4 to 5 to develop simple patterns using a context related to fruit. Connect the task to a realistic situation.,63
early-childhood,simple patterns,Create a short problem for children ages 4 to 5 to develop simple patterns using a context related to playground objects. Include one hint and the final answer.,64
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Keep the wording concise and include an answer key.,65
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to animals. Make the answer possible using text and numbers only.,66
early-childhood,number recognition,Create a real-life word problem for children ages 4 to 5 to develop number recognition using a context related to playground objects. Include the correct answer and a brief solution.,67
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Use clear instructions and avoid unnecessary information.,68
early-childhood,sorting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop sorting using a context related to fruit. Include the correct answer and a brief solution.,69
early-childhood,sorting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop sorting using a context related to fruit. Make the answer possible using text and numbers only.,70
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to colored blocks. Use clear instructions and avoid unnecessary information.,71
early-childhood,quantity comparison,Create a short problem for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Keep the wording concise and include an answer key.,72
early-childhood,counting,Create a multiple-choice question with four options for children ages 4 to 5 to develop counting using a context related to fruit. Keep the wording concise and include an answer key.,73
early-childhood,simple patterns,Create a two-step problem for children ages 4 to 5 to develop simple patterns using a context related to classroom objects. Make the answer possible using text and numbers only.,74
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to songs. Use values appropriate for the educational level.,75
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Ask the student to justify the answer briefly.,76
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to fruit. Use clear instructions and avoid unnecessary information.,77
early-childhood,shape recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Connect the task to a realistic situation.,78
early-childhood,sorting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop sorting using a context related to colored blocks. Keep the wording concise and include an answer key.,79
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to toys. Use values appropriate for the educational level.,80
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Include the correct answer and a brief solution.,81
early-childhood,sorting,Create a real-life word problem for children ages 4 to 5 to develop sorting using a context related to songs. Connect the task to a realistic situation.,82
early-childhood,sorting,Create a two-step problem for children ages 4 to 5 to develop sorting using a context related to fruit. Connect the task to a realistic situation.,83
early-childhood,counting,Create a short problem for children ages 4 to 5 to develop counting using a context related to colored blocks. Include one hint and the final answer.,84
early-childhood,quantity comparison,Create a multiple-choice question with four options for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Make the answer possible using text and numbers only.,85
early-childhood,simple patterns,Create a two-step problem for children ages 4 to 5 to develop simple patterns using a context related to picture cards. Use clear instructions and avoid unnecessary information.,86
early-childhood,shape recognition,Create a short problem for children ages 4 to 5 to develop shape recognition using a context related to fruit. Use clear instructions and avoid unnecessary information.,87
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to songs. Keep the wording concise and include an answer key.,88
early-childhood,quantity comparison,Create a multiple-choice question with four options for children ages 4 to 5 to develop quantity comparison using a context related to picture cards. Ask the student to justify the answer briefly.,89
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Make the answer possible using text and numbers only.,90
early-childhood,counting,Create a real-life word problem for children ages 4 to 5 to develop counting using a context related to animals. Use values appropriate for the educational level.,91
early-childhood,counting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop counting using a context related to colored blocks. Keep the wording concise and include an answer key.,92
early-childhood,simple patterns,Create a short problem for children ages 4 to 5 to develop simple patterns using a context related to animals. Ask the student to justify the answer briefly.,93
early-childhood,number recognition,Create a real-life word problem for children ages 4 to 5 to develop number recognition using a context related to picture cards. Use clear instructions and avoid unnecessary information.,94
early-childhood,sorting,Create a conceptual question for children ages 4 to 5 to develop sorting using a context related to toys. Include one hint and the final answer.,95
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to picture cards. Keep the wording concise and include an answer key.,96
early-childhood,simple patterns,Create a conceptual question for children ages 4 to 5 to develop simple patterns using a context related to playground objects. Ask the student to justify the answer briefly.,97
early-childhood,counting,Create a two-step problem for children ages 4 to 5 to develop counting using a context related to toys. Use clear instructions and avoid unnecessary information.,98
early-childhood,counting,Create a short problem for children ages 4 to 5 to develop counting using a context related to fruit. Include one hint and the final answer.,99
early-childhood,sorting,Create a conceptual question for children ages 4 to 5 to develop sorting using a context related to toys. Make the answer possible using text and numbers only.,100
early-childhood,counting,Create a short problem for children ages 4 to 5 to develop counting using a context related to toys. Make the answer possible using text and numbers only.,101
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to animals. Include one hint and the final answer.,102
early-childhood,sorting,Create a multiple-choice question with four options for children ages 4 to 5 to develop sorting using a context related to fruit. Use values appropriate for the educational level.,103
early-childhood,sorting,Create an error-analysis question for children ages 4 to 5 to develop sorting using a context related to playground objects. Keep the wording concise and include an answer key.,104
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Include one hint and the final answer.,105
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Keep the wording concise and include an answer key.,106
early-childhood,simple patterns,Create an error-analysis question for children ages 4 to 5 to develop simple patterns using a context related to fruit. Use clear instructions and avoid unnecessary information.,107
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Ask the student to justify the answer briefly.,108
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to animals. Connect the task to a realistic situation.,109
early-childhood,counting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop counting using a context related to animals. Connect the task to a realistic situation.,110
early-childhood,number recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop number recognition using a context related to classroom objects. Include one hint and the final answer.,111
early-childhood,counting,Create a real-life word problem for children ages 4 to 5 to develop counting using a context related to fruit. Use values appropriate for the educational level.,112
early-childhood,number recognition,Create an error-analysis question for children ages 4 to 5 to develop number recognition using a context related to toys. Use values appropriate for the educational level.,113
early-childhood,quantity comparison,Create a conceptual question for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Use clear instructions and avoid unnecessary information.,114
early-childhood,shape recognition,Create a real-life word problem for children ages 4 to 5 to develop shape recognition using a context related to animals. Include one hint and the final answer.,115
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to playground objects. Use values appropriate for the educational level.,116
early-childhood,simple patterns,Create a conceptual question for children ages 4 to 5 to develop simple patterns using a context related to songs. Ask the student to justify the answer briefly.,117
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to songs. Ask the student to justify the answer briefly.,118
early-childhood,simple patterns,Create a question that requires showing the reasoning for children ages 4 to 5 to develop simple patterns using a context related to animals. Include one hint and the final answer.,119
upper-elementary,decimals,Create a real-life word problem for upper elementary students to develop decimals using a context related to class surveys. Make the answer possible using text and numbers only.,120
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to school projects. Keep the wording concise and include an answer key.,121
upper-elementary,data interpretation,Create a conceptual question for upper elementary students to develop data interpretation using a context related to class surveys. Ask the student to justify the answer briefly.,122
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to class surveys. Include the correct answer and a brief solution.,123
upper-elementary,data interpretation,Create an error-analysis question for upper elementary students to develop data interpretation using a context related to gardens. Use values appropriate for the educational level.,124
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to maps. Use clear instructions and avoid unnecessary information.,125
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to maps. Use clear instructions and avoid unnecessary information.,126
upper-elementary,measurement,Create a question that requires showing the reasoning for upper elementary students to develop measurement using a context related to recipes. Connect the task to a realistic situation.,127
upper-elementary,fractions,Create a fill-in-the-blank problem for upper elementary students to develop fractions using a context related to class surveys. Keep the wording concise and include an answer key.,128
upper-elementary,area and perimeter,Create a two-step problem for upper elementary students to develop area and perimeter using a context related to sports results. Keep the wording concise and include an answer key.,129
upper-elementary,fractions,Create a two-step problem for upper elementary students to develop fractions using a context related to maps. Keep the wording concise and include an answer key.,130
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to travel distances. Make the answer possible using text and numbers only.,131
upper-elementary,fractions,Create a multiple-choice question with four options for upper elementary students to develop fractions using a context related to shopping. Make the answer possible using text and numbers only.,132
upper-elementary,fractions,Create a multiple-choice question with four options for upper elementary students to develop fractions using a context related to school projects. Make the answer possible using text and numbers only.,133
upper-elementary,fractions,Create a short problem for upper elementary students to develop fractions using a context related to travel distances. Make the answer possible using text and numbers only.,134
upper-elementary,measurement,Create a two-step problem for upper elementary students to develop measurement using a context related to class surveys. Keep the wording concise and include an answer key.,135
upper-elementary,multi-digit operations,Create a conceptual question for upper elementary students to develop multi-digit operations using a context related to school projects. Keep the wording concise and include an answer key.,136
upper-elementary,multi-digit operations,Create a conceptual question for upper elementary students to develop multi-digit operations using a context related to sports results. Make the answer possible using text and numbers only.,137
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to sports results. Include one hint and the final answer.,138
upper-elementary,measurement,Create a conceptual question for upper elementary students to develop measurement using a context related to travel distances. Make the answer possible using text and numbers only.,139
upper-elementary,data interpretation,Create a short problem for upper elementary students to develop data interpretation using a context related to shopping. Make the answer possible using text and numbers only.,140
upper-elementary,area and perimeter,Create an error-analysis question for upper elementary students to develop area and perimeter using a context related to sports results. Make the answer possible using text and numbers only.,141
upper-elementary,area and perimeter,Create an error-analysis question for upper elementary students to develop area and perimeter using a context related to travel distances. Include one hint and the final answer.,142
upper-elementary,measurement,Create a fill-in-the-blank problem for upper elementary students to develop measurement using a context related to recipes. Use clear instructions and avoid unnecessary information.,143
upper-elementary,decimals,Create a fill-in-the-blank problem for upper elementary students to develop decimals using a context related to school projects. Include the correct answer and a brief solution.,144
upper-elementary,area and perimeter,Create a multiple-choice question with four options for upper elementary students to develop area and perimeter using a context related to travel distances. Use values appropriate for the educational level.,145
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to recipes. Include the correct answer and a brief solution.,146
upper-elementary,decimals,Create a fill-in-the-blank problem for upper elementary students to develop decimals using a context related to gardens. Include the correct answer and a brief solution.,147
upper-elementary,data interpretation,Create a question that requires showing the reasoning for upper elementary students to develop data interpretation using a context related to recipes. Use values appropriate for the educational level.,148
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to sports results. Make the answer possible using text and numbers only.,149
upper-elementary,fractions,Create a conceptual question for upper elementary students to develop fractions using a context related to school projects. Keep the wording concise and include an answer key.,150
upper-elementary,decimals,Create a conceptual question for upper elementary students to develop decimals using a context related to recipes. Include the correct answer and a brief solution.,151
upper-elementary,fractions,Create a fill-in-the-blank problem for upper elementary students to develop fractions using a context related to travel distances. Use clear instructions and avoid unnecessary information.,152
upper-elementary,multi-digit operations,Create an error-analysis question for upper elementary students to develop multi-digit operations using a context related to maps. Use clear instructions and avoid unnecessary information.,153
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to recipes. Include the correct answer and a brief solution.,154
upper-elementary,fractions,Create an error-analysis question for upper elementary students to develop fractions using a context related to school projects. Ask the student to justify the answer briefly.,155
upper-elementary,multi-digit operations,Create a real-life word problem for upper elementary students to develop multi-digit operations using a context related to shopping. Make the answer possible using text and numbers only.,156
upper-elementary,decimals,Create a short problem for upper elementary students to develop decimals using a context related to recipes. Ask the student to justify the answer briefly.,157
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to recipes. Ask the student to justify the answer briefly.,158
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to maps. Connect the task to a realistic situation.,159
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to recipes. Ask the student to justify the answer briefly.,160
upper-elementary,data interpretation,Create a two-step problem for upper elementary students to develop data interpretation using a context related to shopping. Use values appropriate for the educational level.,161
upper-elementary,area and perimeter,Create a conceptual question for upper elementary students to develop area and perimeter using a context related to travel distances. Keep the wording concise and include an answer key.,162
upper-elementary,fractions,Create a multiple-choice question with four options for upper elementary students to develop fractions using a context related to school projects. Use values appropriate for the educational level.,163
upper-elementary,measurement,Create a question that requires showing the reasoning for upper elementary students to develop measurement using a context related to travel distances. Use values appropriate for the educational level.,164
upper-elementary,decimals,Create a conceptual question for upper elementary students to develop decimals using a context related to shopping. Use values appropriate for the educational level.,165
upper-elementary,decimals,Create an error-analysis question for upper elementary students to develop decimals using a context related to maps. Make the answer possible using text and numbers only.,166
upper-elementary,measurement,Create a fill-in-the-blank problem for upper elementary students to develop measurement using a context related to travel distances. Keep the wording concise and include an answer key.,167
upper-elementary,measurement,Create a two-step problem for upper elementary students to develop measurement using a context related to school projects. Include one hint and the final answer.,168
upper-elementary,data interpretation,Create a conceptual question for upper elementary students to develop data interpretation using a context related to school projects. Connect the task to a realistic situation.,169
upper-elementary,decimals,Create a two-step problem for upper elementary students to develop decimals using a context related to class surveys. Keep the wording concise and include an answer key.,170
upper-elementary,measurement,Create a short problem for upper elementary students to develop measurement using a context related to school projects. Connect the task to a realistic situation.,171
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to sports results. Connect the task to a realistic situation.,172
upper-elementary,measurement,Create a multiple-choice question with four options for upper elementary students to develop measurement using a context related to travel distances. Ask the student to justify the answer briefly.,173
upper-elementary,measurement,Create an error-analysis question for upper elementary students to develop measurement using a context related to shopping. Ask the student to justify the answer briefly.,174
upper-elementary,data interpretation,Create a two-step problem for upper elementary students to develop data interpretation using a context related to school projects. Use clear instructions and avoid unnecessary information.,175
upper-elementary,decimals,Create a real-life word problem for upper elementary students to develop decimals using a context related to school projects. Connect the task to a realistic situation.,176
upper-elementary,measurement,Create a two-step problem for upper elementary students to develop measurement using a context related to class surveys. Make the answer possible using text and numbers only.,177
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to school projects. Ask the student to justify the answer briefly.,178
upper-elementary,multi-digit operations,Create a multiple-choice question with four options for upper elementary students to develop multi-digit operations using a context related to recipes. Keep the wording concise and include an answer key.,179
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to recipes. Ask the student to justify the answer briefly.,180
upper-elementary,fractions,Create a real-life word problem for upper elementary students to develop fractions using a context related to recipes. Include one hint and the final answer.,181
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to maps. Ask the student to justify the answer briefly.,182
upper-elementary,measurement,Create a fill-in-the-blank problem for upper elementary students to develop measurement using a context related to class surveys. Connect the task to a realistic situation.,183
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to travel distances. Include one hint and the final answer.,184
upper-elementary,fractions,Create a real-life word problem for upper elementary students to develop fractions using a context related to recipes. Include the correct answer and a brief solution.,185
upper-elementary,multi-digit operations,Create a short problem for upper elementary students to develop multi-digit operations using a context related to shopping. Ask the student to justify the answer briefly.,186
upper-elementary,data interpretation,Create a fill-in-the-blank problem for upper elementary students to develop data interpretation using a context related to class surveys. Make the answer possible using text and numbers only.,187
upper-elementary,area and perimeter,Create a conceptual question for upper elementary students to develop area and perimeter using a context related to gardens. Connect the task to a realistic situation.,188
upper-elementary,fractions,Create a fill-in-the-blank problem for upper elementary students to develop fractions using a context related to school projects. Connect the task to a realistic situation.,189
upper-elementary,fractions,Create a question that requires showing the reasoning for upper elementary students to develop fractions using a context related to school projects. Use clear instructions and avoid unnecessary information.,190
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to gardens. Use clear instructions and avoid unnecessary information.,191
upper-elementary,multi-digit operations,Create an error-analysis question for upper elementary students to develop multi-digit operations using a context related to sports results. Connect the task to a realistic situation.,192
upper-elementary,data interpretation,Create a fill-in-the-blank problem for upper elementary students to develop data interpretation using a context related to sports results. Use values appropriate for the educational level.,193
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to travel distances. Ask the student to justify the answer briefly.,194
upper-elementary,multi-digit operations,Create a short problem for upper elementary students to develop multi-digit operations using a context related to gardens. Include the correct answer and a brief solution.,195
upper-elementary,decimals,Create an error-analysis question for upper elementary students to develop decimals using a context related to maps. Use clear instructions and avoid unnecessary information.,196
upper-elementary,data interpretation,Create a question that requires showing the reasoning for upper elementary students to develop data interpretation using a context related to travel distances. Use clear instructions and avoid unnecessary information.,197
upper-elementary,area and perimeter,Create a real-life word problem for upper elementary students to develop area and perimeter using a context related to shopping. Ask the student to justify the answer briefly.,198
upper-elementary,multi-digit operations,Create a multiple-choice question with four options for upper elementary students to develop multi-digit operations using a context related to gardens. Use clear instructions and avoid unnecessary information.,199
upper-elementary,fractions,Create a two-step problem for upper elementary students to develop fractions using a context related to maps. Connect the task to a realistic situation.,200
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to class surveys. Keep the wording concise and include an answer key.,201
upper-elementary,fractions,Create a question that requires showing the reasoning for upper elementary students to develop fractions using a context related to travel distances. Make the answer possible using text and numbers only.,202
upper-elementary,data interpretation,Create an error-analysis question for upper elementary students to develop data interpretation using a context related to sports results. Include the correct answer and a brief solution.,203
upper-elementary,area and perimeter,Create a real-life word problem for upper elementary students to develop area and perimeter using a context related to travel distances. Keep the wording concise and include an answer key.,204
upper-elementary,area and perimeter,Create an error-analysis question for upper elementary students to develop area and perimeter using a context related to school projects. Connect the task to a realistic situation.,205
upper-elementary,decimals,Create a two-step problem for upper elementary students to develop decimals using a context related to maps. Connect the task to a realistic situation.,206
upper-elementary,decimals,Create a real-life word problem for upper elementary students to develop decimals using a context related to recipes. Include one hint and the final answer.,207
upper-elementary,data interpretation,Create an error-analysis question for upper elementary students to develop data interpretation using a context related to class surveys. Connect the task to a realistic situation.,208
upper-elementary,data interpretation,Create a fill-in-the-blank problem for upper elementary students to develop data interpretation using a context related to gardens. Ask the student to justify the answer briefly.,209
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to school projects. Use clear instructions and avoid unnecessary information.,210
upper-elementary,multi-digit operations,Create a multiple-choice question with four options for upper elementary students to develop multi-digit operations using a context related to class surveys. Use clear instructions and avoid unnecessary information.,211
upper-elementary,decimals,Create a conceptual question for upper elementary students to develop decimals using a context related to gardens. Include one hint and the final answer.,212
