prompt,response_1,calificacion_response_1,response_2,calificacion_response_2,response_3,calificacion_response_3,response_4,calificacion_response_4
"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What number do you need to multiply by 4 to get 48?",1,"assistant

Tommy had 15 balloons for his 6th birthday party. He gave 3 to his friends as gifts. How many balloons did Tommy have left?",4,"assistant

Tommy has 15 boxes of crayons in his art box. He wants to put 3 boxes of crayons on each table for a party. How many tables can he set up?",3,"assistant

What number do you need to multiply by 4 to get 168?",2
"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is 5 + 8 + 12?",1,"assistant

What is 5 + 8 + 12?",2,"assistant

What is 5 + 8 + 12?",3,"assistant

What is 5 + 8 + 12?",4
"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","assistant

What is the greatest common factor of 12, 18, 24, and 30?",1,"assistant

What is the greatest common factor of 12, 18, 24, and 30?",2,"assistant

What is the greatest common factor of 12, 18, 24, and 30?",3,"assistant

What is the greatest common factor of 12, 18, 24, and 30?",4
"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Maria has 5 boxes of cat food that she needs to distribute among 3 different rooms in the shelter. If each room needs 2 boxes of food, how many boxes of food will Maria have left after distributing them to the 3 rooms?",4,"assistant

Tom has 5 boxes of cat food, and each box contains 8 cans of food. How many cans of food does Tom have in total?",3,"assistant

Tom has 5 boxes of cat food. Each box contains 8 bags of food. How many bags of food does Tom have in total?",2,"assistant

A pet shelter has 15 dogs and 8 cats. If they receive 3 more dogs and 4 more cats, how many pets will they have in total?",1
"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the main difference between a lemon and an orange?",4,"assistant

What is the main ingredient in a typical fruit smoothie, and what is the most common type of fruit used in smoothies?",1,"assistant

What is the process called when a customer pays for a fruit that has been damaged or spoiled?",2,"assistant

What is the process of removing the outer skin of a fruit, while preserving its flavor and nutrients?",3
"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is 25 + 15 - 7?",3,"assistant

What is the total number of seashells found on the beach if 15 shells were found on the beach and 8 more were added to the total?",2,"assistant

What is the total number of seashells found on the beach if 15 seashells are found on the left side of the beach and 12 seashells are found on the right side?",1,"assistant

What is 25 + 18 - 7?",4
"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when the shelter is open from 9am to 5pm?",1,"assistant

What is the time on the clock in 3 o'clock?",3,"assistant

What is the time on the clock in 3 o'clock?",4,"assistant

What is the time on the clock when it is 3 o'clock in the afternoon?",2
"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 15 seashells in his bucket. He finds 7 more shells on the beach. How many seashells does Tommy have now?",4,"assistant

Tom and his friend went to the beach and found 15 seashells on the shore. They collected 7 more seashells while they were there. How many seashells did Tom and his friend have in total?",3,"assistant

Tom and Alex went to the beach and bought 5 bags of ice cream. They found 2 more bags on the beach. How many bags of ice cream did they have in total?",2,"assistant

Tom and Alex went to the beach and collected 5 seashells. They found 2 more shells on the beach. How many seashells did they have in total?",1
"Create one basic question about an equivalent ratio for an upper elementary student in the context of a sports day, using two types of objects. Use whole numbers only. Return one question only, written as plain text.","assistant

What is the ratio of the number of points scored by the basketball team to the number of points scored by the soccer team in a game?",2,"assistant

What is the ratio of the number of points scored by the basketball team to the number of points scored by the soccer team in a game?",3,"assistant

What is the ratio of the number of points scored by the basketball team to the number of points scored by the soccer team in a game?",4,"assistant

What is the ratio of the number of points scored by the basketball team to the number of points scored by the soccer team during a sports day?",1
"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text.","assistant

A farmer has 4 baskets of wheat, and each basket contains 6 sacks of wheat. How many sacks of wheat does the farmer have in total?",1,"assistant

A farmer has 4 baskets of wheat, and each basket can hold 8 sacks of wheat. How many sacks of wheat does the farmer have in total?",4,"assistant

A farmer has 4 baskets of apples, and each basket contains 6 apples. How many apples does the farmer have in total?",2,"assistant

A farmer has 4 baskets of wheat, and each basket contains 6 sacks of wheat. How many sacks of wheat does the farmer have in total?",3
"Create a single moderate question about the least common multiple for a young learner ready for a challenge in the context of a beach visit, with an LCM below 60. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the least common multiple of 12 and 18 that is less than 60?",2,"assistant

What is the least common multiple of 12, 18, and 24 that is less than 60?",1,"assistant

What is the least common multiple of 18 and 24 that is less than 60?",3,"assistant

What is the least common multiple of 12 and 18 that is less than 60?",4
"Write a single easy question comparing two quantities for an elementary student in the context of a science fair, with equal values as one possible result. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the difference between the volume of a cube and a sphere?",3,"assistant

What is the main difference between the density of a solid and a liquid?",2,"assistant

What is the difference between the volume of a cube and a sphere?",4,"assistant

What is the difference between the volume of a 2-liter bottle of water and a 1-liter bottle of water?",1
"Write a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a school cafeteria, using facts from 2 to 5. Make the situation realistic. Use plain text only and provide no solution or explanation.","assistant

A group of 5 students are sitting at a table in the cafeteria. The students are equally divided into two groups of 2. What is the average height of the students in each group?",1,"assistant

A group of 15 students are seated at a long table in the cafeteria. 8 students are eating at a table with 2 chairs, 4 students are eating at a table with 3 chairs, and 3 students are eating at a table with 1 chair. How many students are eating at the tables with 1 chair?",4,"assistant

A group of 15 students are seated in a cafeteria, and 8 of them are wearing uniforms. If 3 students are absent, the remaining 12 students are divided into 3 groups of 4. How many students are in the groups?",3,"assistant

A group of 5 students are seated at a table in the cafeteria. The total number of students in the cafeteria is 25. If 3 students leave the cafeteria, how many students are left in the cafeteria?",2
"Prepare a single basic question about sides and vertices for a young math learner in the context of a garden, using triangles and quadrilaterals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape with four sides that are all of equal length?",1,"assistant

What is the name of the shape that has four sides and four right angles?",3,"assistant

What is the name of the shape with four sides that has four right angles?",4,"assistant

What is the name of the shape with four sides that are all of equal length?",2
"Generate a single simple greater-than or less-than question for a primary school student in the context of a fruit shop, using numbers up to 20. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

What is the number of apples in the fruit stand that weighs more than 10 kilograms?",4,"assistant

What is the largest number of apples in a basket that can be put in a fruit shop?",1,"assistant

What is the largest number of apples that can be sold in a fruit shop?",2,"assistant

What is the largest number of apples that can be sold in a fruit shop?",3
"Make one basic question about choosing the correct time for an elementary student in the context of a sports day, using half hours. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What time should the school start for a sports day in the morning?",1,"assistant

What time should the school start for a sports day in the morning?",2,"assistant

What time should the school start for a 1 hour sports day?",3,"assistant

What time should the school start for a 1 hour sports day?",4
"Create a single moderate question about taking away for an elementary student in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the sum of the numbers from 1 to 50?",2,"assistant

What is the total number of guests that can attend a birthday party if there are 5 guests, 8 party hats, and 3 balloons, and each guest wears 2 hats and 2 balloons?",1,"assistant

What is the sum of the numbers from 1 to 50?",3,"assistant

What is the sum of the numbers from 1 to 50?",4
"Generate one slightly challenging challenging multi-step math word problem for a primary school student learning advanced topics in the context of a school cafeteria, without requiring a drawing. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

A school cafeteria has 240 boxes of cereal, and they need to package 480 boxes of cereal into boxes that hold 12 ounces each. How many boxes of cereal will they need to package?",2,"assistant

A school cafeteria has 240 boxes of cereal, and each box contains 12 servings. If 1/4 of the boxes are sold, how many servings of cereal are left?",1,"assistant

Maria is the head chef in a school cafeteria. She needs to package 480 cookies for a school event. She has 12 boxes of cookies to package, and each box can hold 80 cookies. How many boxes of cookies will Maria need to buy?",3,"assistant

The school cafeteria is planning a special event for the annual Harvest Festival. The cafeteria needs to prepare 480 boxes of fruit salad for the event. Each box contains 12 cups of fruit. If the cafeteria has 24 boxes of fruit salad, how many cups of fruit will be prepared in total?",4
"Prepare one easy mixed-operation problem with addition and subtraction for an upper elementary student in the context of a community park, with no negative answer. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What is the total amount of money collected from selling lemonade at the community park's summer fair?",3,"assistant

What is the total cost of the playground equipment rental for the day, if the cost of the swings is $120, the slide is $80, and the merry-go-round is $50, and the park also needs to pay $20 for the water fountain?",1,"assistant

What is 15 + 7 - 3?",4,"assistant

What is the total cost of the playground equipment rental for the day, if the cost of the swings is $120, the slide is $80, and the merry-go-round is $150, and the total cost of the picnic tables is $200?",2
"Make one moderate logic-based elementary math question for a young learner ready for a challenge in the context of a sports day, combining time and addition. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the total number of minutes in 5 hours and 20 minutes?",1,"assistant

Tommy has 15 balls in his bag. He gives 3 to his friend. How many balls does Tommy have left?",4,"assistant

What is the total number of minutes in 5 hours and 20 minutes?",2,"assistant

What is the total number of minutes in 15 seconds?",3
"Create a single moderate short multiplication fact problem for a primary school student in the context of a farm, using four equal groups. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

Tom has 4 baskets of apples, and each basket contains 6 apples. How many apples does Tom have in total?",1,"assistant

Tom has 4 baskets of apples, and each basket contains 6 apples. How many apples does Tom have in total?",2,"assistant

Tom has 4 baskets of apples, and each basket contains 6 apples. How many apples does Tom have in total?",3,"assistant

Tom has 4 baskets of apples, and each basket contains 6 apples. How many apples does Tom have in total?",4
"Write a single simple subtraction question with a missing number for an upper elementary student in the context of a school cafeteria, with simple borrowing. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is 15 - 7?",2,"assistant

What is 15 - 7?",3,"assistant

Tom has 15 pencils in his pencil case. He gives 3 pencils to his friend. How many pencils does Tom have left?",1,"assistant

What is 15 - 8?",4
"Create one slightly challenging question about the greatest common divisor for a young learner ready for a challenge in the context of a birthday party, using numbers below 50. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

What number below 50 is the greatest common divisor of 12, 18, 24, 30, and 36?",4,"assistant

What is the greatest common divisor of 24 and 48?",1,"assistant

What is the greatest common divisor of 24 and 36?",2,"assistant

What is the greatest common divisor of 24 and 36?",3
"Make a single slightly challenging question about sides and vertices for a student learning basic mathematics in the context of a school library, about identifying a shape. Keep the question concise. Return one question only, written as plain text.","assistant

What is the sum of the interior angles of a triangle if the sum of its interior angles is 180 degrees and the angles are 30, 60, and 90 degrees?",4,"assistant

What is the sum of the interior angles of a triangle if the sum of its interior angles is 180 degrees and one angle is 60 degrees?",3,"assistant

What is the sum of the interior angles of a triangle if one angle is 90 degrees and the other two angles are 30 degrees each?",1,"assistant

What is the sum of the interior angles of a triangle if one angle is 60 degrees and the other two angles are 30 degrees each?",2
"Prepare a single easy question about rows and columns described with words for a young math learner in the context of a beach visit, using four equal groups. Make all needed information explicit. Return one question only, written as plain text.","assistant

Here's a simple math question about rows and columns for a young math learner:

What is the total number of beach chairs if there are 8 rows of chairs and 6 columns?",2,"assistant

Here's a question about rows and columns for a young math learner in the context of a beach visit:

What is the total number of rows and columns on a beach with 8 rows and 6 columns?",1,"assistant

Here's a simple math question about rows and columns for a young math learner:

What is the total number of beach chairs in the rows if there are 8 rows and 6 chairs in each row?",3,"assistant

Here's a simple math question about rows and columns for a young math learner:

If there are 8 rows of seashells on a beach and 6 columns of beach chairs, how many beach chairs are there in total?",4
"Create one easy question comparing two quantities for a young math learner in the context of a camping trip, with a short real-life situation. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is the difference between 2 cups of water and 1 cup of water in a 3-liter bottle?",1,"assistant

What is the difference between the weight of a tent and a backpack?",3,"assistant

What is the difference between the weight of a tent and a backpack?",4,"assistant

What is the difference between 3/4 of a gallon and 2/3 of a gallon?",2
"Write one slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a birthday party, using an equal-row situation. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","assistant

A group of 15 friends are invited to a birthday party. They are divided into 5 rows of 3 friends each. How many friends will be at the party?",1,"assistant

A group of friends are planning a birthday party for their classmate Emma. Emma's parents have asked them to help with the party preparations. They need to decorate the party area, which has 8 tables with 4 tables of 4 chairs each. How many chairs will the friends need to set up in total?",3,"assistant

A group of friends are planning a birthday party for their classmate, Emma. Emma has 12 friends coming to the party, and they want to divide the party area into 4 equal rows. How many rows can they make?",2,"assistant

A group of friends are planning a birthday party for their classmate, Emma. Emma's birthday is in two weeks, and she wants to invite 8 friends to the party. The party is being held in a school hall with 4 tables, and each table can hold 6 guests. How many tables are needed to accommodate all of Emma's friends?",4
"Make a single slightly challenging question about two repeating events for a young learner ready for a challenge in the context of a playground, with an LCM below 60. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the LCM of 12 and 18?",1,"assistant

What is the smallest number that can be divided evenly by both 12 and 18?",2,"assistant

What is the smallest number that can be divided evenly by both 12 and 18?",3,"assistant

What is the smallest number that can be divided evenly by both 12 and 18?",4
"Make one slightly challenging question about finding a total and then what remains for an upper elementary student in the context of a bus trip, with no negative answer. Make all needed information explicit. Output only the question in text form, without hints or an answer.","assistant

What percentage of the total cost of the bus trip will be spent on food?",2,"assistant

What fraction of the bus ride is left when 1/6 of the bus is taken off to let a group of children get off, and then 1/4 of the bus is left for the remaining children?",4,"assistant

What fraction of the total number of seats on the bus is left after 75 students have boarded and 25 students have left?",3,"assistant

What percentage of the total distance of the bus trip will be covered by the students walking?",1
"Generate one slightly challenging addition question with three addends for a young math learner in the context of a community park, using three small whole numbers. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tommy has 15 pencils in his pencil case. His friend Emma gives him 8 more pencils. How many pencils does Tommy have now?",2,"assistant

Tommy has 15 pencils in his pencil case. His friend Emma gives him 7 more pencils. How many pencils does Tommy have now?",3,"assistant

In a community park, there are 15 swings, 8 slides, and 4 picnic tables. How many picnic tables are there in total?",1,"assistant

In a community park, there are 15 swings, 8 slides, and 12 picnic tables. How many tables can be set up in the park?",4
"Create a single basic short multiplication fact problem for a primary school student in the context of a book fair, with a product below 100. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

5 x 2 = ?",1,"assistant

5 x 2 = ?",2,"assistant

5 x 3 = ?",3,"assistant

2 x 5 = ?",4
"Create one basic subtraction word problem for an elementary student in the context of a school cafeteria, using two-digit numbers. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 15 pencils in his pencil case. His friend gives him 7 more pencils. How many pencils does Tom have now?",3,"assistant

Tom has 14 pencils in his pencil case. His friend gives him 25 pencils. How many pencils does Tom have now?",2,"assistant

What is 45 - 27?",4,"assistant

Tom has 25 pencils in his pencil case. His friend gives him 17 more pencils. How many pencils does Tom have now?",1
"Prepare one basic question using repeated addition for a primary school student in the context of a birthday party, without showing an array. Make all needed information explicit. Output only the question in text form, without hints or an answer.","assistant

What is 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2?",3,"assistant

What number of presents will be given to the 5 children at the birthday party if 2 more presents are added to the 8 presents that are already there?",1,"assistant

What number of presents will be given to Emma at her birthday party if she has 5 friends coming and each friend will get 2 presents?",2,"assistant

What is 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2?",4
"Create a single moderate mixed-skills mathematics challenge for a young learner ready for a challenge in the context of a school library, combining geometry and arithmetic. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","assistant

Find the perimeter of a rectangle with a length of 8 cm and a width of 5 cm.",1,"assistant

Find the perimeter of a rectangle with a length of 8 cm and a width of 5 cm.",2,"assistant

Find the perimeter of a rectangle with a length of 8 cm and a width of 5 cm.",3,"assistant

Find the perimeter of a rectangle with a length of 8 cm and a width of 5 cm.",4
"Prepare a single easy question about choosing the correct time for an upper elementary student in the context of a classroom, using whole hours. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","assistant

What time should you start the class on a Monday morning?",2,"assistant

What is the best time to start a 9:00 AM class?",1,"assistant

What time should you start the school day at 8:30 AM?",3,"assistant

What time should you start the school day?",4
"Generate a single slightly challenging elapsed-time word problem for a student learning basic mathematics in the context of a garden, using half hours. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

A gardener is tasked with watering a 20,000 sqft garden for 2 hours. If the water required is 1 gallon per 100 sqft, how many gallons will be used?",3,"assistant

Tom has been tasked with watering a large garden that needs to be watered for 2.5 hours. If he has 1.8 liters of water in his bucket and 0.4 liters of water already used, how many more liters of water will he need to buy?",4,"assistant

A gardener is tasked with watering 15 rows of flowers in a rectangular garden that is 8 meters long and 4 meters wide. If the gardener can water each row in 30 minutes, how many minutes will it take to water all 15 rows?",1,"assistant

A gardener is tasked with watering 15 rows of flowers in a rectangular garden that is 8 meters long and 4 meters wide. If the gardener can water 2.5 meters of flowers per hour, how many hours will it take to water all the flowers?",2
"Generate a single easy logic-based elementary math question for an upper elementary student in the context of a community park, combining addition and multiplication. Use one direct question at the end. Return only the question in plain text, with no answer or explanation.","assistant

What is 3 x 6 + 2?",1,"assistant

What is 3 x 6 + 2?",2,"assistant

What is 4 x 6 + 9?",3,"assistant

What is 3 x 6 + 9?",4
"Write one basic question about the least common multiple for a young learner ready for a challenge in the context of a school library, using two repeating time intervals. Make all needed information explicit. Output only the question in text form, without hints or an answer.","assistant

What is the least common multiple of 8 hours and 4 days?",1,"assistant

What is the least common multiple of 6 hours and 24 minutes?",2,"assistant

What is the least common multiple of 4 hours and 8 hours?",4,"assistant

What is the least common multiple of 8 hours and 4 days?",3
"Prepare one easy question about making equal groups for an elementary student in the context of a sports day, using a simple sharing situation. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the best way to divide a group of 15 students into equal groups for a sports day activity?",1,"assistant

What is the best way to divide the students into equal groups for a sports day?",4,"assistant

What is the best way to divide the students into equal groups for a sports day competition?",3,"assistant

What is the best way to divide a group of 12 students into equal groups for a sports day?",2
"Write one easy missing-number equation for a young learner ready for a challenge in the context of a garden, using numbers below 50. Keep the question concise. Return one question only, written as plain text.","assistant

What number is missing from the sequence: 1, 2, 4, 8, 16, 32?",3,"assistant

What number is missing in the sequence: 1, 2, 4, 8, 16, ?",4,"assistant

What number is missing from the following sequence: 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 47?",1,"assistant

What number is missing in the sequence: 2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 47?",2
"Make a single slightly challenging question about two repeating events for a primary school student learning advanced topics in the context of a sports day, using a school schedule situation. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

The school's annual sports day is scheduled to take place on a Saturday. The school's basketball team has been practicing for three weeks. They have been playing for 5 days a week, with a 30-minute practice session and a 1-hour match. What is the total number of practice sessions the team has had?",2,"assistant

What is the most likely time for the school's annual sports day to start, considering that the school day starts at 8:30am and the morning assembly is at 9:00am, and the first event is the 400m dash?",1,"assistant

The school has a 3pm - 4pm time slot for the school's annual sports day. The school has 3 teams competing in the 100m, 200m, and 400m events. The 100m team has won 2 events, the 200m team has won 1 event, and the 400m team has won 2 events. How many different combinations of teams can participate in the 100m, 200m, and 400m events?",4,"assistant

The school's annual sports day is scheduled to take place on a Saturday. The school's basketball team has been playing for 5 years and has won 20 games out of 50. What is the probability that the team will win at least 25 games this year?",3
"Create a single easy question about finding a total and then what remains for a student learning basic mathematics in the context of a bus trip, with no negative answer. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","assistant

What is the total amount of money left after a $20 bill and a $5 bill are added together?",4,"assistant

What is the total amount of money left after a student buys a $15 lunch and a $8 snack for a bus trip?",1,"assistant

What is the total amount of money spent on snacks and drinks on the bus trip?",3,"assistant

What is the total amount of money left after a group of students buy tickets for a bus trip?",2
"Make a single slightly challenging question about hours and minutes for an elementary student in the context of a bus trip, using an afternoon activity. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","assistant

What is the time it will be 3 hours and 45 minutes after 11:45 AM?",3,"assistant

What is the time it will be 5 hours and 15 minutes after 2:45 PM?",4,"assistant

What is the total number of minutes in the afternoon if a bus travels 12 miles and takes 45 minutes to cover 6 stops?",1,"assistant

What is the total number of minutes in the afternoon if it takes 2 hours and 45 minutes for the bus to travel from school to the park and back?",2
"Create one simple simple LCM word problem for an upper elementary student in the context of a fruit shop, using two small multiples. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

A fruit shop sells apples at 3 times the price of bananas. If a basket of 5 apples costs $8, how much does a basket of bananas cost?",2,"assistant

A fruit shop sells apples at $2.50 per pound and oranges at $3.25 per pound. If a customer buys 3 pounds of apples and 4 oranges, how much will they pay in total?",3,"assistant

What is the LCM of 4 and 6?",1,"assistant

A fruit shop sells apples and bananas at a ratio of 3:5. If they sell 25 apples and 50 bananas, how many sets of 5 apples and 5 bananas can they make?",4
