"Category folder (optional)","Category code","Question title","Question text","Question Type","Tolerance (for Numerical Questions)","Question answer value 1 (for all questions)","Question matching value (for Matching Questions) 1","Percentage Correct (for Multiple Choice questions) 1",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/zrsyyv.png"" > ","Numerical Question","2","27",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/jevjai.png"" > ","Numerical Question","2","-20",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/edhqur.png"" > ","Numerical Question","2","13",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/tsrhpq.png"" > ","Numerical Question","2","35",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/aonwey.png"" > ","Numerical Question","2","34",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/msdvyv.png"" > ","Numerical Question","2","19",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/zxaumk.png"" > ","Numerical Question","2","19",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/crthit.png"" > ","Numerical Question","2","31",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/yjfrjl.png"" > ","Numerical Question","2","45",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/gmujfs.png"" > ","Numerical Question","2","62",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/dnambl.png"" > ","Numerical Question","2","2",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/rojrrd.png"" > ","Numerical Question","2","22",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/kgylnq.png"" > ","Numerical Question","2","51",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/mcccly.png"" > ","Numerical Question","2","43",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/nytstw.png"" > ","Numerical Question","2","57",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/ipwqko.png"" > ","Numerical Question","2","33",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/wjezye.png"" > ","Numerical Question","2","25",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/iyhlrj.png"" > ","Numerical Question","2","18",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/aaulhw.png"" > ","Numerical Question","2","14",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/adxrcy.png"" > ","Numerical Question","2","11",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/xjrycr.png"" > ","Numerical Question","2","29",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/wiluyw.png"" > ","Numerical Question","2","20",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/oqkgkj.png"" > ","Numerical Question","2","43",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/fjooup.png"" > ","Numerical Question","2","17",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/gadffx.png"" > ","Numerical Question","2","32",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/jfrtaj.png"" > ","Numerical Question","2","0",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/ncxgmi.png"" > ","Numerical Question","2","26",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/jfgcdi.png"" > ","Numerical Question","2","57",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/drdbda.png"" > ","Numerical Question","2","0",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/utcmhk.png"" > ","Numerical Question","2","0",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/lcssuy.png"" > ","Numerical Question","2","49",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/iejgah.png"" > ","Numerical Question","2","6",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/huxtis.png"" > ","Numerical Question","2","9",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/ptiwmc.png"" > ","Numerical Question","2","7",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/pidzci.png"" > ","Numerical Question","2","27",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/fyhyvj.png"" > ","Numerical Question","2","39",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/bjpzls.png"" > ","Numerical Question","2","21",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/rjkfgw.png"" > ","Numerical Question","2","6",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/vfkkyc.png"" > ","Numerical Question","2","26",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/rfmbmh.png"" > ","Numerical Question","2","45",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/akrozl.png"" > ","Numerical Question","2","53",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/ihjmvg.png"" > ","Numerical Question","2","12",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/nssxsy.png"" > ","Numerical Question","2","20",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/qumkws.png"" > ","Numerical Question","2","25",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/xtfbds.png"" > ","Numerical Question","2","28",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/ihvzzo.png"" > ","Numerical Question","2","8",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/cuupcf.png"" > ","Numerical Question","2","26",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/vqwfbr.png"" > ","Numerical Question","2","17",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/wnlanw.png"" > ","Numerical Question","2","31",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/tezjpt.png"" > ","Numerical Question","2","30",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/lehbba.png"" > ","Numerical Question","2","9",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/otxfpm.png"" > ","Numerical Question","2","33",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/fazvlz.png"" > ","Numerical Question","2","0",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/bsdzph.png"" > ","Numerical Question","2","27",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/cxwbqx.png"" > ","Numerical Question","2","51",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/zkfwre.png"" > ","Numerical Question","2","40",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/pfefsg.png"" > ","Numerical Question","2","15",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/hdvhxc.png"" > ","Numerical Question","2","32",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/djhhou.png"" > ","Numerical Question","2","12",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/xjbwco.png"" > ","Numerical Question","2","16",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/fwtrcv.png"" > ","Numerical Question","2","0",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/qgqcqe.png"" > ","Numerical Question","2","44",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/kpondh.png"" > ","Numerical Question","2","21",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/quklmf.png"" > ","Numerical Question","2","0",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/cylocm.png"" > ","Numerical Question","2","24",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/gxxziz.png"" > ","Numerical Question","2","24",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/jaziya.png"" > ","Numerical Question","2","48",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/pyutin.png"" > ","Numerical Question","2","7",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/pattfk.png"" > ","Numerical Question","2","12",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/idsxmn.png"" > ","Numerical Question","2","30",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/dooayp.png"" > ","Numerical Question","2","30",""," ",
"//Programming/C programming quizzes/if-else and while","if_else_while_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_while_c_df/iijwna.png"" > ","Numerical Question","2","20",""," ",
"//Programming/C programming quizzes/if-else statements","if_else_statements_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_statements_c_df/jhgtdu.png"" > ","Numerical Question","2","36",""," ",
"//Programming/C programming quizzes/if-else statements","if_else_statements_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_statements_c_df/swovbt.png"" > ","Numerical Question","2","29",""," ",
"//Programming/C programming quizzes/if-else statements","if_else_statements_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_statements_c_df/gxocwb.png"" > ","Numerical Question","2","15",""," ",
"//Programming/C programming quizzes/if-else statements","if_else_statements_c","Control Structures","What is the value of the variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/if_else_statements_c_df/roxcca.png"" > ","Numerical Question","2","-3",""," ",
