habilidad,prompt
addition,"Create one simple addition word problem for a student learning basic mathematics in the context of a fruit shop, using two-digit numbers. Make the situation realistic. Output only the question in text form, without hints or an answer."
addition,"Create one basic short sum problem for a young math learner in the context of a school library, with no regrouping. Use whole numbers only. Use plain text only and provide no solution or explanation."
addition,"Generate one simple question that requires finding a total for an elementary student in the context of a bakery, using one missing addend. Make the situation realistic. Output only the question in text form, without hints or an answer."
addition,"Write one moderate addition question with three addends for a primary school student in the context of a school cafeteria, using numbers up to 100. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
addition,"Prepare one basic short sum problem for an elementary student in the context of a birthday party, with no regrouping. Make the situation realistic. Use plain text only and provide no solution or explanation."
addition,"Generate a single slightly challenging question that requires finding a total for a primary school student in the context of a school library, using numbers up to 50. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
addition,"Write one moderate short sum problem for an upper elementary student in the context of a school library, using numbers up to 20. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
addition,"Write a single basic question that requires finding a total for a student learning basic mathematics in the context of a toy store, using numbers up to 50. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
addition,"Make one simple question about adding two quantities for an upper elementary student in the context of a music class, using numbers up to 100. Make all needed information explicit. Give only the question as plain text. Do not include the solution."
addition,"Generate one moderate addition question with three addends for a student learning basic mathematics in the context of a garden, using one missing addend. Make the situation realistic. Output only the question in text form, without hints or an answer."
addition,"Generate one easy addition question with three addends for a young math learner in the context of a farm, using numbers up to 20. Make all needed information explicit. Output only the question in text form, without hints or an answer."
addition,"Generate a single slightly challenging short sum problem for a young math learner in the context of a bus trip, using two-digit numbers. Make all needed information explicit. Output only the question in text form, without hints or an answer."
addition,"Prepare one simple short sum problem for an elementary student in the context of a classroom, using numbers up to 100. Use one direct question at the end. Output only the question in text form, without hints or an answer."
addition,"Make one moderate addition word problem for an upper elementary student in the context of a bakery, using two-digit numbers. Use whole numbers only. Use plain text only and provide no solution or explanation."
addition,"Generate one simple addition question with three addends for a young math learner in the context of a science fair, using numbers up to 100. Make the situation realistic. Give only the question as plain text. Do not include the solution."
addition,"Make a single easy addition question with three addends for an elementary student in the context of a fruit shop, with simple regrouping. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
addition,"Create a single simple addition word problem for a primary school student in the context of a classroom, using numbers up to 50. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
addition,"Generate a single simple question that requires finding a total for an upper elementary student in the context of a book fair, using one missing addend. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
addition,"Prepare a single slightly challenging addition question with three addends for a young math learner in the context of a family picnic, using numbers up to 100. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
addition,"Generate one moderate addition question with three addends for a student learning basic mathematics in the context of a beach visit, using numbers up to 50. Use whole numbers only. Return one question only, written as plain text."
addition,"Generate one basic addition question with three addends for an upper elementary student in the context of a camping trip, using three small whole numbers. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
addition,"Write a single slightly challenging addition word problem for a student learning basic mathematics in the context of a farm, using numbers up to 20. Make the situation realistic. Give only the question as plain text. Do not include the solution."
addition,"Prepare a single basic addition word problem for a student learning basic mathematics in the context of a farm, using two-digit numbers. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
addition,"Write one slightly challenging addition word problem for an elementary student in the context of a family picnic, using three small whole numbers. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
addition,"Write a single slightly challenging question that requires finding a total for a young math learner in the context of a playground, using three small whole numbers. Make the situation realistic. Give only the question as plain text. Do not include the solution."
addition,"Write one simple short sum problem for a young math learner in the context of a bakery, using numbers up to 100. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
addition,"Make a single easy short sum problem for an upper elementary student in the context of a playground, with no regrouping. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer."
addition,"Create a single basic short sum problem for an upper elementary student in the context of a classroom, with simple regrouping. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
addition,"Create a single moderate question about adding two quantities for a young math learner in the context of a school library, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation."
addition,"Write a single slightly challenging question about adding two quantities for a student learning basic mathematics in the context of a classroom, using two-digit numbers. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
addition,"Generate one slightly challenging addition question with three addends for a young math learner in the context of a community park, using three small whole numbers. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer."
addition,"Create one easy addition question with three addends for a student learning basic mathematics in the context of a classroom, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation."
addition,"Generate one moderate question that requires finding a total for a primary school student in the context of a bakery, using three small whole numbers. Use whole numbers only. Give only the question as plain text. Do not include the solution."
addition,"Create one slightly challenging question that requires finding a total for a student learning basic mathematics in the context of a community park, with no regrouping. Use familiar vocabulary. Return one question only, written as plain text."
addition,"Create a single simple addition question with three addends for an upper elementary student in the context of a music class, with no regrouping. Keep the question concise. Use plain text only and provide no solution or explanation."
addition,"Make one moderate question about adding two quantities for a primary school student in the context of a camping trip, using numbers up to 100. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
addition,"Create a single simple question that requires finding a total for a primary school student in the context of a bus trip, using numbers up to 50. Make all needed information explicit. Give only the question as plain text. Do not include the solution."
addition,"Prepare one moderate question about adding two quantities for an upper elementary student in the context of a community park, using numbers up to 100. Use one direct question at the end. Output only the question in text form, without hints or an answer."
addition,"Write one basic question that requires finding a total for a student learning basic mathematics in the context of a school cafeteria, with simple regrouping. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
addition,"Create a single slightly challenging addition question with three addends for a young math learner in the context of a bakery, using numbers up to 20. Make the situation realistic. Use plain text only and provide no solution or explanation."
addition,"Make one basic question that requires finding a total for an elementary student in the context of a family picnic, using numbers up to 100. Make the situation realistic. Give only the question as plain text. Do not include the solution."
addition,"Generate a single slightly challenging question about adding two quantities for a student learning basic mathematics in the context of a classroom, with no regrouping. Keep the question concise. Use plain text only and provide no solution or explanation."
addition,"Prepare one moderate question that requires finding a total for a primary school student in the context of a school cafeteria, using numbers up to 20. Make all needed information explicit. Give only the question as plain text. Do not include the solution."
addition,"Write a single basic question that requires finding a total for an upper elementary student in the context of a camping trip, using three small whole numbers. Keep the question concise. Give only the question as plain text. Do not include the solution."
addition,"Create a single moderate addition word problem for a young math learner in the context of a music class, using three small whole numbers. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
addition,"Write a single simple question that requires finding a total for a primary school student in the context of a science fair, with simple regrouping. Make all needed information explicit. Return one question only, written as plain text."
addition,"Create a single easy addition word problem for an elementary student in the context of a toy store, using numbers up to 100. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
addition,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation."
subtraction,"Generate a single easy short difference problem for a student learning basic mathematics in the context of a sports day, using numbers up to 100. Make all needed information explicit. Return one question only, written as plain text."
subtraction,"Generate a single simple short difference problem for a student learning basic mathematics in the context of a camping trip, using a comparison situation. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
subtraction,"Write a single easy question about finding what remains for an elementary student in the context of a beach visit, using a comparison situation. Make the situation realistic. Return one question only, written as plain text."
subtraction,"Create one simple subtraction word problem for a student learning basic mathematics in the context of a family picnic, using numbers up to 20. Use one direct question at the end. Return only the question in plain text, with no answer or explanation."
subtraction,"Write one simple question about finding what remains for a student learning basic mathematics in the context of a school library, using numbers up to 50. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
subtraction,"Create one simple subtraction question with a missing number for a student learning basic mathematics in the context of a playground, using numbers up to 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
subtraction,"Write a single slightly challenging subtraction word problem for a student learning basic mathematics in the context of a book fair, with no borrowing. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
subtraction,"Prepare one moderate subtraction question with a missing number for an upper elementary student in the context of a book fair, using numbers up to 20. Make all needed information explicit. Return one question only, written as plain text."
subtraction,"Make one moderate subtraction word problem for a young math learner in the context of a garden, using numbers up to 20. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
subtraction,"Write a single basic subtraction question with a missing number for a student learning basic mathematics in the context of a fruit shop, using a comparison situation. Make the situation realistic. Output only the question in text form, without hints or an answer."
subtraction,"Prepare one simple short difference problem for an upper elementary student in the context of a birthday party, using a comparison situation. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
subtraction,"Create a single easy question about taking away for a student learning basic mathematics in the context of a science fair, using numbers up to 20. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
subtraction,"Generate a single easy subtraction word problem for an elementary student in the context of a science fair, using numbers up to 100. Keep the question concise. Return one question only, written as plain text."
subtraction,"Write one moderate question about finding what remains for a student learning basic mathematics in the context of a farm, using a comparison situation. Use whole numbers only. Return one question only, written as plain text."
subtraction,"Write one basic question about finding what remains for a primary school student in the context of a birthday party, with no borrowing. Keep the question concise. Use plain text only and provide no solution or explanation."
subtraction,"Create one simple subtraction question with a missing number for an upper elementary student in the context of a toy store, using two-digit numbers. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
subtraction,"Write one easy subtraction word problem for an elementary student in the context of a book fair, where the answer is positive. Make all needed information explicit. Use plain text only and provide no solution or explanation."
subtraction,"Create a single easy subtraction word problem for an upper elementary student in the context of a music class, with no borrowing. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
subtraction,"Generate a single basic question about finding what remains for an elementary student in the context of a school library, where the answer is positive. Use whole numbers only. Use plain text only and provide no solution or explanation."
subtraction,"Create one basic subtraction word problem for an elementary student in the context of a school cafeteria, using two-digit numbers. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation."
subtraction,"Create a single slightly challenging question about taking away for an elementary student in the context of a family picnic, using numbers up to 100. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
subtraction,"Make one slightly challenging short difference problem for an upper elementary student in the context of a toy store, with no borrowing. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation."
subtraction,"Create one moderate subtraction word problem for an upper elementary student in the context of a sports day, using two-digit numbers. Keep the question concise. Give only the question as plain text. Do not include the solution."
subtraction,"Prepare one slightly challenging subtraction question with a missing number for an upper elementary student in the context of a family picnic, with simple borrowing. Make all needed information explicit. Output only the question in text form, without hints or an answer."
subtraction,"Create a single moderate question about taking away for an elementary student in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation."
subtraction,"Generate a single slightly challenging subtraction question with a missing number for a student learning basic mathematics in the context of a school library, where the answer is positive. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
subtraction,"Create a single moderate subtraction question with a missing number for an upper elementary student in the context of a playground, where the answer is positive. Make all needed information explicit. Use plain text only and provide no solution or explanation."
subtraction,"Create one slightly challenging subtraction question with a missing number for a young math learner in the context of a family picnic, with no borrowing. Make all needed information explicit. Use plain text only and provide no solution or explanation."
subtraction,"Generate a single basic subtraction word problem for a primary school student in the context of a sports day, using numbers up to 100. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
subtraction,"Generate a single slightly challenging short difference problem for an upper elementary student in the context of a bakery, using two-digit numbers. Keep the question concise. Give only the question as plain text. Do not include the solution."
subtraction,"Make a single basic subtraction word problem for a primary school student in the context of a school library, with simple borrowing. Use whole numbers only. Output only the question in text form, without hints or an answer."
subtraction,"Make one basic question about finding what remains for a young math learner in the context of a music class, using two-digit numbers. Make all needed information explicit. Return one question only, written as plain text."
subtraction,"Generate a single easy short difference problem for an elementary student in the context of a playground, with no borrowing. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
subtraction,"Make one easy short difference problem for an upper elementary student in the context of a book fair, using numbers up to 100. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
subtraction,"Generate a single moderate subtraction word problem for an elementary student in the context of a farm, using numbers up to 20. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
subtraction,"Make one simple short difference problem for a student learning basic mathematics in the context of a book fair, using two-digit numbers. Keep the question concise. Return one question only, written as plain text."
subtraction,"Write one simple question about finding what remains for a young math learner in the context of a science fair, using two-digit numbers. Use whole numbers only. Output only the question in text form, without hints or an answer."
subtraction,"Make one slightly challenging question about taking away for an upper elementary student in the context of a book fair, with no borrowing. Make all needed information explicit. Output only the question in text form, without hints or an answer."
subtraction,"Generate a single slightly challenging question about taking away for a student learning basic mathematics in the context of a playground, with simple borrowing. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
subtraction,"Create a single slightly challenging question about taking away for a primary school student in the context of a science fair, with simple borrowing. Make the situation realistic. Give only the question as plain text. Do not include the solution."
subtraction,"Create one basic subtraction question with a missing number for an elementary student in the context of a family picnic, using a comparison situation. Use whole numbers only. Output only the question in text form, without hints or an answer."
subtraction,"Write a single simple subtraction word problem for an upper elementary student in the context of a science fair, using numbers up to 50. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
subtraction,"Generate a single simple question about taking away for a young math learner in the context of a bakery, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer."
subtraction,"Generate a single simple question about taking away for a primary school student in the context of a farm, where the answer is positive. Use familiar vocabulary. Return one question only, written as plain text."
subtraction,"Prepare a single easy short difference problem for a primary school student in the context of a book fair, using two-digit numbers. Use whole numbers only. Use plain text only and provide no solution or explanation."
subtraction,"Create a single basic subtraction word problem for an upper elementary student in the context of a birthday party, using numbers up to 20. Use one direct question at the end. Return one question only, written as plain text."
subtraction,"Create a single moderate question about taking away for an upper elementary student in the context of a family picnic, with no borrowing. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
subtraction,"Create a single easy short difference problem for an upper elementary student in the context of a fruit shop, with no borrowing. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
subtraction,"Generate one simple question about taking away for a primary school student in the context of a toy store, using two-digit numbers. Use whole numbers only. Give only the question as plain text. Do not include the solution."
subtraction,"Generate a single simple subtraction question with a missing number for a student learning basic mathematics in the context of a farm, using numbers up to 100. Make the situation realistic. Use plain text only and provide no solution or explanation."
subtraction,"Prepare a single easy short difference problem for a primary school student in the context of a classroom, using numbers up to 50. Make the situation realistic. Output only the question in text form, without hints or an answer."
subtraction,"Generate one simple short difference problem for a student learning basic mathematics in the context of a sports day, with no borrowing. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
subtraction,"Write a single moderate question about taking away for an upper elementary student in the context of a sports day, with simple borrowing. Make the situation realistic. Use plain text only and provide no solution or explanation."
subtraction,"Generate one easy question about taking away for an elementary student in the context of a toy store, with no borrowing. Use whole numbers only. Use plain text only and provide no solution or explanation."
subtraction,"Generate one slightly challenging subtraction question with a missing number for a young math learner in the context of a family picnic, with no borrowing. Make all needed information explicit. Use plain text only and provide no solution or explanation."
subtraction,"Generate one basic question about finding what remains for a primary school student in the context of a school cafeteria, where the answer is positive. Make the situation realistic. Output only the question in text form, without hints or an answer."
subtraction,"Generate one basic subtraction word problem for an upper elementary student in the context of a birthday party, with no borrowing. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
subtraction,"Prepare one basic question about taking away for a student learning basic mathematics in the context of a book fair, using a comparison situation. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
subtraction,"Make one moderate question about taking away for a student learning basic mathematics in the context of a pet shelter, with simple borrowing. Use one direct question at the end. Return one question only, written as plain text."
subtraction,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text."
subtraction,"Generate one simple question about taking away for a young math learner in the context of a music class, using a comparison situation. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
subtraction,"Prepare a single moderate subtraction question with a missing number for an upper elementary student in the context of a beach visit, with no borrowing. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
subtraction,"Write a single simple subtraction question with a missing number for an upper elementary student in the context of a school cafeteria, with simple borrowing. Keep the question concise. Output only the question in text form, without hints or an answer."
subtraction,"Write a single simple subtraction question with a missing number for a young math learner in the context of a beach visit, with simple borrowing. Use whole numbers only. Give only the question as plain text. Do not include the solution."
subtraction,"Make one simple subtraction word problem for a student learning basic mathematics in the context of a bakery, using numbers up to 100. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
subtraction,"Create one basic subtraction word problem for a primary school student in the context of a camping trip, with no borrowing. Use familiar vocabulary. Give only the question as plain text. Do not include the solution."
subtraction,"Write a single simple subtraction question with a missing number for an elementary student in the context of a farm, using two-digit numbers. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer."
subtraction,"Prepare a single basic short difference problem for a primary school student in the context of a playground, using two-digit numbers. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
subtraction,"Make one slightly challenging subtraction word problem for a primary school student in the context of a school cafeteria, using two-digit numbers. Use familiar vocabulary. Return one question only, written as plain text."
subtraction,"Prepare one basic subtraction question with a missing number for an upper elementary student in the context of a bakery, using a comparison situation. Keep the question concise. Return one question only, written as plain text."
subtraction,"Write one basic question about finding what remains for a student learning basic mathematics in the context of a classroom, using numbers up to 50. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
subtraction,"Prepare one simple short difference problem for a student learning basic mathematics in the context of a community park, where the answer is positive. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
subtraction,"Make a single basic question about taking away for a primary school student in the context of a playground, using numbers up to 20. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
subtraction,"Prepare a single basic question about finding what remains for a primary school student in the context of a music class, with no borrowing. Use whole numbers only. Return one question only, written as plain text."
subtraction,"Prepare one easy question about finding what remains for a primary school student in the context of a camping trip, using two-digit numbers. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
subtraction,"Write a single moderate short difference problem for a young math learner in the context of a bus trip, using numbers up to 20. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
subtraction,"Prepare a single simple subtraction word problem for a young math learner in the context of a fruit shop, where the answer is positive. Keep the question concise. Use plain text only and provide no solution or explanation."
comparison,"Prepare one basic question asking how much more one group has for a student learning basic mathematics in the context of a school library, with a short real-life situation. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
comparison,"Create a single simple question comparing two quantities for an elementary student in the context of a community park, using numbers up to 20. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
comparison,"Make a single easy question asking which amount is larger for a primary school student in the context of a bus trip, using three quantities. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
comparison,"Create a single basic greater-than or less-than question for a primary school student in the context of a camping trip, with a short real-life situation. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
comparison,"Prepare a single easy question comparing two quantities for a primary school student in the context of a school library, with equal values as one possible result. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
comparison,"Create a single slightly challenging question asking how much more one group has for a primary school student in the context of a bus trip, using the words greater, less, or equal. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
comparison,"Generate one simple question comparing two whole numbers for an upper elementary student in the context of a science fair, with a short real-life situation. Use whole numbers only. Return one question only, written as plain text."
comparison,"Write one slightly challenging greater-than or less-than question for a student learning basic mathematics in the context of a sports day, using numbers up to 20. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
comparison,"Create one easy question asking how much more one group has for an upper elementary student in the context of a garden, with a short real-life situation. Keep the question concise. Output only the question in text form, without hints or an answer."
comparison,"Write a single moderate question comparing two whole numbers for a student learning basic mathematics in the context of a school cafeteria, with equal values as one possible result. Make all needed information explicit. Give only the question as plain text. Do not include the solution."
comparison,"Write a single moderate question asking which amount is larger for a young math learner in the context of a fruit shop, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer."
comparison,"Prepare one slightly challenging question comparing two whole numbers for a young math learner in the context of a farm, using three quantities. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
comparison,"Generate one basic question comparing two quantities for a student learning basic mathematics in the context of a bus trip, using two-digit numbers. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
comparison,"Make one easy question comparing two quantities for a student learning basic mathematics in the context of a pet shelter, without using a table. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer."
comparison,"Prepare one easy greater-than or less-than question for a student learning basic mathematics in the context of a sports day, using two-digit numbers. Make the situation realistic. Use plain text only and provide no solution or explanation."
comparison,"Make a single slightly challenging question comparing two quantities for a primary school student in the context of a camping trip, using numbers up to 100. Make all needed information explicit. Use plain text only and provide no solution or explanation."
comparison,"Create one moderate greater-than or less-than question for an elementary student in the context of a book fair, using three quantities. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
comparison,"Create one basic question comparing two quantities for an elementary student in the context of a bus trip, using the words greater, less, or equal. Avoid unnecessary details. Return one question only, written as plain text."
comparison,"Write a single simple question comparing two quantities for a primary school student in the context of a farm, with equal values as one possible result. Make the situation realistic. Output only the question in text form, without hints or an answer."
comparison,"Write one easy question asking which amount is larger for an upper elementary student in the context of a music class, using the words greater, less, or equal. Make the situation realistic. Give only the question as plain text. Do not include the solution."
comparison,"Write a single easy question comparing two quantities for an elementary student in the context of a science fair, with equal values as one possible result. Keep the question concise. Give only the question as plain text. Do not include the solution."
comparison,"Write one basic question comparing two whole numbers for a student learning basic mathematics in the context of a sports day, using numbers up to 100. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
comparison,"Generate a single easy greater-than or less-than question for a student learning basic mathematics in the context of a toy store, with a short real-life situation. Make the situation realistic. Return one question only, written as plain text."
comparison,"Make one simple question asking how much more one group has for a young math learner in the context of a music class, using three quantities. Use one direct question at the end. Return one question only, written as plain text."
comparison,"Prepare a single slightly challenging question asking which amount is larger for an elementary student in the context of a playground, using numbers up to 20. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
