,prompt,chosen,rejected
38,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the best way to divide a group of 25 students into equal groups for a beach trip?","assistant

What is the best way to divide the beach into equal groups for an upper elementary student to play a game?"
39,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be made from 25 students for a beach trip?","assistant

How many groups of 5 can be made from 20 students for a beach trip?"
40,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be made from 25 students for a beach trip?","assistant

What is the best way to divide the beach into equal groups for an upper elementary student to play a game?"
41,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be made from 20 students for a beach trip?","assistant

What is the best way to divide the beach into equal groups for an upper elementary student to play a game?"
42,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape that a bus is shaped like when it is traveling on a straight road?","assistant

What is the name of the shape that has four right angles and four sides of equal length?"
43,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape that a bus is shaped like when it is traveling on a straight road?","assistant

What is the name of the shape that has four right angles and four sides of equal length?"
44,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape that a bus is shaped like when it is traveling on a straight road?","assistant

What is the name of the shape that has four right angles and four sides of equal length?"
48,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Problem:
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 40
B) 35
C) 30
D) 45","assistant

Problem: 
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 30
B) 40
C) 45
D) 50"
49,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Problem:
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 40
B) 35
C) 30
D) 45","assistant

Here's a mixed-operation problem for an elementary student:

Tommy has 15 seashells in his bucket. He finds 7 more seashells on the beach. How many seashells does Tommy have now?

A) 12
B) 20
C) 22
D) 25"
50,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Problem:
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 40
B) 35
C) 30
D) 45","assistant

**Problem:**

Tommy and his friends are going to the beach. They have $15, $8, and $12 in their pockets. They want to buy a toy that costs $20. How much money will they have left after buying the toy?

**Numbers:**

* Tommy's money: $15, $8, $12
* Toy cost: $20

**Operation:** Addition and Subtraction"
51,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Problem: 
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 30
B) 40
C) 45
D) 50","assistant

Here's a mixed-operation problem for an elementary student:

Tommy has 15 seashells in his bucket. He finds 7 more seashells on the beach. How many seashells does Tommy have now?

A) 12
B) 20
C) 22
D) 25"
52,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Problem: 
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 30
B) 40
C) 45
D) 50","assistant

**Problem:**

Tommy and his friends are going to the beach. They have $15, $8, and $12 in their pockets. They want to buy a toy that costs $20. How much money will they have left after buying the toy?

**Numbers:**

* Tommy's money: $15, $8, $12
* Toy cost: $20

**Operation:** Addition and Subtraction"
53,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Here's a mixed-operation problem for an elementary student:

Tommy has 15 seashells in his bucket. He finds 7 more seashells on the beach. How many seashells does Tommy have now?

A) 12
B) 20
C) 22
D) 25","assistant

**Problem:**

Tommy and his friends are going to the beach. They have $15, $8, and $12 in their pockets. They want to buy a toy that costs $20. How much money will they have left after buying the toy?

**Numbers:**

* Tommy's money: $15, $8, $12
* Toy cost: $20

**Operation:** Addition and Subtraction"
54,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 8 flowers each?

Answer: 40","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 10 flowers each?

Answer: 50"
55,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 8 flowers each?

Answer: 40","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 10 flowers each?

Answer: 50"
56,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 8 flowers each?

Answer: 40","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of flowers and 3 rows of vegetables?

A) 20
B) 25
C) 30
D) 35

Answer: B) 25"
58,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 10 flowers each?

Answer: 50","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of flowers and 3 rows of vegetables?

A) 20
B) 25
C) 30
D) 35

Answer: B) 25"
59,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 10 flowers each?

Answer: 50","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of flowers and 3 rows of vegetables?

A) 20
B) 25
C) 30
D) 35

Answer: B) 25"
60,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What number do you need to multiply by 4 to get 48?","assistant

What number do you need to multiply by 4 to get 168?"
61,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What number do you need to multiply by 4 to get 48?","assistant

Tommy has 15 boxes of crayons in his art box. He wants to put 3 boxes of crayons on each table for a party. How many tables can he set up?"
62,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What number do you need to multiply by 4 to get 48?","assistant

Tommy had 15 balloons for his 6th birthday party. He gave 3 to his friends as gifts. How many balloons did Tommy have left?"
63,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What number do you need to multiply by 4 to get 168?","assistant

Tommy has 15 boxes of crayons in his art box. He wants to put 3 boxes of crayons on each table for a party. How many tables can he set up?"
64,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What number do you need to multiply by 4 to get 168?","assistant

Tommy had 15 balloons for his 6th birthday party. He gave 3 to his friends as gifts. How many balloons did Tommy have left?"
65,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 15 boxes of crayons in his art box. He wants to put 3 boxes of crayons on each table for a party. How many tables can he set up?","assistant

Tommy had 15 balloons for his 6th birthday party. He gave 3 to his friends as gifts. How many balloons did Tommy have left?"
78,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

A pet shelter has 15 dogs and 8 cats. If they receive 3 more dogs and 4 more cats, how many pets will they have in total?","assistant

Tom has 5 boxes of cat food. Each box contains 8 bags of food. How many bags of food does Tom have in total?"
79,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

A pet shelter has 15 dogs and 8 cats. If they receive 3 more dogs and 4 more cats, how many pets will they have in total?","assistant

Tom has 5 boxes of cat food, and each box contains 8 cans of food. How many cans of food does Tom have in total?"
80,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

A pet shelter has 15 dogs and 8 cats. If they receive 3 more dogs and 4 more cats, how many pets will they have in total?","assistant

Maria has 5 boxes of cat food that she needs to distribute among 3 different rooms in the shelter. If each room needs 2 boxes of food, how many boxes of food will Maria have left after distributing them to the 3 rooms?"
81,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 5 boxes of cat food. Each box contains 8 bags of food. How many bags of food does Tom have in total?","assistant

Tom has 5 boxes of cat food, and each box contains 8 cans of food. How many cans of food does Tom have in total?"
82,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 5 boxes of cat food. Each box contains 8 bags of food. How many bags of food does Tom have in total?","assistant

Maria has 5 boxes of cat food that she needs to distribute among 3 different rooms in the shelter. If each room needs 2 boxes of food, how many boxes of food will Maria have left after distributing them to the 3 rooms?"
83,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 5 boxes of cat food, and each box contains 8 cans of food. How many cans of food does Tom have in total?","assistant

Maria has 5 boxes of cat food that she needs to distribute among 3 different rooms in the shelter. If each room needs 2 boxes of food, how many boxes of food will Maria have left after distributing them to the 3 rooms?"
84,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the main ingredient in a typical fruit smoothie, and what is the most common type of fruit used in smoothies?","assistant

What is the process called when a customer pays for a fruit that has been damaged or spoiled?"
85,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the main ingredient in a typical fruit smoothie, and what is the most common type of fruit used in smoothies?","assistant

What is the process of removing the outer skin of a fruit, while preserving its flavor and nutrients?"
86,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the main ingredient in a typical fruit smoothie, and what is the most common type of fruit used in smoothies?","assistant

What is the main difference between a lemon and an orange?"
87,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the process called when a customer pays for a fruit that has been damaged or spoiled?","assistant

What is the process of removing the outer skin of a fruit, while preserving its flavor and nutrients?"
88,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the process called when a customer pays for a fruit that has been damaged or spoiled?","assistant

What is the main difference between a lemon and an orange?"
89,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the process of removing the outer skin of a fruit, while preserving its flavor and nutrients?","assistant

What is the main difference between a lemon and an orange?"
90,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is the total number of seashells found on the beach if 15 seashells are found on the left side of the beach and 12 seashells are found on the right side?","assistant

What is the total number of seashells found on the beach if 15 shells were found on the beach and 8 more were added to the total?"
91,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is the total number of seashells found on the beach if 15 seashells are found on the left side of the beach and 12 seashells are found on the right side?","assistant

What is 25 + 15 - 7?"
92,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is the total number of seashells found on the beach if 15 seashells are found on the left side of the beach and 12 seashells are found on the right side?","assistant

What is 25 + 18 - 7?"
93,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is the total number of seashells found on the beach if 15 shells were found on the beach and 8 more were added to the total?","assistant

What is 25 + 15 - 7?"
94,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is the total number of seashells found on the beach if 15 shells were found on the beach and 8 more were added to the total?","assistant

What is 25 + 18 - 7?"
95,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is 25 + 15 - 7?","assistant

What is 25 + 18 - 7?"
96,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when the shelter is open from 9am to 5pm?","assistant

What is the time on the clock when it is 3 o'clock in the afternoon?"
97,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when the shelter is open from 9am to 5pm?","assistant

What is the time on the clock in 3 o'clock?"
98,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when the shelter is open from 9am to 5pm?","assistant

What is the time on the clock in 3 o'clock?"
99,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when it is 3 o'clock in the afternoon?","assistant

What is the time on the clock in 3 o'clock?"
100,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when it is 3 o'clock in the afternoon?","assistant

What is the time on the clock in 3 o'clock?"
102,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

Tom and Alex went to the beach and collected 5 seashells. They found 2 more shells on the beach. How many seashells did they have in total?","assistant

Tom and Alex went to the beach and bought 5 bags of ice cream. They found 2 more bags on the beach. How many bags of ice cream did they have in total?"
103,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

Tom and Alex went to the beach and collected 5 seashells. They found 2 more shells on the beach. How many seashells did they have in total?","assistant

Tom and his friend went to the beach and found 15 seashells on the shore. They collected 7 more seashells while they were there. How many seashells did Tom and his friend have in total?"
104,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

Tom and Alex went to the beach and collected 5 seashells. They found 2 more shells on the beach. How many seashells did they have in total?","assistant

Tommy has 15 seashells in his bucket. He finds 7 more shells on the beach. How many seashells does Tommy have now?"
