skill,prompt
addition-subtraction,Create a question that asks students to explain their reasoning about pencils that combines addition and subtraction. Make it moderate. Include the correct answer.
addition-subtraction,Create a short word problem that asks students to find a missing total after adding and subtracting toy cars. Include the correct answer.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using toy cars. Make it easy. Make the numbers easy to calculate mentally.
addition-subtraction,Create a question that asks students to explain their reasoning about coins that combines addition and subtraction. Make it easy. Include the correct answer.
addition-subtraction,Create a fill-in-the-blank question about coins that combines addition and subtraction. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
addition-subtraction,"Write a true-or-false question with a brief explanation where students first add and then subtract using notebooks. Make it slightly challenging. Ask for a written answer, not a drawing."
addition-subtraction,Write a two-step problem with three quantities related to sports balls. Students must decide whether to add or subtract. Include the correct answer.
addition-subtraction,Write a fill-in-the-blank question with three quantities related to garden plants. Students must decide whether to add or subtract. Make the numbers easy to calculate mentally.
addition-subtraction,Create a fill-in-the-blank question about recycling bins that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using animals on a farm. Make it very easy. Keep the question under 45 words.
addition-subtraction,Write a short word problem with three quantities related to recycling bins. Students must decide whether to add or subtract. Make the numbers easy to calculate mentally.
addition-subtraction,Write a two-step problem with three quantities related to colored blocks. Students must decide whether to add or subtract. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a question that asks students to explain their reasoning about sports balls that combines addition and subtraction. Make it very easy. Add one short hint.
addition-subtraction,Write a multiple-choice question with four options with three quantities related to coins. Students must decide whether to add or subtract. Include the correct answer.
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using recycling bins. Make it slightly challenging. Add one short hint.
addition-subtraction,Write a true-or-false question with a brief explanation with three quantities related to notebooks. Students must decide whether to add or subtract. Keep the question under 45 words.
addition-subtraction,Write a simple challenge question where students first add and then subtract using animals on a farm. Make it moderate. Add one short hint.
addition-subtraction,Write a short word problem where students first add and then subtract using colored blocks. Make it easy. Include the correct answer.
addition-subtraction,"Write a true-or-false question with a brief explanation where students first add and then subtract using birthday candles. Make it very easy. Ask for a written answer, not a drawing."
addition-subtraction,Create a fill-in-the-blank question about coins that combines addition and subtraction. Make it easy. Use whole numbers only.
addition-subtraction,Write a short word problem with three quantities related to stickers. Students must decide whether to add or subtract. Add one short hint.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using water bottles. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a question that asks students to explain their reasoning about sports balls that combines addition and subtraction. Make it very easy. Keep the question under 45 words.
addition-subtraction,"Create a question that asks students to explain their reasoning about animals on a farm that combines addition and subtraction. Make it very easy. Ask for a written answer, not a drawing."
addition-subtraction,Create a short word problem about sports balls that combines addition and subtraction. Make it moderate. Keep the question under 45 words.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using fruit baskets. Make it very easy. Include the correct answer.
addition-subtraction,Generate a fill-in-the-blank question using two operations: one addition and one subtraction. Use school supplies. Use whole numbers only.
addition-subtraction,Write a short word problem where students first add and then subtract using animals on a farm. Make it easy. Use whole numbers only.
addition-subtraction,Create a true-or-false question with a brief explanation about fruit baskets that combines addition and subtraction. Make it moderate. Use simple vocabulary suitable for elementary students.
addition-subtraction,Generate a fill-in-the-blank question using two operations: one addition and one subtraction. Use coins. Include the correct answer.
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using toy cars. Make it slightly challenging. Make the numbers easy to calculate mentally.
addition-subtraction,Write a short word problem with three quantities related to school supplies. Students must decide whether to add or subtract. Use whole numbers only.
addition-subtraction,Generate a real-life classroom problem using two operations: one addition and one subtraction. Use books. Add one short hint.
addition-subtraction,Create a real-life classroom problem about water bottles that combines addition and subtraction. Make it very easy. Keep the question under 45 words.
addition-subtraction,Create a fill-in-the-blank question about notebooks that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,"Generate a short word problem using two operations: one addition and one subtraction. Use flowers. Ask for a written answer, not a drawing."
addition-subtraction,Create a short word problem that asks students to find a missing total after adding and subtracting marbles. Include the correct answer.
addition-subtraction,Write a real-life classroom problem with three quantities related to bus passengers. Students must decide whether to add or subtract. Avoid decimals and negative numbers.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using bus passengers. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of bus passengers using addition and subtraction. Use whole numbers only.
addition-subtraction,Create a short word problem about water bottles that combines addition and subtraction. Make it easy. Avoid decimals and negative numbers.
addition-subtraction,Generate a real-life classroom problem using two operations: one addition and one subtraction. Use classroom chairs. Make the numbers easy to calculate mentally.
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using pencils. Make it easy. Avoid decimals and negative numbers.
addition-subtraction,"Write a true-or-false question with a brief explanation with three quantities related to stickers. Students must decide whether to add or subtract. Ask for a written answer, not a drawing."
addition-subtraction,Create a real-life classroom problem about coins that combines addition and subtraction. Make it moderate. Include the correct answer.
addition-subtraction,Generate a fill-in-the-blank question using two operations: one addition and one subtraction. Use notebooks. Include the correct answer.
addition-subtraction,Create a short word problem about garden plants that combines addition and subtraction. Make it easy. Use whole numbers only.
addition-subtraction,Create a two-step problem that asks students to find a missing total after adding and subtracting notebooks. Add one short hint.
addition-subtraction,Create a real-life classroom problem about bus passengers that combines addition and subtraction. Make it moderate. Use whole numbers only.
addition-subtraction,Create a simple challenge question about recycling bins that combines addition and subtraction. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
addition-subtraction,Generate a two-step problem using two operations: one addition and one subtraction. Use school supplies. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using birthday candles. Make it easy. Include the correct answer.
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using notebooks. Make it very easy. Include the correct answer.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using notebooks. Make it slightly challenging. Include the correct answer.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using garden plants. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,Generate a two-step problem about comparing an initial amount and a final amount of garden plants using addition and subtraction. Keep the question under 45 words.
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using animals on a farm. Make it slightly challenging. Make the numbers easy to calculate mentally.
addition-subtraction,Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of sports balls using addition and subtraction. Avoid decimals and negative numbers.
addition-subtraction,Create a short word problem about marbles that combines addition and subtraction. Make it slightly challenging. Include the correct answer.
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using cookies. Make it moderate. Add one short hint.
addition-subtraction,Write a short word problem where students first add and then subtract using fruit baskets. Make it very easy. Add one short hint.
addition-subtraction,Write a simple challenge question where students first add and then subtract using cookies. Make it slightly challenging. Make the numbers easy to calculate mentally.
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of sports balls using addition and subtraction. Make the numbers easy to calculate mentally.
addition-subtraction,"Write a simple challenge question where students first add and then subtract using bus passengers. Make it very easy. Ask for a written answer, not a drawing."
addition-subtraction,"Write a simple challenge question where students first add and then subtract using pencils. Make it slightly challenging. Ask for a written answer, not a drawing."
addition-subtraction,Create a question that asks students to explain their reasoning about fruit baskets that combines addition and subtraction. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,Write a fill-in-the-blank question with three quantities related to bus passengers. Students must decide whether to add or subtract. Add one short hint.
addition-subtraction,Create a two-step problem about sports balls that combines addition and subtraction. Make it easy. Keep the question under 45 words.
addition-subtraction,Create a fill-in-the-blank question about notebooks that combines addition and subtraction. Make it very easy. Keep the question under 45 words.
addition-subtraction,Create a two-step problem about garden plants that combines addition and subtraction. Make it moderate. Include the correct answer.
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting pencils. Include the correct answer.
addition-subtraction,Create a fill-in-the-blank question about coins that combines addition and subtraction. Make it moderate. Use whole numbers only.
addition-subtraction,Write a question that asks students to explain their reasoning with three quantities related to classroom chairs. Students must decide whether to add or subtract. Add one short hint.
addition-subtraction,Create a fill-in-the-blank question about colored blocks that combines addition and subtraction. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using animals on a farm. Make it slightly challenging. Keep the question under 45 words.
addition-subtraction,Generate a multiple-choice question with four options using two operations: one addition and one subtraction. Use stickers. Use whole numbers only.
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting pencils. Keep the question under 45 words.
addition-subtraction,Create a real-life classroom problem about pencils that combines addition and subtraction. Make it very easy. Keep the question under 45 words.
addition-subtraction,Generate a simple challenge question using two operations: one addition and one subtraction. Use notebooks. Avoid decimals and negative numbers.
addition-subtraction,Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of colored blocks using addition and subtraction. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a two-step problem where students first add and then subtract using coins. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using bus passengers. Make it easy. Avoid decimals and negative numbers.
addition-subtraction,Create a fill-in-the-blank question about birthday candles that combines addition and subtraction. Make it moderate. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a real-life classroom problem that asks students to find a missing total after adding and subtracting toy cars. Include the correct answer.
addition-subtraction,"Write a fill-in-the-blank question with three quantities related to recycling bins. Students must decide whether to add or subtract. Ask for a written answer, not a drawing."
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using colored blocks. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a short word problem where students first add and then subtract using school supplies. Make it slightly challenging. Use whole numbers only.
addition-subtraction,Create a two-step problem that asks students to find a missing total after adding and subtracting garden plants. Use simple vocabulary suitable for elementary students.
addition-subtraction,"Create a true-or-false question with a brief explanation about bus passengers that combines addition and subtraction. Make it easy. Ask for a written answer, not a drawing."
addition-subtraction,Write a short word problem where students first add and then subtract using colored blocks. Make it slightly challenging. Keep the question under 45 words.
addition-subtraction,Create a short word problem about sports balls that combines addition and subtraction. Make it moderate. Add one short hint.
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using sports balls. Make it easy. Keep the question under 45 words.
addition-subtraction,Create a simple challenge question about pencils that combines addition and subtraction. Make it very easy. Keep the question under 45 words.
addition-subtraction,Create a two-step problem about pencils that combines addition and subtraction. Make it moderate. Include the correct answer.
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of water bottles using addition and subtraction. Avoid decimals and negative numbers.
addition-subtraction,"Write a question that asks students to explain their reasoning where students first add and then subtract using toy cars. Make it easy. Ask for a written answer, not a drawing."
addition-subtraction,Write a short word problem where students first add and then subtract using recycling bins. Make it moderate. Avoid decimals and negative numbers.
addition-subtraction,Write a short word problem with three quantities related to classroom chairs. Students must decide whether to add or subtract. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a short word problem with three quantities related to notebooks. Students must decide whether to add or subtract. Keep the question under 45 words.
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using pencils. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using birthday candles. Make it easy. Add one short hint.
addition-subtraction,Write a two-step problem where students first add and then subtract using classroom chairs. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,Write a short word problem with three quantities related to school supplies. Students must decide whether to add or subtract. Include the correct answer.
addition-subtraction,"Write a short word problem where students first add and then subtract using cookies. Make it very easy. Ask for a written answer, not a drawing."
addition-subtraction,Write a simple challenge question where students first add and then subtract using animals on a farm. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a two-step problem where students first add and then subtract using marbles. Make it easy. Make the numbers easy to calculate mentally.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using water bottles. Make it moderate. Add one short hint.
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting fruit baskets. Keep the question under 45 words.
addition-subtraction,Create a real-life classroom problem about colored blocks that combines addition and subtraction. Make it very easy. Add one short hint.
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using colored blocks. Make it moderate. Include the correct answer.
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using marbles. Make it slightly challenging. Include the correct answer.
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of cookies using addition and subtraction. Make the numbers easy to calculate mentally.
addition-subtraction,Write a simple challenge question where students first add and then subtract using notebooks. Make it slightly challenging. Include the correct answer.
addition-subtraction,Generate a simple challenge question about comparing an initial amount and a final amount of recycling bins using addition and subtraction. Add one short hint.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using flowers. Make it easy. Add one short hint.
addition-subtraction,Write a two-step problem where students first add and then subtract using classroom chairs. Make it slightly challenging. Use whole numbers only.
addition-subtraction,Generate a simple challenge question using two operations: one addition and one subtraction. Use stickers. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using garden plants. Make it very easy. Use whole numbers only.
addition-subtraction,Write a short word problem where students first add and then subtract using books. Make it easy. Use whole numbers only.
addition-subtraction,Generate a short word problem using two operations: one addition and one subtraction. Use stickers. Avoid decimals and negative numbers.
addition-subtraction,Write a two-step problem where students first add and then subtract using marbles. Make it very easy. Make the numbers easy to calculate mentally.
addition-subtraction,Create a two-step problem about colored blocks that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using notebooks. Make it easy. Add one short hint.
addition-subtraction,Create a true-or-false question with a brief explanation about flowers that combines addition and subtraction. Make it moderate. Add one short hint.
addition-subtraction,Write a real-life classroom problem with three quantities related to flowers. Students must decide whether to add or subtract. Keep the question under 45 words.
addition-subtraction,"Generate a simple challenge question about comparing an initial amount and a final amount of colored blocks using addition and subtraction. Ask for a written answer, not a drawing."
addition-subtraction,Create a fill-in-the-blank question that asks students to find a missing total after adding and subtracting cookies. Include the correct answer.
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of pencils using addition and subtraction. Keep the question under 45 words.
addition-subtraction,Create a two-step problem about animals on a farm that combines addition and subtraction. Make it very easy. Add one short hint.
addition-subtraction,Write a simple challenge question where students first add and then subtract using stickers. Make it easy. Include the correct answer.
addition-subtraction,Create a fill-in-the-blank question that asks students to find a missing total after adding and subtracting stickers. Avoid decimals and negative numbers.
addition-subtraction,"Create a short word problem about animals on a farm that combines addition and subtraction. Make it very easy. Ask for a written answer, not a drawing."
addition-subtraction,Write a short word problem where students first add and then subtract using stickers. Make it slightly challenging. Keep the question under 45 words.
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using sports balls. Make it slightly challenging. Avoid decimals and negative numbers.
addition-subtraction,Create a two-step problem that asks students to find a missing total after adding and subtracting sports balls. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a true-or-false question with a brief explanation about coins that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.
addition-subtraction,Write a short word problem with three quantities related to water bottles. Students must decide whether to add or subtract. Keep the question under 45 words.
addition-subtraction,Generate a short word problem using two operations: one addition and one subtraction. Use flowers. Keep the question under 45 words.
addition-subtraction,Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of books using addition and subtraction. Make the numbers easy to calculate mentally.
addition-subtraction,Write a two-step problem where students first add and then subtract using pencils. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,"Write a simple challenge question where students first add and then subtract using colored blocks. Make it moderate. Ask for a written answer, not a drawing."
addition-subtraction,Write a two-step problem where students first add and then subtract using fruit baskets. Make it slightly challenging. Add one short hint.
addition-subtraction,Write a two-step problem with three quantities related to coins. Students must decide whether to add or subtract. Avoid decimals and negative numbers.
addition-subtraction,Write a true-or-false question with a brief explanation with three quantities related to school supplies. Students must decide whether to add or subtract. Avoid decimals and negative numbers.
addition-subtraction,Create a fill-in-the-blank question about notebooks that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.
addition-subtraction,"Generate a multiple-choice question with four options using two operations: one addition and one subtraction. Use colored blocks. Ask for a written answer, not a drawing."
addition-subtraction,Create a fill-in-the-blank question about garden plants that combines addition and subtraction. Make it slightly challenging. Use whole numbers only.
addition-subtraction,Create a fill-in-the-blank question about cookies that combines addition and subtraction. Make it slightly challenging. Make the numbers easy to calculate mentally.
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using birthday candles. Make it easy. Include the correct answer.
addition-subtraction,"Create a real-life classroom problem about garden plants that combines addition and subtraction. Make it moderate. Ask for a written answer, not a drawing."
addition-subtraction,Create a true-or-false question with a brief explanation about colored blocks that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,"Write a simple challenge question where students first add and then subtract using notebooks. Make it slightly challenging. Ask for a written answer, not a drawing."
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using bus passengers. Make it easy. Add one short hint.
addition-subtraction,Generate a true-or-false question with a brief explanation about comparing an initial amount and a final amount of pencils using addition and subtraction. Include the correct answer.
addition-subtraction,"Write a simple challenge question with three quantities related to bus passengers. Students must decide whether to add or subtract. Ask for a written answer, not a drawing."
addition-subtraction,"Generate a question that asks students to explain their reasoning about comparing an initial amount and a final amount of bus passengers using addition and subtraction. Ask for a written answer, not a drawing."
addition-subtraction,Create a multiple-choice question with four options about marbles that combines addition and subtraction. Make it slightly challenging. Avoid decimals and negative numbers.
addition-subtraction,Write a short word problem where students first add and then subtract using notebooks. Make it moderate. Use simple vocabulary suitable for elementary students.
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of books using addition and subtraction. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a multiple-choice question with four options about toy cars that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using cookies. Make it easy. Use whole numbers only.
addition-subtraction,Create a simple challenge question about toy cars that combines addition and subtraction. Make it slightly challenging. Add one short hint.
addition-subtraction,Create a multiple-choice question with four options that asks students to find a missing total after adding and subtracting pencils. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a true-or-false question with a brief explanation about water bottles that combines addition and subtraction. Make it moderate. Add one short hint.
addition-subtraction,Create a question that asks students to explain their reasoning about marbles that combines addition and subtraction. Make it moderate. Keep the question under 45 words.
addition-subtraction,Create a real-life classroom problem about garden plants that combines addition and subtraction. Make it easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,"Write a real-life classroom problem where students first add and then subtract using colored blocks. Make it easy. Ask for a written answer, not a drawing."
addition-subtraction,Generate a simple challenge question about comparing an initial amount and a final amount of fruit baskets using addition and subtraction. Include the correct answer.
addition-subtraction,Create a simple challenge question about classroom chairs that combines addition and subtraction. Make it easy. Add one short hint.
addition-subtraction,Create a question that asks students to explain their reasoning about coins that combines addition and subtraction. Make it very easy. Avoid decimals and negative numbers.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using school supplies. Make it slightly challenging. Include the correct answer.
addition-subtraction,Write a real-life classroom problem where students first add and then subtract using school supplies. Make it slightly challenging. Avoid decimals and negative numbers.
addition-subtraction,"Generate a two-step problem about comparing an initial amount and a final amount of cookies using addition and subtraction. Ask for a written answer, not a drawing."
addition-subtraction,Create a real-life classroom problem about books that combines addition and subtraction. Make it moderate. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using notebooks. Make it slightly challenging. Avoid decimals and negative numbers.
addition-subtraction,Create a two-step problem about fruit baskets that combines addition and subtraction. Make it moderate. Avoid decimals and negative numbers.
addition-subtraction,Generate a short word problem about comparing an initial amount and a final amount of toy cars using addition and subtraction. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using stickers. Make it easy. Use whole numbers only.
addition-subtraction,Create a simple challenge question that asks students to find a missing total after adding and subtracting garden plants. Avoid decimals and negative numbers.
addition-subtraction,Write a real-life classroom problem with three quantities related to garden plants. Students must decide whether to add or subtract. Make the numbers easy to calculate mentally.
addition-subtraction,Create a fill-in-the-blank question about bus passengers that combines addition and subtraction. Make it very easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,"Create a two-step problem about sports balls that combines addition and subtraction. Make it easy. Ask for a written answer, not a drawing."
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using sports balls. Make it easy. Use whole numbers only.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using notebooks. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,Create a question that asks students to explain their reasoning that asks students to find a missing total after adding and subtracting bus passengers. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a true-or-false question with a brief explanation about toy cars that combines addition and subtraction. Make it easy. Avoid decimals and negative numbers.
addition-subtraction,"Generate a multiple-choice question with four options about comparing an initial amount and a final amount of fruit baskets using addition and subtraction. Ask for a written answer, not a drawing."
subtraction,Create a two-step problem about finding a missing part using subtraction and water bottles. Keep the question under 45 words.
subtraction,Write a short word problem where students subtract a smaller whole number from a larger one using classroom chairs. Avoid decimals and negative numbers.
subtraction,Write a real-life classroom problem where students subtract a smaller whole number from a larger one using marbles. Add one short hint.
subtraction,Create a fill-in-the-blank question about subtracting quantities of books. Make it easy. Avoid decimals and negative numbers.
subtraction,Create a fill-in-the-blank question about subtracting quantities of pencils. Make it very easy. Add one short hint.
subtraction,Write a multiple-choice question with four options where students find how many fruit baskets remain after some are removed. Make the numbers easy to calculate mentally.
subtraction,Write a multiple-choice question with four options where students find how many notebooks remain after some are removed. Include the correct answer.
