education_level,skill,prompt
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Keep the wording concise and include an answer key.
early-childhood,simple patterns,Create a real-life word problem for children ages 4 to 5 to develop simple patterns using a context related to songs. Include one hint and the final answer.
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Keep the wording concise and include an answer key.
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Use values appropriate for the educational level.
early-childhood,sorting,Create a real-life word problem for children ages 4 to 5 to develop sorting using a context related to classroom objects. Ask the student to justify the answer briefly.
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to toys. Connect the task to a realistic situation.
early-childhood,sorting,Create a two-step problem for children ages 4 to 5 to develop sorting using a context related to playground objects. Keep the wording concise and include an answer key.
early-childhood,sorting,Create a conceptual question for children ages 4 to 5 to develop sorting using a context related to animals. Keep the wording concise and include an answer key.
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to toys. Connect the task to a realistic situation.
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to picture cards. Make the answer possible using text and numbers only.
early-childhood,number recognition,Create an error-analysis question for children ages 4 to 5 to develop number recognition using a context related to picture cards. Make the answer possible using text and numbers only.
early-childhood,counting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop counting using a context related to animals. Use values appropriate for the educational level.
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to songs. Connect the task to a realistic situation.
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to classroom objects. Include the correct answer and a brief solution.
early-childhood,simple patterns,Create an error-analysis question for children ages 4 to 5 to develop simple patterns using a context related to picture cards. Use values appropriate for the educational level.
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to classroom objects. Include one hint and the final answer.
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Keep the wording concise and include an answer key.
early-childhood,number recognition,Create a real-life word problem for children ages 4 to 5 to develop number recognition using a context related to picture cards. Use values appropriate for the educational level.
early-childhood,shape recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop shape recognition using a context related to toys. Include the correct answer and a brief solution.
early-childhood,shape recognition,Create a multiple-choice question with four options for children ages 4 to 5 to develop shape recognition using a context related to toys. Connect the task to a realistic situation.
early-childhood,counting,Create a two-step problem for children ages 4 to 5 to develop counting using a context related to picture cards. Ask the student to justify the answer briefly.
early-childhood,simple patterns,Create a short problem for children ages 4 to 5 to develop simple patterns using a context related to classroom objects. Use values appropriate for the educational level.
early-childhood,number recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop number recognition using a context related to picture cards. Make the answer possible using text and numbers only.
early-childhood,counting,Create a two-step problem for children ages 4 to 5 to develop counting using a context related to picture cards. Connect the task to a realistic situation.
early-childhood,shape recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop shape recognition using a context related to playground objects. Make the answer possible using text and numbers only.
early-childhood,shape recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Keep the wording concise and include an answer key.
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to animals. Include one hint and the final answer.
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to colored blocks. Keep the wording concise and include an answer key.
early-childhood,simple patterns,Create a two-step problem for children ages 4 to 5 to develop simple patterns using a context related to picture cards. Make the answer possible using text and numbers only.
early-childhood,quantity comparison,Create a fill-in-the-blank problem for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Include one hint and the final answer.
early-childhood,counting,Create a multiple-choice question with four options for children ages 4 to 5 to develop counting using a context related to toys. Use clear instructions and avoid unnecessary information.
early-childhood,simple patterns,Create a fill-in-the-blank problem for children ages 4 to 5 to develop simple patterns using a context related to fruit. Connect the task to a realistic situation.
early-childhood,simple patterns,Create a short problem for children ages 4 to 5 to develop simple patterns using a context related to playground objects. Include one hint and the final answer.
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Keep the wording concise and include an answer key.
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to animals. Make the answer possible using text and numbers only.
early-childhood,number recognition,Create a real-life word problem for children ages 4 to 5 to develop number recognition using a context related to playground objects. Include the correct answer and a brief solution.
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Use clear instructions and avoid unnecessary information.
early-childhood,sorting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop sorting using a context related to fruit. Include the correct answer and a brief solution.
early-childhood,sorting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop sorting using a context related to fruit. Make the answer possible using text and numbers only.
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to colored blocks. Use clear instructions and avoid unnecessary information.
early-childhood,quantity comparison,Create a short problem for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Keep the wording concise and include an answer key.
early-childhood,counting,Create a multiple-choice question with four options for children ages 4 to 5 to develop counting using a context related to fruit. Keep the wording concise and include an answer key.
early-childhood,simple patterns,Create a two-step problem for children ages 4 to 5 to develop simple patterns using a context related to classroom objects. Make the answer possible using text and numbers only.
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to songs. Use values appropriate for the educational level.
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Ask the student to justify the answer briefly.
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to fruit. Use clear instructions and avoid unnecessary information.
early-childhood,shape recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Connect the task to a realistic situation.
early-childhood,sorting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop sorting using a context related to colored blocks. Keep the wording concise and include an answer key.
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to toys. Use values appropriate for the educational level.
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Include the correct answer and a brief solution.
early-childhood,sorting,Create a real-life word problem for children ages 4 to 5 to develop sorting using a context related to songs. Connect the task to a realistic situation.
early-childhood,sorting,Create a two-step problem for children ages 4 to 5 to develop sorting using a context related to fruit. Connect the task to a realistic situation.
early-childhood,counting,Create a short problem for children ages 4 to 5 to develop counting using a context related to colored blocks. Include one hint and the final answer.
early-childhood,quantity comparison,Create a multiple-choice question with four options for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Make the answer possible using text and numbers only.
early-childhood,simple patterns,Create a two-step problem for children ages 4 to 5 to develop simple patterns using a context related to picture cards. Use clear instructions and avoid unnecessary information.
early-childhood,shape recognition,Create a short problem for children ages 4 to 5 to develop shape recognition using a context related to fruit. Use clear instructions and avoid unnecessary information.
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to songs. Keep the wording concise and include an answer key.
early-childhood,quantity comparison,Create a multiple-choice question with four options for children ages 4 to 5 to develop quantity comparison using a context related to picture cards. Ask the student to justify the answer briefly.
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Make the answer possible using text and numbers only.
early-childhood,counting,Create a real-life word problem for children ages 4 to 5 to develop counting using a context related to animals. Use values appropriate for the educational level.
early-childhood,counting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop counting using a context related to colored blocks. Keep the wording concise and include an answer key.
early-childhood,simple patterns,Create a short problem for children ages 4 to 5 to develop simple patterns using a context related to animals. Ask the student to justify the answer briefly.
early-childhood,number recognition,Create a real-life word problem for children ages 4 to 5 to develop number recognition using a context related to picture cards. Use clear instructions and avoid unnecessary information.
early-childhood,sorting,Create a conceptual question for children ages 4 to 5 to develop sorting using a context related to toys. Include one hint and the final answer.
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to picture cards. Keep the wording concise and include an answer key.
early-childhood,simple patterns,Create a conceptual question for children ages 4 to 5 to develop simple patterns using a context related to playground objects. Ask the student to justify the answer briefly.
early-childhood,counting,Create a two-step problem for children ages 4 to 5 to develop counting using a context related to toys. Use clear instructions and avoid unnecessary information.
early-childhood,counting,Create a short problem for children ages 4 to 5 to develop counting using a context related to fruit. Include one hint and the final answer.
early-childhood,sorting,Create a conceptual question for children ages 4 to 5 to develop sorting using a context related to toys. Make the answer possible using text and numbers only.
early-childhood,counting,Create a short problem for children ages 4 to 5 to develop counting using a context related to toys. Make the answer possible using text and numbers only.
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to animals. Include one hint and the final answer.
early-childhood,sorting,Create a multiple-choice question with four options for children ages 4 to 5 to develop sorting using a context related to fruit. Use values appropriate for the educational level.
early-childhood,sorting,Create an error-analysis question for children ages 4 to 5 to develop sorting using a context related to playground objects. Keep the wording concise and include an answer key.
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Include one hint and the final answer.
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Keep the wording concise and include an answer key.
early-childhood,simple patterns,Create an error-analysis question for children ages 4 to 5 to develop simple patterns using a context related to fruit. Use clear instructions and avoid unnecessary information.
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Ask the student to justify the answer briefly.
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to animals. Connect the task to a realistic situation.
early-childhood,counting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop counting using a context related to animals. Connect the task to a realistic situation.
early-childhood,number recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop number recognition using a context related to classroom objects. Include one hint and the final answer.
early-childhood,counting,Create a real-life word problem for children ages 4 to 5 to develop counting using a context related to fruit. Use values appropriate for the educational level.
early-childhood,number recognition,Create an error-analysis question for children ages 4 to 5 to develop number recognition using a context related to toys. Use values appropriate for the educational level.
early-childhood,quantity comparison,Create a conceptual question for children ages 4 to 5 to develop quantity comparison using a context related to colored blocks. Use clear instructions and avoid unnecessary information.
early-childhood,shape recognition,Create a real-life word problem for children ages 4 to 5 to develop shape recognition using a context related to animals. Include one hint and the final answer.
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to playground objects. Use values appropriate for the educational level.
early-childhood,simple patterns,Create a conceptual question for children ages 4 to 5 to develop simple patterns using a context related to songs. Ask the student to justify the answer briefly.
early-childhood,quantity comparison,Create a two-step problem for children ages 4 to 5 to develop quantity comparison using a context related to songs. Ask the student to justify the answer briefly.
early-childhood,simple patterns,Create a question that requires showing the reasoning for children ages 4 to 5 to develop simple patterns using a context related to animals. Include one hint and the final answer.
upper-elementary,decimals,Create a real-life word problem for upper elementary students to develop decimals using a context related to class surveys. Make the answer possible using text and numbers only.
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to school projects. Keep the wording concise and include an answer key.
upper-elementary,data interpretation,Create a conceptual question for upper elementary students to develop data interpretation using a context related to class surveys. Ask the student to justify the answer briefly.
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to class surveys. Include the correct answer and a brief solution.
upper-elementary,data interpretation,Create an error-analysis question for upper elementary students to develop data interpretation using a context related to gardens. Use values appropriate for the educational level.
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to maps. Use clear instructions and avoid unnecessary information.
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to maps. Use clear instructions and avoid unnecessary information.
upper-elementary,measurement,Create a question that requires showing the reasoning for upper elementary students to develop measurement using a context related to recipes. Connect the task to a realistic situation.
upper-elementary,fractions,Create a fill-in-the-blank problem for upper elementary students to develop fractions using a context related to class surveys. Keep the wording concise and include an answer key.
upper-elementary,area and perimeter,Create a two-step problem for upper elementary students to develop area and perimeter using a context related to sports results. Keep the wording concise and include an answer key.
upper-elementary,fractions,Create a two-step problem for upper elementary students to develop fractions using a context related to maps. Keep the wording concise and include an answer key.
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to travel distances. Make the answer possible using text and numbers only.
upper-elementary,fractions,Create a multiple-choice question with four options for upper elementary students to develop fractions using a context related to shopping. Make the answer possible using text and numbers only.
upper-elementary,fractions,Create a multiple-choice question with four options for upper elementary students to develop fractions using a context related to school projects. Make the answer possible using text and numbers only.
upper-elementary,fractions,Create a short problem for upper elementary students to develop fractions using a context related to travel distances. Make the answer possible using text and numbers only.
upper-elementary,measurement,Create a two-step problem for upper elementary students to develop measurement using a context related to class surveys. Keep the wording concise and include an answer key.
upper-elementary,multi-digit operations,Create a conceptual question for upper elementary students to develop multi-digit operations using a context related to school projects. Keep the wording concise and include an answer key.
upper-elementary,multi-digit operations,Create a conceptual question for upper elementary students to develop multi-digit operations using a context related to sports results. Make the answer possible using text and numbers only.
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to sports results. Include one hint and the final answer.
upper-elementary,measurement,Create a conceptual question for upper elementary students to develop measurement using a context related to travel distances. Make the answer possible using text and numbers only.
upper-elementary,data interpretation,Create a short problem for upper elementary students to develop data interpretation using a context related to shopping. Make the answer possible using text and numbers only.
upper-elementary,area and perimeter,Create an error-analysis question for upper elementary students to develop area and perimeter using a context related to sports results. Make the answer possible using text and numbers only.
upper-elementary,area and perimeter,Create an error-analysis question for upper elementary students to develop area and perimeter using a context related to travel distances. Include one hint and the final answer.
upper-elementary,measurement,Create a fill-in-the-blank problem for upper elementary students to develop measurement using a context related to recipes. Use clear instructions and avoid unnecessary information.
upper-elementary,decimals,Create a fill-in-the-blank problem for upper elementary students to develop decimals using a context related to school projects. Include the correct answer and a brief solution.
upper-elementary,area and perimeter,Create a multiple-choice question with four options for upper elementary students to develop area and perimeter using a context related to travel distances. Use values appropriate for the educational level.
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to recipes. Include the correct answer and a brief solution.
upper-elementary,decimals,Create a fill-in-the-blank problem for upper elementary students to develop decimals using a context related to gardens. Include the correct answer and a brief solution.
upper-elementary,data interpretation,Create a question that requires showing the reasoning for upper elementary students to develop data interpretation using a context related to recipes. Use values appropriate for the educational level.
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to sports results. Make the answer possible using text and numbers only.
upper-elementary,fractions,Create a conceptual question for upper elementary students to develop fractions using a context related to school projects. Keep the wording concise and include an answer key.
upper-elementary,decimals,Create a conceptual question for upper elementary students to develop decimals using a context related to recipes. Include the correct answer and a brief solution.
upper-elementary,fractions,Create a fill-in-the-blank problem for upper elementary students to develop fractions using a context related to travel distances. Use clear instructions and avoid unnecessary information.
upper-elementary,multi-digit operations,Create an error-analysis question for upper elementary students to develop multi-digit operations using a context related to maps. Use clear instructions and avoid unnecessary information.
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to recipes. Include the correct answer and a brief solution.
upper-elementary,fractions,Create an error-analysis question for upper elementary students to develop fractions using a context related to school projects. Ask the student to justify the answer briefly.
upper-elementary,multi-digit operations,Create a real-life word problem for upper elementary students to develop multi-digit operations using a context related to shopping. Make the answer possible using text and numbers only.
upper-elementary,decimals,Create a short problem for upper elementary students to develop decimals using a context related to recipes. Ask the student to justify the answer briefly.
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to recipes. Ask the student to justify the answer briefly.
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to maps. Connect the task to a realistic situation.
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to recipes. Ask the student to justify the answer briefly.
upper-elementary,data interpretation,Create a two-step problem for upper elementary students to develop data interpretation using a context related to shopping. Use values appropriate for the educational level.
upper-elementary,area and perimeter,Create a conceptual question for upper elementary students to develop area and perimeter using a context related to travel distances. Keep the wording concise and include an answer key.
upper-elementary,fractions,Create a multiple-choice question with four options for upper elementary students to develop fractions using a context related to school projects. Use values appropriate for the educational level.
upper-elementary,measurement,Create a question that requires showing the reasoning for upper elementary students to develop measurement using a context related to travel distances. Use values appropriate for the educational level.
upper-elementary,decimals,Create a conceptual question for upper elementary students to develop decimals using a context related to shopping. Use values appropriate for the educational level.
upper-elementary,decimals,Create an error-analysis question for upper elementary students to develop decimals using a context related to maps. Make the answer possible using text and numbers only.
upper-elementary,measurement,Create a fill-in-the-blank problem for upper elementary students to develop measurement using a context related to travel distances. Keep the wording concise and include an answer key.
upper-elementary,measurement,Create a two-step problem for upper elementary students to develop measurement using a context related to school projects. Include one hint and the final answer.
upper-elementary,data interpretation,Create a conceptual question for upper elementary students to develop data interpretation using a context related to school projects. Connect the task to a realistic situation.
upper-elementary,decimals,Create a two-step problem for upper elementary students to develop decimals using a context related to class surveys. Keep the wording concise and include an answer key.
upper-elementary,measurement,Create a short problem for upper elementary students to develop measurement using a context related to school projects. Connect the task to a realistic situation.
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to sports results. Connect the task to a realistic situation.
upper-elementary,measurement,Create a multiple-choice question with four options for upper elementary students to develop measurement using a context related to travel distances. Ask the student to justify the answer briefly.
upper-elementary,measurement,Create an error-analysis question for upper elementary students to develop measurement using a context related to shopping. Ask the student to justify the answer briefly.
upper-elementary,data interpretation,Create a two-step problem for upper elementary students to develop data interpretation using a context related to school projects. Use clear instructions and avoid unnecessary information.
upper-elementary,decimals,Create a real-life word problem for upper elementary students to develop decimals using a context related to school projects. Connect the task to a realistic situation.
upper-elementary,measurement,Create a two-step problem for upper elementary students to develop measurement using a context related to class surveys. Make the answer possible using text and numbers only.
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to school projects. Ask the student to justify the answer briefly.
upper-elementary,multi-digit operations,Create a multiple-choice question with four options for upper elementary students to develop multi-digit operations using a context related to recipes. Keep the wording concise and include an answer key.
upper-elementary,data interpretation,Create a multiple-choice question with four options for upper elementary students to develop data interpretation using a context related to recipes. Ask the student to justify the answer briefly.
upper-elementary,fractions,Create a real-life word problem for upper elementary students to develop fractions using a context related to recipes. Include one hint and the final answer.
upper-elementary,area and perimeter,Create a short problem for upper elementary students to develop area and perimeter using a context related to maps. Ask the student to justify the answer briefly.
upper-elementary,measurement,Create a fill-in-the-blank problem for upper elementary students to develop measurement using a context related to class surveys. Connect the task to a realistic situation.
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to travel distances. Include one hint and the final answer.
upper-elementary,fractions,Create a real-life word problem for upper elementary students to develop fractions using a context related to recipes. Include the correct answer and a brief solution.
upper-elementary,multi-digit operations,Create a short problem for upper elementary students to develop multi-digit operations using a context related to shopping. Ask the student to justify the answer briefly.
upper-elementary,data interpretation,Create a fill-in-the-blank problem for upper elementary students to develop data interpretation using a context related to class surveys. Make the answer possible using text and numbers only.
upper-elementary,area and perimeter,Create a conceptual question for upper elementary students to develop area and perimeter using a context related to gardens. Connect the task to a realistic situation.
upper-elementary,fractions,Create a fill-in-the-blank problem for upper elementary students to develop fractions using a context related to school projects. Connect the task to a realistic situation.
upper-elementary,fractions,Create a question that requires showing the reasoning for upper elementary students to develop fractions using a context related to school projects. Use clear instructions and avoid unnecessary information.
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to gardens. Use clear instructions and avoid unnecessary information.
upper-elementary,multi-digit operations,Create an error-analysis question for upper elementary students to develop multi-digit operations using a context related to sports results. Connect the task to a realistic situation.
upper-elementary,data interpretation,Create a fill-in-the-blank problem for upper elementary students to develop data interpretation using a context related to sports results. Use values appropriate for the educational level.
upper-elementary,area and perimeter,Create a question that requires showing the reasoning for upper elementary students to develop area and perimeter using a context related to travel distances. Ask the student to justify the answer briefly.
upper-elementary,multi-digit operations,Create a short problem for upper elementary students to develop multi-digit operations using a context related to gardens. Include the correct answer and a brief solution.
upper-elementary,decimals,Create an error-analysis question for upper elementary students to develop decimals using a context related to maps. Use clear instructions and avoid unnecessary information.
upper-elementary,data interpretation,Create a question that requires showing the reasoning for upper elementary students to develop data interpretation using a context related to travel distances. Use clear instructions and avoid unnecessary information.
upper-elementary,area and perimeter,Create a real-life word problem for upper elementary students to develop area and perimeter using a context related to shopping. Ask the student to justify the answer briefly.
upper-elementary,multi-digit operations,Create a multiple-choice question with four options for upper elementary students to develop multi-digit operations using a context related to gardens. Use clear instructions and avoid unnecessary information.
upper-elementary,fractions,Create a two-step problem for upper elementary students to develop fractions using a context related to maps. Connect the task to a realistic situation.
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to class surveys. Keep the wording concise and include an answer key.
upper-elementary,fractions,Create a question that requires showing the reasoning for upper elementary students to develop fractions using a context related to travel distances. Make the answer possible using text and numbers only.
upper-elementary,data interpretation,Create an error-analysis question for upper elementary students to develop data interpretation using a context related to sports results. Include the correct answer and a brief solution.
upper-elementary,area and perimeter,Create a real-life word problem for upper elementary students to develop area and perimeter using a context related to travel distances. Keep the wording concise and include an answer key.
upper-elementary,area and perimeter,Create an error-analysis question for upper elementary students to develop area and perimeter using a context related to school projects. Connect the task to a realistic situation.
upper-elementary,decimals,Create a two-step problem for upper elementary students to develop decimals using a context related to maps. Connect the task to a realistic situation.
upper-elementary,decimals,Create a real-life word problem for upper elementary students to develop decimals using a context related to recipes. Include one hint and the final answer.
upper-elementary,data interpretation,Create an error-analysis question for upper elementary students to develop data interpretation using a context related to class surveys. Connect the task to a realistic situation.
upper-elementary,data interpretation,Create a fill-in-the-blank problem for upper elementary students to develop data interpretation using a context related to gardens. Ask the student to justify the answer briefly.
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to school projects. Use clear instructions and avoid unnecessary information.
upper-elementary,multi-digit operations,Create a multiple-choice question with four options for upper elementary students to develop multi-digit operations using a context related to class surveys. Use clear instructions and avoid unnecessary information.
upper-elementary,decimals,Create a conceptual question for upper elementary students to develop decimals using a context related to gardens. Include one hint and the final answer.
upper-elementary,area and perimeter,Create a multiple-choice question with four options for upper elementary students to develop area and perimeter using a context related to shopping. Use clear instructions and avoid unnecessary information.
upper-elementary,fractions,Create an error-analysis question for upper elementary students to develop fractions using a context related to class surveys. Include the correct answer and a brief solution.
upper-elementary,decimals,Create an error-analysis question for upper elementary students to develop decimals using a context related to class surveys. Use values appropriate for the educational level.
upper-elementary,multi-digit operations,Create a question that requires showing the reasoning for upper elementary students to develop multi-digit operations using a context related to sports results. Include one hint and the final answer.
upper-elementary,data interpretation,Create a conceptual question for upper elementary students to develop data interpretation using a context related to shopping. Connect the task to a realistic situation.
upper-elementary,fractions,Create a conceptual question for upper elementary students to develop fractions using a context related to gardens. Use values appropriate for the educational level.
upper-elementary,fractions,Create a conceptual question for upper elementary students to develop fractions using a context related to shopping. Include one hint and the final answer.
upper-elementary,decimals,Create a question that requires showing the reasoning for upper elementary students to develop decimals using a context related to school projects. Include the correct answer and a brief solution.
