subject,skill,prompt
science,environmental awareness,Create a two-part question for moderate elementary students to develop environmental awareness through materials. Keep the question under 50 words and provide the answer.
science,environmental awareness,Create a question that asks the student to explain their reasoning for beginner elementary students to develop environmental awareness through light and shadows. Use age-appropriate language and explain the answer briefly.
science,prediction,Create a short-answer question for slightly challenging elementary students to develop prediction through animals. Make the expected response possible using text only.
science,observation,Create a fill-in-the-blank question for moderate elementary students to develop observation through habitats. Make the expected response possible using text only.
science,environmental awareness,Create a question that asks the student to explain their reasoning for easy elementary students to develop environmental awareness through plants. Use a familiar real-life context and add a short hint.
science,prediction,Create a multiple-choice question with four options for slightly challenging elementary students to develop prediction through water. Keep the question under 50 words and provide the answer.
science,cause and effect,Create a multiple-choice question with four options for moderate elementary students to develop cause and effect through habitats. Use age-appropriate language and explain the answer briefly.
science,prediction,Create a short-answer question for beginner elementary students to develop prediction through water. Make the instructions direct and easy for a teacher to use.
science,cause and effect,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop cause and effect through the solar system. Make the expected response possible using text only.
science,prediction,Create a short-answer question for easy elementary students to develop prediction through the solar system. Make the instructions direct and easy for a teacher to use.
science,prediction,Create a comparison question for easy elementary students to develop prediction through habitats. Make the expected response possible using text only.
science,environmental awareness,Create a two-part question for moderate elementary students to develop environmental awareness through recycling. Use a familiar real-life context and add a short hint.
science,environmental awareness,Create a true-or-false question with a brief explanation for moderate elementary students to develop environmental awareness through plants. Use a familiar real-life context and add a short hint.
science,classification,Create a true-or-false question with a brief explanation for moderate elementary students to develop classification through the solar system. Use clear vocabulary and include the correct answer.
science,observation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop observation through materials. Make the expected response possible using text only.
science,cause and effect,Create a question that asks the student to explain their reasoning for easy elementary students to develop cause and effect through the solar system. Make the expected response possible using text only.
science,prediction,Create a multiple-choice question with four options for moderate elementary students to develop prediction through recycling. Use a familiar real-life context and add a short hint.
science,classification,Create a two-part question for easy elementary students to develop classification through the solar system. Use a familiar real-life context and add a short hint.
science,environmental awareness,Create a true-or-false question with a brief explanation for moderate elementary students to develop environmental awareness through light and shadows. Use a familiar real-life context and add a short hint.
science,prediction,Create a comparison question for easy elementary students to develop prediction through animals. Avoid technical vocabulary and include a brief answer key.
science,observation,Create a short-answer question for easy elementary students to develop observation through the solar system. Ask only one main idea and include the correct answer.
science,observation,Create a true-or-false question with a brief explanation for moderate elementary students to develop observation through the human body. Keep the question under 50 words and provide the answer.
science,observation,Create a multiple-choice question with four options for slightly challenging elementary students to develop observation through plants. Use a familiar real-life context and add a short hint.
science,observation,Create a true-or-false question with a brief explanation for beginner elementary students to develop observation through the human body. Use age-appropriate language and explain the answer briefly.
science,observation,Create a fill-in-the-blank question for beginner elementary students to develop observation through materials. Keep the question under 50 words and provide the answer.
science,environmental awareness,Create a multiple-choice question with four options for easy elementary students to develop environmental awareness through the solar system. Use a familiar real-life context and add a short hint.
language-arts,sequence of events,Create a short-answer question for beginner elementary students to develop sequence of events through a classroom dialogue. Make the expected response possible using text only.
language-arts,sequence of events,Create a question that asks the student to explain their reasoning for easy elementary students to develop sequence of events through a description of a place. Ask only one main idea and include the correct answer.
language-arts,vocabulary in context,Create a two-part question for moderate elementary students to develop vocabulary in context through a description of a place. Make the instructions direct and easy for a teacher to use.
language-arts,written expression,Create a multiple-choice question with four options for slightly challenging elementary students to develop written expression through a school event. Make the expected response possible using text only.
language-arts,sequence of events,Create a short-answer question for easy elementary students to develop sequence of events through a school event. Use clear vocabulary and include the correct answer.
language-arts,sequence of events,Create a comparison question for slightly challenging elementary students to develop sequence of events through a classroom dialogue. Avoid technical vocabulary and include a brief answer key.
language-arts,main idea,Create a fill-in-the-blank question for easy elementary students to develop main idea through a fable. Avoid technical vocabulary and include a brief answer key.
language-arts,main idea,Create a question that asks the student to explain their reasoning for easy elementary students to develop main idea through a short informational text. Make the expected response possible using text only.
language-arts,reading comprehension,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop reading comprehension through a school event. Keep the question under 50 words and provide the answer.
language-arts,vocabulary in context,Create a comparison question for moderate elementary students to develop vocabulary in context through a poem. Use clear vocabulary and include the correct answer.
language-arts,character analysis,Create a fill-in-the-blank question for easy elementary students to develop character analysis through a short informational text. Use clear vocabulary and include the correct answer.
language-arts,reading comprehension,Create a short-answer question for easy elementary students to develop reading comprehension through a fable. Keep the question under 50 words and provide the answer.
language-arts,vocabulary in context,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop vocabulary in context through a character's actions. Keep the question under 50 words and provide the answer.
language-arts,sequence of events,Create a multiple-choice question with four options for moderate elementary students to develop sequence of events through a description of a place. Avoid technical vocabulary and include a brief answer key.
language-arts,character analysis,Create a short-answer question for beginner elementary students to develop character analysis through a family story. Avoid technical vocabulary and include a brief answer key.
language-arts,written expression,Create a simple scenario-based question for moderate elementary students to develop written expression through a poem. Make the instructions direct and easy for a teacher to use.
language-arts,character analysis,Create a comparison question for moderate elementary students to develop character analysis through a short story. Make the expected response possible using text only.
language-arts,written expression,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop written expression through a fable. Use a familiar real-life context and add a short hint.
language-arts,reading comprehension,Create a fill-in-the-blank question for beginner elementary students to develop reading comprehension through a sequence of pictures. Keep the question under 50 words and provide the answer.
language-arts,reading comprehension,Create a two-part question for easy elementary students to develop reading comprehension through a short story. Use a familiar real-life context and add a short hint.
language-arts,reading comprehension,Create a short-answer question for moderate elementary students to develop reading comprehension through a school event. Use age-appropriate language and explain the answer briefly.
language-arts,vocabulary in context,Create a fill-in-the-blank question for easy elementary students to develop vocabulary in context through a classroom dialogue. Make the expected response possible using text only.
language-arts,reading comprehension,Create a two-part question for easy elementary students to develop reading comprehension through a character's actions. Avoid technical vocabulary and include a brief answer key.
language-arts,written expression,Create a short-answer question for slightly challenging elementary students to develop written expression through a character's actions. Make the expected response possible using text only.
language-arts,written expression,Create a two-part question for slightly challenging elementary students to develop written expression through a character's actions. Ask only one main idea and include the correct answer.
language-arts,vocabulary in context,Create a fill-in-the-blank question for slightly challenging elementary students to develop vocabulary in context through a school event. Make the instructions direct and easy for a teacher to use.
language-arts,main idea,Create a short-answer question for beginner elementary students to develop main idea through a fable. Use clear vocabulary and include the correct answer.
language-arts,reading comprehension,Create a comparison question for slightly challenging elementary students to develop reading comprehension through a school event. Use a familiar real-life context and add a short hint.
language-arts,sequence of events,Create a question that asks the student to explain their reasoning for easy elementary students to develop sequence of events through a poem. Ask only one main idea and include the correct answer.
language-arts,sequence of events,Create a simple scenario-based question for easy elementary students to develop sequence of events through a poem. Make the expected response possible using text only.
language-arts,character analysis,Create a comparison question for beginner elementary students to develop character analysis through a sequence of pictures. Make the expected response possible using text only.
language-arts,written expression,Create a two-part question for moderate elementary students to develop written expression through a school event. Make the instructions direct and easy for a teacher to use.
language-arts,written expression,Create a fill-in-the-blank question for beginner elementary students to develop written expression through a fable. Make the instructions direct and easy for a teacher to use.
language-arts,reading comprehension,Create a question that asks the student to explain their reasoning for moderate elementary students to develop reading comprehension through a fable. Use clear vocabulary and include the correct answer.
language-arts,sequence of events,Create a short-answer question for slightly challenging elementary students to develop sequence of events through a sequence of pictures. Keep the question under 50 words and provide the answer.
language-arts,written expression,Create a true-or-false question with a brief explanation for beginner elementary students to develop written expression through a short informational text. Ask only one main idea and include the correct answer.
language-arts,reading comprehension,Create a multiple-choice question with four options for moderate elementary students to develop reading comprehension through a character's actions. Make the instructions direct and easy for a teacher to use.
language-arts,sequence of events,Create a true-or-false question with a brief explanation for moderate elementary students to develop sequence of events through a classroom dialogue. Keep the question under 50 words and provide the answer.
language-arts,sequence of events,Create a true-or-false question with a brief explanation for moderate elementary students to develop sequence of events through a sequence of pictures. Make the instructions direct and easy for a teacher to use.
language-arts,character analysis,Create a short-answer question for beginner elementary students to develop character analysis through a fable. Use age-appropriate language and explain the answer briefly.
language-arts,reading comprehension,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop reading comprehension through a character's actions. Use age-appropriate language and explain the answer briefly.
language-arts,vocabulary in context,Create a simple scenario-based question for slightly challenging elementary students to develop vocabulary in context through a short informational text. Ask only one main idea and include the correct answer.
language-arts,sequence of events,Create a short-answer question for beginner elementary students to develop sequence of events through a sequence of pictures. Make the expected response possible using text only.
language-arts,main idea,Create a multiple-choice question with four options for beginner elementary students to develop main idea through a poem. Ask only one main idea and include the correct answer.
language-arts,vocabulary in context,Create a comparison question for easy elementary students to develop vocabulary in context through a family story. Make the instructions direct and easy for a teacher to use.
language-arts,reading comprehension,Create a true-or-false question with a brief explanation for moderate elementary students to develop reading comprehension through a school event. Make the expected response possible using text only.
language-arts,character analysis,Create a simple scenario-based question for moderate elementary students to develop character analysis through a poem. Ask only one main idea and include the correct answer.
language-arts,written expression,Create a comparison question for moderate elementary students to develop written expression through a poem. Avoid technical vocabulary and include a brief answer key.
language-arts,sequence of events,Create a multiple-choice question with four options for moderate elementary students to develop sequence of events through a character's actions. Use clear vocabulary and include the correct answer.
language-arts,sequence of events,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop sequence of events through a classroom dialogue. Make the expected response possible using text only.
language-arts,character analysis,Create a simple scenario-based question for slightly challenging elementary students to develop character analysis through a sequence of pictures. Make the instructions direct and easy for a teacher to use.
language-arts,main idea,Create a fill-in-the-blank question for slightly challenging elementary students to develop main idea through a family story. Ask only one main idea and include the correct answer.
language-arts,character analysis,Create a short-answer question for moderate elementary students to develop character analysis through a sequence of pictures. Use age-appropriate language and explain the answer briefly.
language-arts,reading comprehension,Create a comparison question for easy elementary students to develop reading comprehension through a short informational text. Avoid technical vocabulary and include a brief answer key.
language-arts,character analysis,Create a fill-in-the-blank question for beginner elementary students to develop character analysis through a poem. Make the instructions direct and easy for a teacher to use.
language-arts,sequence of events,Create a comparison question for beginner elementary students to develop sequence of events through a short story. Keep the question under 50 words and provide the answer.
language-arts,reading comprehension,Create a simple scenario-based question for easy elementary students to develop reading comprehension through a classroom dialogue. Make the instructions direct and easy for a teacher to use.
language-arts,reading comprehension,Create a short-answer question for easy elementary students to develop reading comprehension through a description of a place. Use a familiar real-life context and add a short hint.
language-arts,reading comprehension,Create a question that asks the student to explain their reasoning for beginner elementary students to develop reading comprehension through a fable. Ask only one main idea and include the correct answer.
language-arts,sequence of events,Create a comparison question for easy elementary students to develop sequence of events through a short story. Make the instructions direct and easy for a teacher to use.
language-arts,main idea,Create a two-part question for easy elementary students to develop main idea through a sequence of pictures. Avoid technical vocabulary and include a brief answer key.
language-arts,main idea,Create a multiple-choice question with four options for beginner elementary students to develop main idea through a fable. Use a familiar real-life context and add a short hint.
language-arts,character analysis,Create a fill-in-the-blank question for moderate elementary students to develop character analysis through a family story. Use a familiar real-life context and add a short hint.
language-arts,character analysis,Create a simple scenario-based question for easy elementary students to develop character analysis through a family story. Make the expected response possible using text only.
language-arts,reading comprehension,Create a short-answer question for easy elementary students to develop reading comprehension through a school event. Make the instructions direct and easy for a teacher to use.
language-arts,main idea,Create a two-part question for moderate elementary students to develop main idea through a short informational text. Ask only one main idea and include the correct answer.
language-arts,character analysis,Create a question that asks the student to explain their reasoning for easy elementary students to develop character analysis through a classroom dialogue. Avoid technical vocabulary and include a brief answer key.
language-arts,vocabulary in context,Create a short-answer question for beginner elementary students to develop vocabulary in context through a school event. Make the instructions direct and easy for a teacher to use.
language-arts,vocabulary in context,Create a true-or-false question with a brief explanation for beginner elementary students to develop vocabulary in context through a sequence of pictures. Keep the question under 50 words and provide the answer.
language-arts,sequence of events,Create a fill-in-the-blank question for slightly challenging elementary students to develop sequence of events through a short story. Make the expected response possible using text only.
language-arts,character analysis,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop character analysis through a fable. Make the expected response possible using text only.
language-arts,sequence of events,Create a simple scenario-based question for beginner elementary students to develop sequence of events through a fable. Use a familiar real-life context and add a short hint.
language-arts,sequence of events,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop sequence of events through a school event. Use age-appropriate language and explain the answer briefly.
language-arts,main idea,Create a short-answer question for moderate elementary students to develop main idea through a classroom dialogue. Use age-appropriate language and explain the answer briefly.
language-arts,written expression,Create a two-part question for slightly challenging elementary students to develop written expression through a school event. Use clear vocabulary and include the correct answer.
language-arts,vocabulary in context,Create a comparison question for slightly challenging elementary students to develop vocabulary in context through a family story. Ask only one main idea and include the correct answer.
language-arts,main idea,Create a comparison question for beginner elementary students to develop main idea through a family story. Make the expected response possible using text only.
language-arts,sequence of events,Create a fill-in-the-blank question for beginner elementary students to develop sequence of events through a family story. Avoid technical vocabulary and include a brief answer key.
language-arts,written expression,Create a fill-in-the-blank question for slightly challenging elementary students to develop written expression through a classroom dialogue. Avoid technical vocabulary and include a brief answer key.
language-arts,reading comprehension,Create a two-part question for beginner elementary students to develop reading comprehension through a family story. Use age-appropriate language and explain the answer briefly.
social-studies,maps and location,Create a fill-in-the-blank question for slightly challenging elementary students to develop maps and location through transportation. Keep the question under 50 words and provide the answer.
social-studies,historical sequence,Create a question that asks the student to explain their reasoning for beginner elementary students to develop historical sequence through natural and human-made landmarks. Use age-appropriate language and explain the answer briefly.
social-studies,comparison of societies,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop comparison of societies through rules and responsibilities. Use age-appropriate language and explain the answer briefly.
social-studies,maps and location,Create a two-part question for easy elementary students to develop maps and location through family traditions. Avoid technical vocabulary and include a brief answer key.
social-studies,citizenship,Create a short-answer question for easy elementary students to develop citizenship through transportation. Use a familiar real-life context and add a short hint.
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for easy elementary students to develop comparison of societies through important historical events. Use age-appropriate language and explain the answer briefly.
social-studies,citizenship,Create a fill-in-the-blank question for moderate elementary students to develop citizenship through the local community. Keep the question under 50 words and provide the answer.
social-studies,community roles,Create a comparison question for beginner elementary students to develop community roles through a neighborhood map. Use age-appropriate language and explain the answer briefly.
social-studies,community roles,Create a two-part question for beginner elementary students to develop community roles through natural and human-made landmarks. Use clear vocabulary and include the correct answer.
social-studies,community roles,Create a multiple-choice question with four options for beginner elementary students to develop community roles through rules and responsibilities. Avoid technical vocabulary and include a brief answer key.
social-studies,maps and location,Create a simple scenario-based question for beginner elementary students to develop maps and location through the local community. Use a familiar real-life context and add a short hint.
social-studies,citizenship,Create a multiple-choice question with four options for easy elementary students to develop citizenship through transportation. Make the expected response possible using text only.
social-studies,maps and location,Create a fill-in-the-blank question for moderate elementary students to develop maps and location through community helpers. Use clear vocabulary and include the correct answer.
social-studies,comparison of societies,Create a comparison question for easy elementary students to develop comparison of societies through rural and urban areas. Use clear vocabulary and include the correct answer.
social-studies,community roles,Create a comparison question for easy elementary students to develop community roles through important historical events. Use a familiar real-life context and add a short hint.
social-studies,citizenship,Create a two-part question for beginner elementary students to develop citizenship through local celebrations. Use age-appropriate language and explain the answer briefly.
social-studies,comparison of societies,Create a comparison question for slightly challenging elementary students to develop comparison of societies through local celebrations. Keep the question under 50 words and provide the answer.
social-studies,comparison of societies,Create a fill-in-the-blank question for easy elementary students to develop comparison of societies through rural and urban areas. Use age-appropriate language and explain the answer briefly.
social-studies,citizenship,Create a true-or-false question with a brief explanation for moderate elementary students to develop citizenship through local celebrations. Use age-appropriate language and explain the answer briefly.
social-studies,citizenship,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop citizenship through family traditions. Use clear vocabulary and include the correct answer.
social-studies,maps and location,Create a comparison question for moderate elementary students to develop maps and location through the local community. Make the expected response possible using text only.
social-studies,comparison of societies,Create a two-part question for slightly challenging elementary students to develop comparison of societies through family traditions. Keep the question under 50 words and provide the answer.
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop comparison of societies through community helpers. Make the instructions direct and easy for a teacher to use.
social-studies,community roles,Create a two-part question for beginner elementary students to develop community roles through rural and urban areas. Ask only one main idea and include the correct answer.
social-studies,community roles,Create a multiple-choice question with four options for easy elementary students to develop community roles through important historical events. Use a familiar real-life context and add a short hint.
social-studies,citizenship,Create a true-or-false question with a brief explanation for moderate elementary students to develop citizenship through natural and human-made landmarks. Use clear vocabulary and include the correct answer.
social-studies,citizenship,Create a two-part question for slightly challenging elementary students to develop citizenship through rural and urban areas. Avoid technical vocabulary and include a brief answer key.
social-studies,maps and location,Create a multiple-choice question with four options for beginner elementary students to develop maps and location through transportation. Use clear vocabulary and include the correct answer.
social-studies,maps and location,Create a multiple-choice question with four options for easy elementary students to develop maps and location through rules and responsibilities. Avoid technical vocabulary and include a brief answer key.
social-studies,maps and location,Create a short-answer question for easy elementary students to develop maps and location through natural and human-made landmarks. Use clear vocabulary and include the correct answer.
social-studies,citizenship,Create a comparison question for slightly challenging elementary students to develop citizenship through rural and urban areas. Make the expected response possible using text only.
social-studies,community roles,Create a comparison question for beginner elementary students to develop community roles through important historical events. Make the expected response possible using text only.
social-studies,historical sequence,Create a fill-in-the-blank question for slightly challenging elementary students to develop historical sequence through family traditions. Ask only one main idea and include the correct answer.
social-studies,historical sequence,Create a simple scenario-based question for beginner elementary students to develop historical sequence through local celebrations. Use age-appropriate language and explain the answer briefly.
social-studies,maps and location,Create a multiple-choice question with four options for beginner elementary students to develop maps and location through important historical events. Use age-appropriate language and explain the answer briefly.
social-studies,cultural diversity,Create a multiple-choice question with four options for easy elementary students to develop cultural diversity through rules and responsibilities. Use clear vocabulary and include the correct answer.
social-studies,maps and location,Create a simple scenario-based question for easy elementary students to develop maps and location through a neighborhood map. Make the expected response possible using text only.
social-studies,historical sequence,Create a fill-in-the-blank question for slightly challenging elementary students to develop historical sequence through transportation. Use clear vocabulary and include the correct answer.
social-studies,citizenship,Create a two-part question for easy elementary students to develop citizenship through the local community. Make the instructions direct and easy for a teacher to use.
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for moderate elementary students to develop comparison of societies through rural and urban areas. Ask only one main idea and include the correct answer.
social-studies,maps and location,Create a multiple-choice question with four options for easy elementary students to develop maps and location through rural and urban areas. Keep the question under 50 words and provide the answer.
social-studies,comparison of societies,Create a true-or-false question with a brief explanation for easy elementary students to develop comparison of societies through community helpers. Make the instructions direct and easy for a teacher to use.
social-studies,community roles,Create a question that asks the student to explain their reasoning for moderate elementary students to develop community roles through rural and urban areas. Use a familiar real-life context and add a short hint.
social-studies,cultural diversity,Create a true-or-false question with a brief explanation for easy elementary students to develop cultural diversity through rules and responsibilities. Make the expected response possible using text only.
social-studies,historical sequence,Create a simple scenario-based question for moderate elementary students to develop historical sequence through important historical events. Use a familiar real-life context and add a short hint.
social-studies,historical sequence,Create a comparison question for moderate elementary students to develop historical sequence through rural and urban areas. Ask only one main idea and include the correct answer.
social-studies,maps and location,Create a multiple-choice question with four options for moderate elementary students to develop maps and location through transportation. Make the expected response possible using text only.
social-studies,historical sequence,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop historical sequence through a neighborhood map. Make the expected response possible using text only.
social-studies,maps and location,Create a true-or-false question with a brief explanation for beginner elementary students to develop maps and location through important historical events. Use a familiar real-life context and add a short hint.
social-studies,comparison of societies,Create a simple scenario-based question for slightly challenging elementary students to develop comparison of societies through community helpers. Use age-appropriate language and explain the answer briefly.
social-studies,citizenship,Create a two-part question for easy elementary students to develop citizenship through rules and responsibilities. Avoid technical vocabulary and include a brief answer key.
social-studies,cultural diversity,Create a simple scenario-based question for moderate elementary students to develop cultural diversity through community helpers. Ask only one main idea and include the correct answer.
social-studies,comparison of societies,Create a two-part question for beginner elementary students to develop comparison of societies through natural and human-made landmarks. Avoid technical vocabulary and include a brief answer key.
social-studies,maps and location,Create a fill-in-the-blank question for slightly challenging elementary students to develop maps and location through rural and urban areas. Use clear vocabulary and include the correct answer.
social-studies,maps and location,Create a true-or-false question with a brief explanation for beginner elementary students to develop maps and location through natural and human-made landmarks. Keep the question under 50 words and provide the answer.
social-studies,community roles,Create a fill-in-the-blank question for easy elementary students to develop community roles through important historical events. Use age-appropriate language and explain the answer briefly.
social-studies,comparison of societies,Create a simple scenario-based question for moderate elementary students to develop comparison of societies through important historical events. Avoid technical vocabulary and include a brief answer key.
social-studies,historical sequence,Create a question that asks the student to explain their reasoning for beginner elementary students to develop historical sequence through rural and urban areas. Use clear vocabulary and include the correct answer.
social-studies,historical sequence,Create a fill-in-the-blank question for easy elementary students to develop historical sequence through transportation. Make the instructions direct and easy for a teacher to use.
social-studies,maps and location,Create a simple scenario-based question for moderate elementary students to develop maps and location through transportation. Make the expected response possible using text only.
social-studies,comparison of societies,Create a short-answer question for slightly challenging elementary students to develop comparison of societies through rules and responsibilities. Keep the question under 50 words and provide the answer.
social-studies,cultural diversity,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop cultural diversity through community helpers. Make the instructions direct and easy for a teacher to use.
social-studies,citizenship,Create a fill-in-the-blank question for slightly challenging elementary students to develop citizenship through transportation. Use a familiar real-life context and add a short hint.
social-studies,maps and location,Create a fill-in-the-blank question for slightly challenging elementary students to develop maps and location through natural and human-made landmarks. Ask only one main idea and include the correct answer.
social-studies,historical sequence,Create a question that asks the student to explain their reasoning for beginner elementary students to develop historical sequence through rules and responsibilities. Ask only one main idea and include the correct answer.
social-studies,historical sequence,Create a question that asks the student to explain their reasoning for easy elementary students to develop historical sequence through rural and urban areas. Make the instructions direct and easy for a teacher to use.
social-studies,community roles,Create a fill-in-the-blank question for easy elementary students to develop community roles through rules and responsibilities. Use clear vocabulary and include the correct answer.
social-studies,historical sequence,Create a true-or-false question with a brief explanation for moderate elementary students to develop historical sequence through a neighborhood map. Make the expected response possible using text only.
social-studies,maps and location,Create a comparison question for easy elementary students to develop maps and location through rules and responsibilities. Make the instructions direct and easy for a teacher to use.
