,pregunta,skill,level,claridad,signature
170,"Read this situation and answer: While playing a video game, Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many, approximately, points does Paul 's cousin have ?",addition-subtraction,ELEMENTARY,0.75,mathematics
1521,"About emma, fruit, cocktail, pantry, circular: Emma has a can of fruit cocktail in the pantry. The circular lid has a diameter of 2 inches. What is the lid's circumference?. Find the result from the information, although some parts are not explicit.",geometry,MIDDLE,0.50,mathematics
18751,"two cyclist start on a circular track from a given point but in opposite direction with sp ... with two, 7, 8, 675. The question is missing some details, answer it.",otro,OTRO,0.25,physics
2299,"how many, approximately, seconds will a 300 m long train take to cross a man walking with a speed of 3 km / hr in the direction of the moving train if the speed of the train is 63 km / hr ?",otro,OTRO,0.75,physics
1463,"In this situation: Carol was sending out birthday invitations to her friends.. With 3, 2, 9, what should be calculated?",challenge,ELEMENTARY,0.50,mathematics
690,"There is a problem about thing, circular, field, hectares, find; 17.56, 5; not sure which part is needed, find the answer.",geometry,ELEMENTARY,0.25,mathematics
1559,"Based on the story, A movie theater needed four hundred twenty-six popcorn buckets. If each package has eight buckets in it, how many, approximately, packages will they need to buy?",division,ELEMENTARY,0.75,mathematics
23109,"a can do a piece of work in 10 days and b in 20 days . they began the work together but 5. There are numbers like 10, 20, 5. Use them and decide the answer, but the exact operation is not clearly stated.",otro,OTRO,0.50,physics
738,"Using 89, 24, 43 and the thing about ryan, collected, leaves, lost, threw, choose or calculate the answer.",time,ELEMENTARY,0.25,mathematics
816,"Using the information given, what will be the cost of building a fence around a square plot with area equal to 49 sq ft, if the price per foot of building the fence is rs . 58 ?",geometry,ELEMENTARY,0.75,mathematics
24843,a certain number of men can do a work in 40 days . if there were 5 men less it could be finished in 10 days more . how many men are there ?. Then answer it somehow from the given data.,otro,OTRO,0.50,physics
1775,"jessica, making, fruit, punch, friends. Numbers: some numbers. What is it?",otro,ELEMENTARY,0.25,science
1127,Read this situation and answer: Which option seems to be job is done in Virginia only during the fall season? (A) Picking apples (B) Feeding animals (C) Selling clothes (D) Building houses,otro,ELEMENTARY,0.75,science
84,"About condition, necessary, metamorphic, rocks, form: Which condition is necessary for metamorphic rocks to form? / constant weathering and erosion / . Find the result from the information, although some parts are not explicit.",otro,MIDDLE,0.50,science
8889,"in an examination , a student scores 3 marks for every correct answer and loses 1 mark for ... with 3, 1, 30, 130. The question is missing some details, answer it.",otro,OTRO,0.25,physics
1489,Which option seems to be of these occurs when the North Pole is tilted toward the Sun and the United States has the most daylight hours of the year (A) summer solstice (B) winter solstice (C) spring equinox (D) fall equinox ?,otro,ELEMENTARY,0.75,science
23413,"In this situation: a 600 meter long train crosses a signal post in 40 seconds .. With 600, 40, 5.4, what should be calculated?",otro,OTRO,0.50,physics
1126,"There is a problem about jessie, started, jogging, everyday, lost; 35, 69; not sure which part is needed, find the answer.",challenge,ELEMENTARY,0.25,mathematics
344,"Based on the story, They served a total of 179 adults and 141 children, if 156 of all the people they served are male, how many, approximately, are female?",subtraction,ELEMENTARY,0.75,mathematics
799,"Dan has $ 2. He bought a candy bar for $ 6 and a chocolate for $ 3. How much money did he spend to buy candy bar than he did to buy chocolate?. There are numbers like 2, 6, 3. Use them and decide the answer, but the exact operation is not clearly stated.",subtraction,ELEMENTARY,0.50,mathematics
2168,"Using some numbers and the thing about water, vapor, sometimes, condenses, stratus, choose or calculate the answer.",otro,MIDDLE,0.25,science
1736,"Emily was helping her mom pick apples from the tree in their front yard . Together they picked fourteen totals . If six of the apples weren't ripe yet, how many, approximately, good apples did they pick?",subtraction,ELEMENTARY,0.75,mathematics
765,A lack of control in the muscular system is most likely related to a problem in what other organ system? / nervous / immune / excretory / digestive. Then answer it somehow from the given data.,otro,MIDDLE,0.50,science
359,"jake, fewer, peaches, steven, jill. Numbers: 9, 18, 16. What is it?",addition,ELEMENTARY,0.25,mathematics
682,"Read this situation and answer: Nancy was organizing her book case making sure each of the shelves had exactly 6 books on it. If she had 2 shelves of mystery books and 6 shelves of picture books, how many, approximately, books did she have total?",algebra,ELEMENTARY,0.75,mathematics
1631,"About island, indian, ocean, miles, wide: An island in the Indian Ocean was 4 miles wide and 7 miles long. What is the perimeter of the island?. Find the result from the information, although some parts are not explicit.",geometry,ELEMENTARY,0.50,mathematics
481,"the circumferences of two circles are 132 meters and 352 meters . ... with two, 132, 352. The question is missing some details, answer it.",geometry,ELEMENTARY,0.25,mathematics
414,"Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many, approximately, bad carrots did they have ?",algebra,ELEMENTARY,0.75,mathematics
734,"In this situation: A mailman has to give 32 pieces of junk mail to each of the 55 blocks.. With 32, 55, 8, what should be calculated?",division,ELEMENTARY,0.50,mathematics
1115,"There is a problem about size, television, screen, given, length; 22, 20; not sure which part is needed, find the answer.",geometry,ELEMENTARY,0.25,mathematics
20818,"Based on the story, Using the information given, a tank is filled by 3 pipes a, b, c in 10 hours . pipe c is twice as fast as b and b is twice as fast as a . how much will pipe a alone take to fill the tank ?",otro,OTRO,0.75,physics
1473,"He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks. There are numbers like 31, 24, 45. Use them and decide the answer, but the exact operation is not clearly stated.",challenge,ELEMENTARY,0.50,mathematics
655,"Using 6, 5 and the thing about april's, discount, flowers, having, sale, choose or calculate the answer.",algebra,ELEMENTARY,0.25,mathematics
1252,"a semicircle has a radius of 14 . what is, more or less, the approximate perimeter of the semicircle ?",geometry,ELEMENTARY,0.75,mathematics
30312,"in 140 m race , a covers the distance in 36 seconds and b in 45 seconds . in this race a beats b by :. Then answer it somehow from the given data.",otro,OTRO,0.50,physics
36001,"cost, carpeting, room, long, carpet. Numbers: 18, 75, 45, 81. What is it?",otro,OTRO,0.25,physics
873,"Read this situation and answer: A full moon occurs every 30 days. If the last full moon occurred on a Friday, how many, approximately, days will pass before a full moon occurs again on a Friday?",lcm,ELEMENTARY,0.75,mathematics
1485,"About cost, private, pilot, course, flight: The cost of a private pilot course is $1,275. The flight portion costs $625 more than the ground school portion. What is the cost of each?. Find the result from the information, although some parts are not explicit.",algebra,MIDDLE,0.50,mathematics
321,"-700 divided by 4 ... with 700, 4. The question is missing some details, answer it.",division,ELEMENTARY,0.25,mathematics
3402,"a person crosses a 1080 m long street in 12 minutes . what is, more or less, his speed in km per hour ?",otro,OTRO,0.75,physics
1173,All of the populations of species in an area make up a / region / niche / family / community. Then answer it somehow from the given data.,otro,ELEMENTARY,0.50,science
2363,"There is a problem about following, must, plant, animal, species; some numbers; not sure which part is needed, find the answer.",otro,ELEMENTARY,0.25,science
37243,"Based on the story, a train moves past a post and a platform 264 m long in 8 seconds and 20 seconds respectively . what is, more or less, the speed of the train ?",otro,OTRO,0.75,physics
22288,"in what time will a railway train 64 m long moving at the rate of 46 kmph pass a telegraph post on its way ?. There are numbers like 64, 46. Use them and decide the answer, but the exact operation is not clearly stated.",otro,OTRO,0.50,physics
58,"Using 24, 42 and the thing about square, mirror, exactly, half, thing, choose or calculate the answer.",geometry,ELEMENTARY,0.25,mathematics
37251,"Using the information given, nd the area of trapezium whose parallel sides are 20 cm and 18 cm long, and the distance between them is 14 cm ?",otro,OTRO,0.75,physics
17061,"jane and ashley take 10 days and 40 days respectively to complete a project when they work on it alone . they thought if they worked on the project together , they would take fewer days to complete it . during the period that they. Then answer it somehow from the given data.",otro,OTRO,0.50,physics
30909,"hour, boat, goes, along, stream. Numbers: one, 15, 9. What is it?",otro,OTRO,0.25,physics
389,"Read this situation and answer: miller street begins at baker street and runs directly east for 4.5 kilometers until it ends when it meets turner street . miller street is intersected every 250 meters by a perpendicular street, and each of those streets other than baker street and turner street is given a number beginning at 1 st street ( one block east of baker street ) and continuing consecutively ( 2 nd street, 3 rd street, etc . . . ) until the highest - numbered street one block west of turner street . what is, more or less, the highest - numbered street that intersects miller street ?",otro,OTRO,0.75,physics
154,"About worker, medical, studying, blood, samples: A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The. Find the result from the information, although some parts are not explicit.",addition-subtraction,ELEMENTARY,0.50,mathematics
23667,"if 15 workers can build a wall in 48 hours , how many workers will be required to do the s ... with 15, 48, 30. The question is missing some details, answer it.",otro,OTRO,0.25,physics
23255,"a train is running at a speed of 40 km / hr and it crosses a post in 18 seconds . what is, more or less, the length of the train ?",otro,OTRO,0.75,physics
221,"In this situation: After the aviary was the zoo's swamp area.. With 55, 10, 13, what should be calculated?",addition,ELEMENTARY,0.50,mathematics
2242,"There is a problem about building, needed, windows, builder, already; 14, 5, 4; not sure which part is needed, find the answer.",multiplication,ELEMENTARY,0.25,mathematics
67,"Based on the story, Using the information given, 37739*66015=",algebra,ELEMENTARY,0.75,mathematics
37286,"due to construction , the speed limit along an 5 - mile section of highway is reduced from 40 miles per hour to 22 miles per hour . approximately how many. There are numbers like 5, 40, 22. Use them and decide the answer, but the exact operation is not clearly stated.",otro,OTRO,0.50,physics
403,"Using 16, 77, 5, 23 and the thing about dave, apps, files, phone, deleting, choose or calculate the answer.",subtraction,ELEMENTARY,0.25,mathematics
11713,"Using the information given, 16 boys or 24 girls can construct the wall in 6 days . the number of days that 16 boys and 12 girls will take to construct ?",otro,OTRO,0.75,physics
763,"A paper bag can hold 16 cookies. If Edgar buys 292 cookies, how many paper bags does he need?. Then answer it somehow from the given data.",division,ELEMENTARY,0.50,mathematics
35100,"basket, contains, apples, spoiled, rest. Numbers: 7, 1, 2. What is it?",otro,OTRO,0.25,probability
32586,Read this situation and answer: a train travels 250 km in 2 hours and 350 km in 4 hours . try to find the average speed of train .,otro,OTRO,0.75,physics
10091,"About ways, people, arranged, circle: in how many ways can 5 people be arranged in a circle ?. Find the result from the information, although some parts are not explicit.",otro,OTRO,0.50,probability
147,"the dimensions of a room are 25 feet * 15 feet * 12 feet . ... with 25, 15, 12, four, 5. The question is missing some details, answer it.",geometry,ELEMENTARY,0.25,mathematics
35941,"Using the information given, how long does a train 130 m long running at the speed of 65 km / hr takes to cross a bridge 150 m length ?",otro,OTRO,0.75,physics
130,What characteristic of carbon [C] makes it essential to living organisms? / Carbon forms crystal structures under certain conditions. / Carbon can. Then answer it somehow from the given data.,otro,MIDDLE,0.50,science
6126,"There is a problem about fast, song, beats, minute, slow; 160, 90, 1020; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
1029,"Based on the story, Which option seems to be of these are the deepest parts of the ocean? (A) Continental shelves (B) Continental slopes (C) Ocean trenches (D) Abyssal plains",otro,ELEMENTARY,0.75,science
31407,"the perimeter of a semi circle is 122 cm then the radius is ?. There are numbers like 122. Use them and decide the answer, but the exact operation is not clearly stated.",otro,OTRO,0.50,physics
24034,"Using 230, 120, 80, 9 and the thing about metres, long, train, running, speed, choose or calculate the answer.",otro,OTRO,0.25,physics
9770,"the radius of a wheel is 22 .4 cm . what is, more or less, the distance covered by the wheel in making 300 resolutions .",otro,OTRO,0.75,physics
354,"Fred has 5 yellow balloons , Sam has 6 yellow balloons , and Mary has 7 yellow balloons .. Then answer it somehow from the given data.",addition-subtraction,ELEMENTARY,0.50,mathematics
6210,"maxwell, leaves, home, walks, toward. Numbers: 50, 4, 6. What is it?",otro,OTRO,0.25,physics
26244,"Read this situation and answer: how many, approximately, bricks, each measuring 80 cm x 11.25 cm x 6 cm, will be needed to build a wall of 8 m x 6 m x 22.5 cm ?",otro,OTRO,0.75,physics
4060,"About clock, shows, time, minute, hand: a clock shows the time as 7 a . m . if the minute hand gains 5 minutes every hour , how many minutes will the clock gain by 6 p . m . ?. Find the result from the information, although some parts are not explicit.",otro,OTRO,0.50,physics
2,"Paco had 26 salty cookies and 17 sweet cookies. ... with 26, 17, 14, 9. The question is missing some details, answer it.",subtraction,ELEMENTARY,0.25,mathematics
1145,"what is, more or less, the area of a square field whose diagonal of length 10 m ?",geometry,ELEMENTARY,0.75,mathematics
1822,"In this situation: Adam was reading through his favorite book series.. With 5, 8, what should be calculated?",addition,ELEMENTARY,0.50,mathematics
18366,"There is a problem about three, consecutive, integers, find, lowest; three, 102; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
379,"Based on the story, Rachel had to complete 5 pages of math homework and 2 pages of reading homework. How many, approximately, more pages of math homework than reading homework did she have?",subtraction,ELEMENTARY,0.75,mathematics
22375,"a car started running at a speed of 30 km / hr and the speed of the car was increased by 2 km / hr at the end of. There are numbers like 30, 2, 12. Use them and decide the answer, but the exact operation is not clearly stated.",otro,OTRO,0.50,physics
2233,"Using five and the thing about student, decided, investigate, whether, number, choose or calculate the answer.",otro,ELEMENTARY,0.25,science
1994,"What is, more or less, the role of the kidneys in the excretory system? (A) to digest food (B) to remove toxins (C) to produce bile (D) to oxygenate blood",otro,MIDDLE,0.75,science
13117,a train 240 m in length crosses a telegraph post in 16 seconds . the speed of the train is ?. Then answer it somehow from the given data.,otro,OTRO,0.50,physics
21177,"radius, wheel, speed, revolutions, minutes. Numbers: 250, 66. What is it?",otro,OTRO,0.25,physics
24952,"Read this situation and answer: Using the information given, two trains of equal length, running with the speeds of 50 and 40 kmph, take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?",otro,OTRO,0.75,physics
9903,"About goods, trains, long, running, opposite: two goods trains each 500 m long are running in opposite directions on parallel tracks . their speeds are 90 km / hr and. Find the result from the information, although some parts are not explicit.",otro,OTRO,0.50,physics
8672,"pipes a and b can fill a tank in 6 and 4 hours . ... with 6, 4, 12. The question is missing some details, answer it.",otro,OTRO,0.25,physics
1778,"Using the information given, Research has shown that specialization of stem cells into specific cell types results, in part, from cell shape. What provides a specialized cell with its shape (A) number of mitochondria (B) presence of a nucleus (C) structure of the cytoskeleton (D) salt concentration of cytoplasm ?",otro,HIGH,0.75,science
552,"In this situation: 2 children were riding on the bus.. With 2, 10, what should be calculated?",subtraction,ELEMENTARY,0.50,mathematics
32140,"There is a problem about tabby, training, triathlon, swims, speed; 1, 8, two; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
36290,"Based on the story, Using the information given, a and b can do a work in 4 hours and 12 hours respectively . a starts the work at 6 am and they work alternately for one hour each . when will the work be completed ?",otro,OTRO,0.75,physics
245,"About energy, transferred, electrical, circuit, through: Energy is transferred in an electrical circuit through / static protons. / moving protons. / static electrons. / moving electrons.. Find the result from the information, although some parts are not explicit.",otro,MIDDLE,0.50,science
37459,"Using 4 and the thing about take, twice, time, thrice, finish, choose or calculate the answer.",otro,OTRO,0.25,physics
2403,"the radius of a wheel is 22 .5 cm . what is, more or less, the distance covered by the wheel in making 500 resolutions ?",otro,OTRO,0.75,physics
22470,"a train consists of 12 boggies , each boggy 15 metres long . the train crosses a telegraph post in 18 seconds. Then answer it somehow from the given data.",otro,OTRO,0.50,physics
7722,"travelling, kmph, person, reaches, destination. Numbers: 60, two, one. What is it?",otro,OTRO,0.25,physics
1419,"Read this situation and answer: the length of the rectangular field is double its width . inside the field there is square shaped pond 9 m long . if the area of the pond is 1 / 8 of the area of the field . what is, more or less, the length of the field ?",geometry,ELEMENTARY,0.75,mathematics
13805,"About goods, trains, long, running, opposite: two goods trains each 750 m long are running in opposite directions on parallel tracks . their speeds are 45 km / hr and. Find the result from the information, although some parts are not explicit.",otro,OTRO,0.50,physics
840,"At a restaurant each adult meal costs $7 and kids eat free. ... with 7, 13, 9. The question is missing some details, answer it.",algebra,ELEMENTARY,0.25,mathematics
14106,"at a certain bowling alley, it costs $ 0.50 to rent bowling shoes for the day and $ 1.75 to bowl 1 game . if a person has $ 12.80 and must rent shoes, what is, more or less, the greatest number of complete games that person can bowl in one day ?",otro,OTRO,0.75,physics
30027,"In this situation: a train requires 10 seconds to pass a pole while it requires 30 seconds to cross a stationary train which is 600 mtrs long .. With 10, 30, 600, what should be calculated?",otro,OTRO,0.50,physics
18399,"There is a problem about train, long, running, speed, time; 360, 45, 240; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
6088,"Based on the story, the amounts of time that three secretaries worked on a special project are in the ratio of 1 to 2 to 5 . if they worked a combined total of 128 hours, how many, approximately, hours did the secretary who worked the longest spend on the project ?",otro,OTRO,0.75,physics
2247,"the pinedale bus line travels at an average speed of 60 km / h , and has stops every 5 minutes along its route . yahya wants to go from his house. There are numbers like 60, 5, 8. Use them and decide the answer, but the exact operation is not clearly stated.",otro,OTRO,0.50,physics
3758,"Using 2, 1 / 5, 12, 15 and the thing about costs, first, hour, laundry, machine, choose or calculate the answer.",otro,OTRO,0.25,physics
1851,"A baker sold twelve cakes . Now he has three cakes . How many, approximately, cakes did the baker have to start with?",addition,ELEMENTARY,0.75,mathematics
33452,two pipes a and b can fill a tank in 24 hours and 36 hours respectively . if both the. Then answer it somehow from the given data.,otro,OTRO,0.50,physics
30036,"provisions, days, join, them, will. Numbers: 1000, 20, 650. What is it?",otro,OTRO,0.25,physics
11673,"Read this situation and answer: Using the information given, a boat having a length 3 m and breadth 2 m is floating on a lake . the boat sinks by 1 cm when a man gets on it . the mass of man is",otro,OTRO,0.75,physics
710,"About jack, received, emails, morning, some: Jack received a total of 9 emails in the day. If he received 7 emails in the morning and. Find the result from the information, although some parts are not explicit.",subtraction,ELEMENTARY,0.50,mathematics
1629,"Josh had 22 marbles in his collection. ... with 22, 20. The question is missing some details, answer it.",challenge,ELEMENTARY,0.25,mathematics
12427,"Using the information given, a is thrice as good a work man as b and together they finish a piece of work in 12 days . the number of days taken by a alone to finish the work is ?",otro,OTRO,0.75,physics
1814,"In this situation: For 19 weeks of harvest Lewis earns a total of $ 133.. With 19, 133, what should be calculated?",challenge,ELEMENTARY,0.50,mathematics
36437,"There is a problem about travelling, kmph, person, reaches, destination; 40, two, one; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
170,"Based on the story, Using the information given, During a walk in the woods, Mandy finds a plant structure that had fallen onto the trail. Mandy can tell the object contained seeds, and thinks it came from a flowering plant instead of a conifer. How can she determine if the object came from a flowering plant? (A) by looking for seed coats on the seeds (B) by looking for wing-like structures on the seeds (C) by looking for fruit tissue around the seeds (D) by looking for young sporophytes inside the seeds",otro,MIDDLE,0.75,science
269,"Nell collects cards. She had 246 baseball cards and 214 Ace cards. She gave some of her cards to Jeff and now has 404. There are numbers like 246, 214, 404, 495. Use them and decide the answer, but the exact operation is not clearly stated.",subtraction,ELEMENTARY,0.50,mathematics
6990,"Using 8, 12, 15, 2, 3 and the thing about abel, complete, work, days, carla, choose or calculate the answer.",otro,OTRO,0.25,physics
23563,"Using the information given, 16 boys or 24 girls can construct the wall in 6 days . the number of days that 4 boys and 12 girls will take to construct ?",otro,OTRO,0.75,physics
3640,"a train crosses a platform of 200 m in 15 sec , same train crosses another platform of length 300 m in 20 sec . then find the length of the train ?. Then answer it somehow from the given data.",otro,OTRO,0.50,physics
30199,"calculate, days, will, take, boys. Numbers: 5, 30, 2, 20, 3. What is it?",otro,OTRO,0.25,physics
1074,"Read this situation and answer: Using the information given, The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?",challenge,ELEMENTARY,0.75,mathematics
17405,"About trader, sells, meters, cloth, profit: a trader sells 20 meters of cloth for rs . 4500 at the profit of rs . 10 per metre of cloth . what is the cost price of one metre of cloth ?. Find the result from the information, although some parts are not explicit.",otro,OTRO,0.50,physics
2294,"The nucleus contains DNA. ... with some numbers. The question is missing some details, answer it.",otro,HIGH,0.25,science
136,"susan drives from city a to city b . after two hours of driving she noticed that she covered 80 km and calculated that, if she continued driving at the same speed, she would end up been 15 minutes late . so she increased her speed by 10 km / hr and she arrived at city b 36 minutes earlier than she planned . try to find the distance between cities a and b . ?",otro,OTRO,0.75,physics
7604,"In this situation: a swimmer can swim in still water at 4 km / h .. With 4, 2, 8, what should be calculated?",otro,OTRO,0.50,physics
203,"There is a problem about treehouse, almost, done, they, need; 20, 15, 34; not sure which part is needed, find the answer.",addition,ELEMENTARY,0.25,mathematics
1093,"Based on the story, the slant height of a cone is 20 cm and radius of the base is 10 cm, try to find the curved surface of the cone .",geometry,ELEMENTARY,0.75,mathematics
1039,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3. There are numbers like 9, 3, 33. Use them and decide the answer, but the exact operation is not clearly stated.",challenge,ELEMENTARY,0.50,mathematics
15736,"Using 18, 30, 1, 45 and the thing about machine, working, constant, rate, manufactures, choose or calculate the answer.",otro,OTRO,0.25,physics
446,"Brenda's mother made cookies for guests . Each guest had 2 cookies . If she prepared a total of 10 cookies How many, approximately, guests did she prepare cookies for?",division,ELEMENTARY,0.75,mathematics
781,"how many differently shaped triangles exist in which no two sides are of the same length , each side. Then answer it somehow from the given data.",geometry,ELEMENTARY,0.50,mathematics
335,"joan, found, seashells, starfishes, beach. Numbers: 72, 12, 28. What is it?",addition-subtraction,ELEMENTARY,0.25,mathematics
1531,"Read this situation and answer: Each side of a square piece of sheet metal is 7 meters long. What is, more or less, the sheet metal's perimeter?",geometry,ELEMENTARY,0.75,mathematics
32353,"About boat, having, length, breadth, floating: a boat having a length 3 m and breadth 2 m is floating on a lake . the boat sinks by 1.8 cm when a man gets on it . the mass of man is. Find the result from the information, although some parts are not explicit.",otro,OTRO,0.50,physics
22749,"working at constant rate , pump x pumped out half of the water in a flooded basement in 7 ... with 7, two, 3. The question is missing some details, answer it.",otro,OTRO,0.25,physics
1691,"Using the information given, The sum of all chemical reactions that take place within an organism is known as (1) evolution (2) metabolism (3) circulation (4) reproduction ?",otro,MIDDLE,0.75,science
840,"In this situation: There are three clocks in a shop.. With three, 5, 10, 15, what should be calculated?",addition,ELEMENTARY,0.50,mathematics
12735,"There is a problem about machines, work, days, needed, complete; 8, 10, 40; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
15653,"Based on the story, if a is thrice as fast as b and together can do a work in 12 days . in how many, approximately, days a alone can do the work ?",otro,OTRO,0.75,physics
67,"About student, suggests, school, board, they: A student suggests to the school board that they use a renewable energy source. The student suggests they use / coal. / wind. / wood. / natural gas.. Find the result from the information, although some parts are not explicit.",otro,ELEMENTARY,0.50,science
16882,"Using two, one and the thing about letters, word, khantkar, selected, random, choose or calculate the answer.",otro,OTRO,0.25,probability
1021,"Using the information given, Richard and Bruno played miniature golf . Richard's score was 62 . Bruno's score was 14 points lower than Richard's score . What was Bruno's score?",subtraction,ELEMENTARY,0.75,mathematics
1248,Rachel had to complete 10 pages of math homework. If she had to complete 3 more pages of. Then answer it somehow from the given data.,challenge,ELEMENTARY,0.50,mathematics
25382,"there, food, days, join, last. Numbers: 760, 22, two, 4. What is it?",otro,OTRO,0.25,physics
25440,"Read this situation and answer: a can do a work in 24 days and b can do it in 8 days . in how many, approximately, days a and b can do the work ?",otro,OTRO,0.75,physics
1522,"About height, triangle, decreased, base, increased: the height of a triangle is decreased by 5 % and its base increased by 10 % . its area will. Find the result from the information, although some parts are not explicit.",geometry,ELEMENTARY,0.50,mathematics
1448,"One number is half the other. ... with One, two, 6. The question is missing some details, answer it.",algebra,MIDDLE,0.25,mathematics
635,"Using the information given, Katie was selling her necklaces at a garage sale. She sold 4 bead necklaces and 3 gem stone necklaces. If each necklace cost 3 dollars, how much money did she earn ?",algebra,ELEMENTARY,0.75,mathematics
19354,"In this situation: two trains 120 m and 190 m long run at the speed of 60 km / hr and 40 km / hr respectively in opposite directions on parallel tracks .. With two, 120, 190, 60, what should be calculated?",otro,OTRO,0.50,physics
14499,"There is a problem about train, metres, long, moving, speed; 390, 25, 2; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
34554,"Based on the story, if an object travels 200 feet in 4 seconds, what is, more or less, the object ' s approximate speed in miles per hour ? ( note 1 mile = 5280 feet )",otro,OTRO,0.75,physics
469,"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can. There are numbers like 8, 56. Use them and decide the answer, but the exact operation is not clearly stated.",division,ELEMENTARY,0.50,mathematics
939,"Using 47, 27, 4 and the thing about cafeteria, apples, lunch, they, handed, choose or calculate the answer.",algebra,ELEMENTARY,0.25,mathematics
1915,"Which option seems to be environment would most likely have rich, fertile soil? (A) a desert plain (B) a coastal beach (C) a mountain peak (D) a flood plain",otro,MIDDLE,0.75,science
1990,Paige was helping her mom plant flowers and together they planted 36 seeds. They put 12 seeds in each flower. Then answer it somehow from the given data.,challenge,ELEMENTARY,0.50,mathematics
1467,"defined, passage, genetic, instructions, generation. Numbers: one. What is it?",otro,MIDDLE,0.25,science
