,pregunta,skill,level,claridad,signature
389,"miller street begins at baker street and runs directly east for 4.5 kilometers until it ends when it meets turner street . miller street is intersected every 250 meters by a perpendicular street , and each of those streets other than baker street and turner street is given a number beginning at 1 st street ( one block east of baker street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of turner street . what is the highest - numbered street that intersects miller street ?",otro,OTRO,1,physics
154,A worker at a medical lab is studying blood samples . 2 samples contained a total of 7341 blood cells . The first sample contained 4221 blood cells . How many blood cells were in the second sample ? ,addition-subtraction,ELEMENTARY,1,mathematics
23667,"if 15 workers can build a wall in 48 hours , how many workers will be required to do the same work in 30 hours ?",otro,OTRO,1,physics
23255,a train is running at a speed of 40 km / hr and it crosses a post in 18 seconds . what is the length of the train ?,otro,OTRO,1,physics
221,"After the aviary was the zoo's swamp area. Penny counted a total of 55 tree frogs, 10 poison frogs and 13 wood frogs.
How many frogs was Penny able to count?",addition,ELEMENTARY,1,mathematics
2242,"A new building needed 14 windows. The builder had already installed 5 of them. If it takes 4 hours to install each window,
how long will it take him to install the rest?",multiplication,ELEMENTARY,1,mathematics
67,37739*66015=,algebra,ELEMENTARY,1,mathematics
37286,"due to construction , the speed limit along an 5 - mile section of highway is reduced from 40 miles per hour to 22 miles per hour . approximately how many minutes more will it take to travel along this section of highway at the new speed limit than it would have taken at the old speed limit ?",otro,OTRO,1,physics
403,"Dave had 16 apps and 77 files on his phone. After deleting some apps and files he had 5 apps and 23 files left.
How many apps did he delete?",subtraction,ELEMENTARY,1,mathematics
11713,16 boys or 24 girls can construct the wall in 6 days . the number of days that 16 boys and 12 girls will take to construct ?,otro,OTRO,1,physics
763,"A paper bag can hold 16 cookies. If Edgar buys 292 cookies,
how many paper bags does he need?",division,ELEMENTARY,1,mathematics
35100,"a basket contains 7 apples , of which 1 is spoiled and the rest are good . if we select 2 apples from the basket simultaneously and at random , what is the probability that the 2 apples selected will include the spoiled apple ?",otro,OTRO,1,probability
32586,a train travels 250 km in 2 hours and 350 km in 4 hours . find the average speed of train .,otro,OTRO,1,physics
10091,in how many ways can 5 people be arranged in a circle ?,otro,OTRO,1,probability
147,the dimensions of a room are 25 feet * 15 feet * 12 feet . what is the cost of white washing the four walls of the room at rs . 5 per square feet if there is one door of dimensions 6 feet * 3 feet and three windows of dimensions 4 feet * 3 feet each ?,geometry,ELEMENTARY,1,mathematics
35941,how long does a train 130 m long running at the speed of 65 km / hr takes to cross a bridge 150 m length ?,otro,OTRO,1,physics
130,"What characteristic of carbon [C] makes it essential to living organisms? (A) Carbon forms crystal structures under certain conditions. (B) Carbon can exist as a solid, liquid, or gas. (C) Carbon bonds in many ways with itself to form chains. (D) Carbon exists in radioactive forms.",otro,MIDDLE,1,science
6126,"if a fast song has 160 beats per minute , and a slow song has 90 beats per minute , how many minutes total would you play a fast and a slow song to have a stream of music that had a total of 1020 beats ?",otro,OTRO,1,physics
1029,Which of these are the deepest parts of the ocean? (A) Continental shelves (B) Continental slopes (C) Ocean trenches (D) Abyssal plains,otro,ELEMENTARY,1,science
31407,the perimeter of a semi circle is 122 cm then the radius is ?,otro,OTRO,1,physics
24034,a 230 metres long train running at the speed of 120 kmph crosses another train running in opposite direction at the speed of 80 kmph in 9 seconds . what is the length of the other train ?,otro,OTRO,1,physics
9770,the radius of a wheel is 22.4 cm . what is the distance covered by the wheel in making 300 resolutions .,otro,OTRO,1,physics
354,"Fred has 5 yellow balloons , Sam has 6 yellow balloons , and Mary has 7 yellow balloons . The balloons cost 5 dollars . How many yellow balloons do they have in total ? ",addition-subtraction,ELEMENTARY,1,mathematics
6210,"maxwell leaves his home and walks toward brad ' s house at the same time that brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is 50 kilometers , maxwell ' s walking speed is 4 km / h , and brad ' s running speed is 6 km / h , what is the distance traveled by brad ?",otro,OTRO,1,physics
26244,"how many bricks , each measuring 80 cm x 11.25 cm x 6 cm , will be needed to build a wall of 8 m x 6 m x 22.5 cm ?",otro,OTRO,1,physics
4060,"a clock shows the time as 7 a . m . if the minute hand gains 5 minutes every hour , how many minutes will the clock gain by 6 p . m . ?",otro,OTRO,1,physics
2,"Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies.
How many salty cookies did Paco have left?",subtraction,ELEMENTARY,1,mathematics
1145,what is the area of a square field whose diagonal of length 10 m ?,geometry,ELEMENTARY,1,mathematics
1822,"Adam was reading through his favorite book series. The first week he read 5 different books. The next week he read 8 books.
How many books did he read total?",addition,ELEMENTARY,1,mathematics
18366,the sum of three consecutive integers is 102 . find the lowest of the three ?,otro,OTRO,1,physics
379,"Rachel had to complete 5 pages of math homework and 2 pages of reading homework.
How many more pages of math homework than reading homework did she have?",subtraction,ELEMENTARY,1,mathematics
22375,a car started running at a speed of 30 km / hr and the speed of the car was increased by 2 km / hr at the end of every hour . find the total distance covered by the car in the first 12 hours of the journey .,otro,OTRO,1,physics
2233,A student has decided to investigate whether the number of flowers on a plant will increase if the water supply to the plant is increased. She has five pots of geranium plants to use in her experiment. What factor in the experiment should be varied for the five plants in order to answer the student's question? (A) age of seedlings (B) temperature of water (C) volume of water (D) number of hours in sunlight,otro,ELEMENTARY,1,science
1994,What is the role of the kidneys in the excretory system? (A) to digest food (B) to remove toxins (C) to produce bile (D) to oxygenate blood,otro,MIDDLE,1,science
13117,a train 240 m in length crosses a telegraph post in 16 seconds . the speed of the train is ?,otro,OTRO,1,physics
21177,"the radius of the wheel of a bus is 250 cms and the speed of the bus is 66 km / h , then the r . p . m . ( revolutions per minutes ) of the wheel is",otro,OTRO,1,physics
24952,"two trains of equal length , running with the speeds of 50 and 40 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?",otro,OTRO,1,physics
9903,two goods trains each 500 m long are running in opposite directions on parallel tracks . their speeds are 90 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,otro,OTRO,1,physics
8672,"pipes a and b can fill a tank in 6 and 4 hours . pipe c can empty it in 12 hours . if all pipes are opened together , then the tank will be filled in ?",otro,OTRO,1,physics
1778,"Research has shown that specialization of stem cells into specific cell types results, in part, from cell shape. What provides a specialized cell with its shape? (A) number of mitochondria (B) presence of a nucleus (C) structure of the cytoskeleton (D) salt concentration of cytoplasm",otro,HIGH,1,science
552,"2 children were riding on the bus. At the bus stop some more children got on the bus. Then there were 10 children altogether on the bus.
How many more children are on the bus now than there were before the bus stop?",subtraction,ELEMENTARY,1,mathematics
32140,tabby is training for a triathlon . she swims at a speed of 1 mile per hour . she runs at a speed of 8 miles per hour . she wants to figure out her average speed for these two events . what is the correct answer for her ?,otro,OTRO,1,physics
36290,a and b can do a work in 4 hours and 12 hours respectively . a starts the work at 6 am and they work alternately for one hour each . when will the work be completed ?,otro,OTRO,1,physics
245,Energy is transferred in an electrical circuit through (A) static protons. (B) moving protons. (C) static electrons. (D) moving electrons.,otro,MIDDLE,1,science
37459,"a take twice as much time as b or thrice as much time to finish a piece of work . working together , they can finish the work in 4 days . b can do the work alone in ?",otro,OTRO,1,physics
2403,the radius of a wheel is 22.5 cm . what is the distance covered by the wheel in making 500 resolutions ?,otro,OTRO,1,physics
22470,"a train consists of 12 boggies , each boggy 15 metres long . the train crosses a telegraph post in 18 seconds . due to some problem , one boggies were detached . the train now crosses a telegraph post in",otro,OTRO,1,physics
7722,"by travelling at 60 kmph , a person reaches his destination on time . he covered two - third the total distance in one - third of the total time . what speed should he maintain for the remaining distance to reach his destination on time ?",otro,OTRO,1,physics
1419,the length of the rectangular field is double its width . inside the field there is square shaped pond 9 m long . if the area of the pond is 1 / 8 of the area of the field . what is the length of the field ?,geometry,ELEMENTARY,1,mathematics
13805,two goods trains each 750 m long are running in opposite directions on parallel tracks . their speeds are 45 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,otro,OTRO,1,physics
840," At a restaurant each adult meal costs $7 and kids eat free. If a group of 13 people came in and 9 were kids, how much would it cost for the group to eat? ",algebra,ELEMENTARY,1,mathematics
14106,"at a certain bowling alley , it costs $ 0.50 to rent bowling shoes for the day and $ 1.75 to bowl 1 game . if a person has $ 12.80 and must rent shoes , what is the greatest number of complete games that person can bowl in one day ?",otro,OTRO,1,physics
30027,a train requires 10 seconds to pass a pole while it requires 30 seconds to cross a stationary train which is 600 mtrs long . find the speed of the train .,otro,OTRO,1,physics
18399,a train 360 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 240 m long ?,otro,OTRO,1,physics
6088,"the amounts of time that three secretaries worked on a special project are in the ratio of 1 to 2 to 5 . if they worked a combined total of 128 hours , how many hours did the secretary who worked the longest spend on the project ?",otro,OTRO,1,physics
2247,"the pinedale bus line travels at an average speed of 60 km / h , and has stops every 5 minutes along its route . yahya wants to go from his house to the pinedale mall , which is 8 stops away . how far away , in kilometers , is pinedale mall away from yahya ' s house ?",otro,OTRO,1,physics
3758,"it costs $ 2 for the first 1 / 5 hour to use the laundry machine at the laundromat . after the first ¼ hour it costs $ 12 per hour . if a certain customer uses the laundry machine for 2 hours and 15 minutes , how much will it cost him ?",otro,OTRO,1,physics
1851,"A baker sold twelve cakes. Now he has three cakes.
How many cakes did the baker have to start with? ",addition,ELEMENTARY,1,mathematics
33452,"two pipes a and b can fill a tank in 24 hours and 36 hours respectively . if both the pipes are opened simultaneously , how much time will be taken to fill the tank ?",otro,OTRO,1,physics
30036,"1000 men have provisions for 20 days . if 650 more men join them , for how many days will the provisions last now ?",otro,OTRO,1,physics
11673,a boat having a length 3 m and breadth 2 m is floating on a lake . the boat sinks by 1 cm when a man gets on it . the mass of man is :,otro,OTRO,1,physics
710,"Jack received a total of 9 emails in the day. If he received 7 emails in the morning and some more in the afternoon
How many emails did Jack receive in the afternoon?",subtraction,ELEMENTARY,1,mathematics
1629,Josh had 22 marbles in his collection. Jack gave him 20 marbles. How many marbles does Josh have now?,challenge,ELEMENTARY,1,mathematics
12427,a is thrice as good a work man as b and together they finish a piece of work in 12 days . the number of days taken by a alone to finish the work is :,otro,OTRO,1,physics
1814,For 19 weeks of harvest Lewis earns a total of $ 133. How much money does he earn each week?,challenge,ELEMENTARY,1,mathematics
36437,"by travelling at 40 kmph , a person reaches his destination on time . he covered two - third the total distance in one - third of the total time . what speed should he maintain for the remaining distance to reach his destination on time ?",otro,OTRO,1,physics
170,"During a walk in the woods, Mandy finds a plant structure that had fallen onto the trail. Mandy can tell the object contained seeds, and thinks it came from a flowering plant instead of a conifer. How can she determine if the object came from a flowering plant? (A) by looking for seed coats on the seeds (B) by looking for wing-like structures on the seeds (C) by looking for fruit tissue around the seeds (D) by looking for young sporophytes inside the seeds",otro,MIDDLE,1,science
269,"Nell collects cards. She had 246 baseball cards and 214 Ace cards. She gave some of her cards to Jeff and now has 404 baseball cards and 495 Ace cards left.
How many more Ace cards than baseball cards does Nell have?",subtraction,ELEMENTARY,1,mathematics
6990,"abel can complete a work in 8 days , ben in 12 days and carla in 15 days . all of them began the work together , but abel had to leave after 2 days and ben 3 days before the completion of the work . how long did the work last ?",otro,OTRO,1,physics
23563,16 boys or 24 girls can construct the wall in 6 days . the number of days that 4 boys and 12 girls will take to construct ?,otro,OTRO,1,physics
3640,"a train crosses a platform of 200 m in 15 sec , same train crosses another platform of length 300 m in 20 sec . then find the length of the train ?",otro,OTRO,1,physics
30199,"calculate how many days it will take for 5 boys to paint a 30 m long fence if 2 boys can paint a 20 m long fence in 3 days ,",otro,OTRO,1,physics
1074,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?,challenge,ELEMENTARY,1,mathematics
17405,a trader sells 20 meters of cloth for rs . 4500 at the profit of rs . 10 per metre of cloth . what is the cost price of one metre of cloth ?,otro,OTRO,1,physics
2294,The nucleus contains DNA. Which statement best describes how DNA controls the working of the cell? (A) It codes for proteins. (B) It inhibits division of cells. (C) It helps in energy transformation. (D) It regulates traffic in and out of the cell.,otro,HIGH,1,science
136,"susan drives from city a to city b . after two hours of driving she noticed that she covered 80 km and calculated that , if she continued driving at the same speed , she would end up been 15 minutes late . so she increased her speed by 10 km / hr and she arrived at city b 36 minutes earlier than she planned . find the distance between cities a and b .",otro,OTRO,1,physics
7604,"a swimmer can swim in still water at 4 km / h . if the speed of the water current is 2 km / h , how many hours will the swimmer take to swim against the current for 8 km ?",otro,OTRO,1,physics
203,"The treehouse is almost done; all they need is to paint it. His father estimated that they will use 20 ounces of white paint, 15 ounces of green paint and 34 ounces of brown paint.
How many ounces of paint would they buy in total?",addition,ELEMENTARY,1,mathematics
1093,"the slant height of a cone is 20 cm and radius of the base is 10 cm , find the curved surface of the cone .",geometry,ELEMENTARY,1,mathematics
1039,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump?",challenge,ELEMENTARY,1,mathematics
15736,"a machine , working at a constant rate , manufactures 18 pens in 30 minutes . how many pens does it make in 1 hr 45 min ?",otro,OTRO,1,physics
446,"Brenda's mother made cookies for guests. Each guest had 2 cookies. If she prepared a total of 10 cookies
How many guests did she prepare cookies for?",division,ELEMENTARY,1,mathematics
781,"how many differently shaped triangles exist in which no two sides are of the same length , each side is of integral unit length and the perimeter of the triangle is less than 14 units ?",geometry,ELEMENTARY,1,mathematics
335,Joan found 72 seashells and 12 starfishes on the beach . She gave Alyssa some of her seashells . She has 28 seashell . How many seashells did she give to Alyssa ? ,addition-subtraction,ELEMENTARY,1,mathematics
1531,"Each side of a square piece of sheet metal is 7 meters long.
What is the sheet metal's perimeter?",geometry,ELEMENTARY,1,mathematics
32353,a boat having a length 3 m and breadth 2 m is floating on a lake . the boat sinks by 1.8 cm when a man gets on it . the mass of man is,otro,OTRO,1,physics
22749,"working at constant rate , pump x pumped out half of the water in a flooded basement in 7 hours . the pump y was started and the two pumps , working independently at their respective constant rates , pumped out rest of the water in 3 hours . how many hours would it have taken pump y , operating alone at its own constant rate , to pump out all of the water that was pumped out of the basement ?",otro,OTRO,1,physics
1691,The sum of all chemical reactions that take place within an organism is known as (1) evolution (2) metabolism (3) circulation (4) reproduction,otro,MIDDLE,1,science
840,"There are three clocks in a shop. The first clock chimes every 5 minutes, the second clock chimes every 10 minutes and the last clock chimes every 15 minutes. If the last time the three clocks chime together was at 19:43,
at what time will the three clocks chime together again?",addition,ELEMENTARY,1,mathematics
12735,8 machines can do a work in 10 days . how many machines are needed to complete the work in 40 days ?,otro,OTRO,1,physics
15653,if a is thrice as fast as b and together can do a work in 12 days . in how many days a alone can do the work ?,otro,OTRO,1,physics
67,A student suggests to the school board that they use a renewable energy source. The student suggests they use (A) coal. (B) wind. (C) wood. (D) natural gas.,otro,ELEMENTARY,1,science
16882,two letters from the word khantkar are selected at random . what is the probability that at least one of the selected letters is a consonant ?,otro,OTRO,1,probability
1021,"Richard and Bruno played miniature golf. Richard's score was 62. Bruno's score was 14 points lower than Richard's score.
What was Bruno's score?",subtraction,ELEMENTARY,1,mathematics
1248,Rachel had to complete 10 pages of math homework. If she had to complete 3 more pages of reading homework than math homework How many pages did she have to complete in all?,challenge,ELEMENTARY,1,mathematics
25382,there is food for 760 men for 22 days . how many more men should join after two days so that the same food may last for 4 days more ?,otro,OTRO,1,physics
25440,a can do a work in 24 days and b can do it in 8 days . in how many days a and b can do the work ?,otro,OTRO,1,physics
1522,the height of a triangle is decreased by 5 % and its base increased by 10 % . its area will,geometry,ELEMENTARY,1,mathematics
1448,"One number is half the other. Sum of two numbers is equal to 6.
Find the numbers.",algebra,MIDDLE,1,mathematics
635," Katie was selling her necklaces at a garage sale. She sold 4 bead necklaces and 3 gem stone necklaces. If each necklace cost 3 dollars, how much money did she earn? ",algebra,ELEMENTARY,1,mathematics
19354,two trains 120 m and 190 m long run at the speed of 60 km / hr and 40 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,otro,OTRO,1,physics
14499,a train 390 metres long is moving at a speed of 25 kmph . it will cross a man coming from the opposite direction at a speed of 2 km per hour in :,otro,OTRO,1,physics
34554,"if an object travels 200 feet in 4 seconds , what is the object ' s approximate speed in miles per hour ? ( note : 1 mile = 5280 feet )",otro,OTRO,1,physics
469,"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If 56 wood carvings were displayed,
how many shelves were filled with carvings?",division,ELEMENTARY,1,mathematics
939," The cafeteria had 47 apples. For lunch they handed out 27 to students and decided to use the rest to make pies. If each pie takes 4 apples, how many pies could they make? ",algebra,ELEMENTARY,1,mathematics
1915,"Which environment would most likely have rich, fertile soil? (A) a desert plain (B) a coastal beach (C) a mountain peak (D) a flood plain",otro,MIDDLE,1,science
1990,Paige was helping her mom plant flowers and together they planted 36 seeds. They put 12 seeds in each flower bed and only 58 seeds grew into flowers in each flower bed. How many flower beds did they have?,challenge,ELEMENTARY,1,mathematics
1467,"Which of these is defined as ""the passage of genetic instructions from one generation to the next?"" (A) growth (B) heredity (C) development (D) reproduction",otro,MIDDLE,1,science
8134,a train 110 m long is running with a speed of 30 km / h . in how many seconds will the train pass a man who is running at 3 km / h in the direction opposite to that in which the train is going ?,otro,OTRO,1,physics
