,prompt,response_1,response_2,response_3,response_4
12,"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","system
What is the greatest common factor of 18 and 24 that you can use to divide both numbers equally among three groups?","system
What is the greatest common factor of the notes C, D, E, and F?","system
What is the greatest common factor of 24 and 36 that could be used to divide both numbers evenly in a musical rhythm pattern?","system
What is the greatest common factor of the beat lengths of two songs: 12 beats per measure and 18 beats per measure?"
13,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
At the animal shelter, there are 4 puppies and 3 kittens available for adoption. If each puppy is adopted at $50 and each kitten is adopted at $25, how much money will be raised if all pets are adopted?","system
At the animal shelter, there are 5 puppies waiting to be adopted. If each puppy needs 3 hours of care per day, how many total hours will all the puppies need together over 2 days?","system
At the animal shelter, there are 3 groups of cats: Group A has 4 cats, Group B has 5 cats, and Group C has 6 cats. If each cat from Group A is adopted, how many cats will be left in total?","system
At the animal shelter, there are 3 cages arranged in a row. Each cage can hold 4 dogs. If 2 more dogs join the shelter, how many dogs will be in total?"
14,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","system
What two types of fruits can you find at most varieties in a typical fruit shop?","system
What color is the apple and what kind of fruit is it?","system
What color is an apple and what type of fruit is it?","system
What color is an apple and what does it taste like?"
15,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","user
What is the total number of shells you collected if you found 23 starfish and then lost 17 shells while packing them?","user
At the beach, Sarah collected 24 seashells and 17 starfish. How many items did she collect total?","system
At the beach, Sarah found 23 seashells and 17 starfish. How many items did she find total? Then, if she gave away 8 items, how many does she have left?","system
At the beach, Sarah found 23 seashells and 17 starfish. How many items did she find total? Then, if she gave away 8 items, how many does she have left?"
16,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","system
What is 3:00 PM on a written clock?","system
What is 3:00 PM on a written clock?","system
What is 3:00 PM on a written clock?","system
What is 3:00 PM on a written clock?"
17,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
At the beach, there were 15 seashells on the first day. On the second day, someone found 7 more seashells. How many seashells are there now?","system
At the beach, there were 15 seashells on the first day. On the second day, 7 more seashells were found. How many seashells are there now?","system
At the beach, Sarah collected 15 seashells on Monday and 20 more on Tuesday. How many seashells did she collect in total?","system
At the beach, there were 15 seashells on the first day. On the second day, 7 more seashells were found. How many seashells are there now?"
18,"Create one basic question about an equivalent ratio for an upper elementary student in the context of a sports day, using two types of objects. Use whole numbers only. Return one question only, written as plain text.","system
What is the equivalent ratio if there are 3 gold medals and 6 silver medals at the sports day?","system
What is the equivalent ratio if there are 3 gold medals and 6 silver medals at a sports day?","system
What is the equivalent ratio if there are 3 gold medals and 6 silver medals at a sports day?","system
What is the equivalent ratio if there are 3 gold medals and 6 silver medals at the sports day?"
19,"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text.","system
A farmer has 4 equally sized fields. If each field produces 5 apples, how many apples does the farmer have in total?","system
Each cow gives 5 liters of milk daily. How many liters of milk do 4 cows give together?","system
A farmer has 4 equal-sized fields. If each field produces 5 apples, how many apples does the farmer have in total?","system
A farmer has 4 equal-sized fields. Each field produces 5 apples. How many apples does the farmer have in total?"
20,"Create a single moderate question about the least common multiple for a young learner ready for a challenge in the context of a beach visit, with an LCM below 60. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
What is the least common multiple (LCM) of 12 and 18 that you can find while planning your next beach trip?","system
What is the least common multiple (LCM) of 12 and 18 that you might encounter while exploring at the beach?","system
What is the least common multiple (LCM) of 12 and 18 that you might encounter while exploring at the beach?","system
What is the smallest number that can be formed using three different digits from 1 to 9 and has a least common multiple (LCM) less than 60?"
21,"Write a single easy question comparing two quantities for an elementary student in the context of a science fair, with equal values as one possible result. Keep the question concise. Give only the question as plain text. Do not include the solution.","user
How many seeds does a pumpkin typically have compared to how many seeds does a sunflower typically have?","system
Which is heavier: 1 kilogram or 100 grams?","user
How many seeds does a sunflower typically have?","system
Which is heavier: 1 kilogram or 100 grams?"
22,"Write a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a school cafeteria, using facts from 2 to 5. Make the situation realistic. Use plain text only and provide no solution or explanation.","system
How many different ways can you serve 30 lunches equally among 6 students at the school cafeteria?","system
At the school cafeteria, there are 4 tables with an equal number of students sitting at each table. If there are a total of 36 students eating lunch, how many students are sitting at each table?","system
At the school cafeteria, there are 4 equal-sized trays of sandwiches. If each tray contains 6 sandwiches, how many sandwiches are there in total?","system
At the school cafeteria, there are 4 tables with an equal number of students sitting at each table. If there are 60 students eating lunch, how many students are sitting at each table?"
23,"Prepare a single basic question about sides and vertices for a young math learner in the context of a garden, using triangles and quadrilaterals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
What is the difference between a triangle and a quadrilateral?","system
What is the difference between a triangle and a quadrilateral?","system
What is the difference between a triangle's sides and its vertices?","system
What is the difference between a triangle and a quadrilateral?"
24,"Generate a single simple greater-than or less-than question for a primary school student in the context of a fruit shop, using numbers up to 20. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","system
Which is more: 15 apples or 18 oranges?","system
Which is more: 15 apples or 18 oranges?","system
Which is more: 15 apples or 18 oranges?","system
Which is more: 15 apples or 18 oranges?"
25,"Make one basic question about choosing the correct time for an elementary student in the context of a sports day, using half hours. Use whole numbers only. Use plain text only and provide no solution or explanation.","system
When should the elementary students be divided into groups for the relay race?","system
When should an elementary school student participate in the 100-meter dash event at the sports day?","system
When should an elementary student arrive at the starting line for their 100-meter dash?","system
What is the best time to start the relay race segment on the school's annual sports day?"
26,"Create a single moderate question about taking away for an elementary student in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","system
At the birthday party, there were 30 cupcakes on the table. If each child gets 6 cupcakes, how many children can be served?","system
At the birthday party, there were 23 cupcakes on the table. If we take away 17 cupcakes, how many cupcakes will be left?","system
At the birthday party, there were 30 cupcakes on the table. If we take away 12 cupcakes, how many cupcakes will be left?","system
At the birthday party, there were 30 cupcakes on the table. If they ate 12 cupcakes during the first hour, how many cupcakes are left?"
27,"Generate one slightly challenging challenging multi-step math word problem for a primary school student learning advanced topics in the context of a school cafeteria, without requiring a drawing. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
At the school cafeteria, there were 24 apples on the display table. After lunchtime, 15 more apples were added to the display. How many apples were there altogether if each apple costs $0.50?","system
At the school cafeteria, there are 4 different types of sandwiches: turkey, ham, chicken, and veggie. Each type has an equal number of slices available. If a student buys 3 slices of each type to make their lunch, how many total slices did they buy?","system
At the school cafeteria, there are 30 students who want to order lunch. If each student orders 2 sandwiches, how many total sandwiches will be ordered? Now, if the cafeteria has enough bread to make exactly 15 extra sandwiches, how many sandwiches will they have left after all students get their lunches?","system
At the school cafeteria, there were 25 students who ordered sandwiches. If each sandwich costs $3 and the total cost was $75, how many more students could have been served with the remaining money if each new student wanted to order two sandwiches?"
28,"Prepare one easy mixed-operation problem with addition and subtraction for an upper elementary student in the context of a community park, with no negative answer. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
A local community park has 15 benches. If 7 more benches were added to the park, how many benches would there be in total? Then, if 3 benches were removed from the park, how many benches would remain?","system
There is a community park where there are 15 benches available for visitors to sit on. If 7 more benches are added to accommodate more guests during special events, how many benches will be left after 4 people have used them?","system
At the community park, there are 15 swings and 8 slides. If 3 children use the swings and 2 more children join them, how many swings and slides are left?","system
At the community park, there are 15 swings and 8 slides. If 3 swings break down and need to be removed, how many swings and slides are left?"
29,"Make one moderate logic-based elementary math question for a young learner ready for a challenge in the context of a sports day, combining time and addition. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","system
What is 30 minutes after 2:45 PM?","system
What is 30 minutes after 2:45 PM?","system
How many minutes will it take to run 5 laps around the 400-meter track if each lap takes 12 minutes?","system
What is the total number of minutes if each athlete takes 5 minutes to complete their event and there are 8 athletes participating?"
30,"Create a single moderate short multiplication fact problem for a primary school student in the context of a farm, using four equal groups. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
There are 5 rows of corn stalks on the farm. Each row has 8 corn stalks. How many corn stalks are there in total?","system
There are 5 chickens on each of 4 farms. How many chickens are there in total?","system
How many apples are there if each group has 5 apples and there are 4 such groups?","system
A farmer has 4 equal-sized fields. Each field produces 5 apples. How many apples does the farmer have in total?"
31,"Write a single simple subtraction question with a missing number for an upper elementary student in the context of a school cafeteria, with simple borrowing. Keep the question concise. Output only the question in text form, without hints or an answer.","system
What is 34 - ___ = 21?","system
What is 15 - __ = 9?","system
What is 15 - __ = 9?","system
What is 15 - __ = 9?"
32,"Create one slightly challenging question about the greatest common divisor for a young learner ready for a challenge in the context of a birthday party, using numbers below 50. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
If Tommy and Lily both have 12 candies each, how many candies will they have left if they combine them and then share them equally among themselves?","system
At the end of the day at the birthday celebration, if you have 36 cupcakes and your friend has 24 cookies, what is the largest number that can be evenly divided into both the number of cupcakes and cookies?","system
If Sarah and Tom both have birthday cakes that they want to cut into pieces so that each gets an equal number of slices without any leftovers, what is the largest number of slices their cakes can be divided into if Sarah's cake has 48 slices and Tom's cake has 60 slices?","system
If Tommy and Lily are planning their birthday party and they want to divide all the cupcakes equally among themselves and their two friends without any leftovers, what is the largest number of cupcakes that can be evenly divided?"
33,"Make a single slightly challenging question about sides and vertices for a student learning basic mathematics in the context of a school library, about identifying a shape. Keep the question concise. Return one question only, written as plain text.","system
What is the difference between a side and a vertex in geometry?","system
What is the difference between the number of sides and the number of vertices in a polygon?","system
What is the difference between the number of sides and the number of vertices in a polygon?","system
What is the difference between a side and a vertex in a polygon?"
34,"Prepare a single easy question about rows and columns described with words for a young math learner in the context of a beach visit, using four equal groups. Make all needed information explicit. Return one question only, written as plain text.","system
How many cookies did each group receive if there were 12 cookies to be shared equally among 4 groups at the beach?","system
How many cookies did each group receive if there were 24 cookies to be shared equally among 4 groups at the beach?","system
How many cookies did each group receive if there were 24 cookies to be shared equally among 4 groups?","system
How many people were at each group if there were 24 people in total and they divided into 4 equal groups?"
35,"Create one easy question comparing two quantities for a young math learner in the context of a camping trip, with a short real-life situation. Avoid unnecessary details. Return one question only, written as plain text.","system
How many more calories does a campfire roast compared to a portable stove when both provide enough warmth and cooking?","system
How many more calories does a 10-pound sack of beans contain compared to a 5-pound sack?","system
How many more calories does a 10-pound sack of beans contain compared to a 5-pound sack?","system
How many more calories does a campfire roast compared to a grill when roasting 10 marshmallows each?"
36,"Write one slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a birthday party, using an equal-row situation. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
At Mrs. Johnson's birthday party, there were 24 cupcakes arranged equally on 3 plates. How many cupcakes did each plate have?","system
At Mrs. Johnson's birthday party, there were 12 cupcakes on each table and 8 tables in total. How many cupcakes were there altogether?","system
At the birthday party, there are 12 cupcakes and 8 cookies. If each row on the table has to have the same number of cupcakes and cookies, what is the greatest number of items that can be placed in each row?","system
At Mrs. Johnson's birthday party, there are 12 cupcakes arranged equally on each of 4 plates. How many cupcakes are on each plate?"
37,"Make a single slightly challenging question about two repeating events for a young learner ready for a challenge in the context of a playground, with an LCM below 60. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
Two children, Alex and Jamie, love to play catch at recess. They start playing catch every day after lunch. If they have been playing catch together for 30 days now, what is the smallest number of days that will pass before they both play catch on the same day again?","system
What is the least common multiple (LCM) of 12 and 18?","system
Two children, Alex and Jamie, love to play on the swings at recess. They both start swinging at the same time but swing back and forth every 15 seconds and 20 seconds respectively. How many times will they overlap in their swings within one minute?","system
Two friends, Alex and Jamie, decide to play catch every day at the park. They start on Monday. How many days will it be before they have played catch together again?"
38,"Make one slightly challenging question about finding a total and then what remains for an upper elementary student in the context of a bus trip, with no negative answer. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
What is the total cost if each child on a 30-person school bus pays $2 towards a field trip fund, and how much money will be left after paying everyone?","system
What is the total number of passengers on the bus if there were originally 50 people and during the journey, 25 more boarded while 10 got off?","system
What is the total number of passengers on the bus if there were initially 50 people boarding at the first stop and another 30 people boarding at the second stop? How many seats remain available after these stops?","system
What is the final fare if each child on a 30-person school bus pays $2 towards the total cost when the remaining adults split the same amount equally?"
39,"Generate one slightly challenging addition question with three addends for a young math learner in the context of a community park, using three small whole numbers. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","system
What is the sum of 15, 20, and 30?","system
What is the sum of 15, 23, and 47?","system
What is the sum of 15, 20, and 30?","system
What is the sum of 15, 20, and 30?"
40,"Create a single basic short multiplication fact problem for a primary school student in the context of a book fair, with a product below 100. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","system
**Problem:**
At the Book Fair, Sarah buys 4 books priced at $5 each. How much does she spend?","system
24 × 5 = ?","system
24 × 5 = ?","system
24 x 5 = ?"
41,"Create one basic subtraction word problem for an elementary student in the context of a school cafeteria, using two-digit numbers. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
At the school cafeteria, there were 45 apples and 23 oranges on display. How many fruits were there altogether?","system
At the school cafeteria, there were 45 apples and 23 bananas available. How many fruits were there altogether?","system
At the school cafeteria, there were 45 apples available for lunch. If 27 apples were eaten during lunchtime, how many apples are left?","system
At the school cafeteria, there were 56 apples available at lunchtime. If 27 apples were eaten during lunch, how many apples are left?"
42,"Prepare one basic question using repeated addition for a primary school student in the context of a birthday party, without showing an array. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
How many pieces of cake will each child get if there are 24 cakes and 8 children at the birthday party?","system
How many cupcakes will there be if we add 5 cupcakes to our cake stand every hour for 3 hours?","system
How many pieces of cake will each child get if you divide 12 cakes equally among 4 children?","system
How many cupcakes will there be if we add 5 cupcakes to the plate 4 times?"
43,"Create a single moderate mixed-skills mathematics challenge for a young learner ready for a challenge in the context of a school library, combining geometry and arithmetic. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
In the shape of a book spine, there is a 12-inch piece of paper that needs to be folded into a square box with no waste material left over. What will be the length of each side of this square box?","system
A rectangular bookshelf has 4 shelves evenly spaced along its length. If each shelf is 1 meter long and there's a total of 20 books on the first shelf, how many books will be placed on each of the remaining three shelves if they are to have equal numbers of books?","system
In the shape of a triangular bookshelf, each side measures 10 inches. If you need to place a decorative strip along all three sides, how many inches of the strip will be required?","system
In the shape of a triangular bookshelf, each side measures 10 inches. If you need to calculate how much space is available on one side for books, what would be the area? Remember, use your knowledge of geometry!"
44,"Prepare a single easy question about choosing the correct time for an upper elementary student in the context of a classroom, using whole hours. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","system
When should the teacher announce the start of recess?","system
When should the teacher announce the end of recess to ensure students can safely return to their classrooms?","system
When should the teacher announce recess to ensure students have enough time but not too much?","system
When should an upper elementary student begin their math class?"
45,"Generate a single slightly challenging elapsed-time word problem for a student learning basic mathematics in the context of a garden, using half hours. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
A gardener spent 15 minutes planting flowers and another 20 minutes watering plants. How many total half-hour intervals did the gardener spend on gardening tasks?","system
A gardener plants two types of flowers: roses and tulips. He spends 30 minutes planting roses and then takes a break for 15 minutes before spending another 45 minutes planting tulips. How many total hours did the gardener spend on planting?","system
A gardener spent 30 minutes planting flowers and another 15 minutes watering them after they were planted. How many total hours did the gardener spend on these tasks?","system
A gardener plans to plant flowers every 30 minutes starting from 9:00 AM until noon. How many times will she plant flowers?"
46,"Generate a single easy logic-based elementary math question for an upper elementary student in the context of a community park, combining addition and multiplication. Use one direct question at the end. Return only the question in plain text, with no answer or explanation.","system
At the community park, there are 4 picnic tables. Each table can seat 6 people. If each person needs to bring 2 sandwiches, how many sandwiches do they need in total?","system
At the community park, there are 4 picnic tables. Each table can seat 6 people. If each person needs to bring 2 sandwiches, how many sandwiches do they need in total?","system
At the community park, there are 4 picnic tables. Each table can seat 6 people. If each person needs 2 sandwiches to eat, how many sandwiches do they need in total?","system
At the community park, there are 4 picnic tables. Each table can seat 6 people. If each person needs 2 sandwiches to be fully fed, how many total sandwiches do you need to prepare?"
47,"Write one basic question about the least common multiple for a young learner ready for a challenge in the context of a school library, using two repeating time intervals. Make all needed information explicit. Output only the question in text form, without hints or an answer.","system
What is the least common multiple (LCM) of 15 minutes and 20 minutes?","system
What is the least common multiple (LCM) of 15 and 20 minutes?","system
What is the least common multiple (LCM) of 15 and 20 minutes?","system
What is the least common multiple (LCM) of 15 minutes and 20 minutes?"
48,"Prepare one easy question about making equal groups for an elementary student in the context of a sports day, using a simple sharing situation. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
How many ways can you share 12 water bottles equally among 4 teams?","system
How many ways can you share 12 apples equally among 4 friends?","system
How many ways can you share 12 water bottles equally among 4 teams during the school's sports day?","system
How many ways can you share 12 apples equally among 4 friends?"
49,"Write one easy missing-number equation for a young learner ready for a challenge in the context of a garden, using numbers below 50. Keep the question concise. Return one question only, written as plain text.","system
What is the next number in this sequence: 12, 17, 22, __?","system
What is the next number in this sequence: 12, 17, 22, __?","system
What is the next number in this sequence: 12, 17, 22, __?","system
What is the next number in this sequence: 12, 17, 22, __?"
50,"Make a single slightly challenging question about two repeating events for a primary school student learning advanced topics in the context of a sports day, using a school schedule situation. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the difference between running laps around the track and jumping over hurdles during a school sports day?","system
What is the difference between running laps around the track and jumping over hurdles during a school sports day?","system
What is the difference between running laps around the track and jumping over hurdles during the school sports day?","system
What is the difference between running laps around the track and jumping over hurdles during a school sports day?"
51,"Create a single easy question about finding a total and then what remains for a student learning basic mathematics in the context of a bus trip, with no negative answer. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","system
How do you calculate the remaining distance if you know the initial distance to your destination and how much time has passed?","system
How do you calculate the remaining distance if you know the initial distance traveled on a bus trip?","system
How do you calculate the remaining distance after reaching your destination on a bus trip?","system
How do you calculate the remaining distance if you know the initial distance and the distance covered?"
52,"Make a single slightly challenging question about hours and minutes for an elementary student in the context of a bus trip, using an afternoon activity. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","system
What is 30 minutes after 2:45 PM?","system
What time will it be 45 minutes after 2:15 PM?","system
What is 30 minutes after 2:15 PM?","system
What time will it be 30 minutes after lunchtime if lunch is at 1:45 PM?"
53,"Create one simple simple LCM word problem for an upper elementary student in the context of a fruit shop, using two small multiples. Keep the question concise. Output only the question in text form, without hints or an answer.","system
A fruit shop sells apples and oranges. If 3 bags of apples cost as much as 2 bags of oranges, how many bags of oranges would it take to equal the cost of 15 bags of apples?","system
A fruit shop sells apples and bananas. If 3 apples cost as much as 2 bananas, how many bananas would you get for $15 if you buy 4 apples?","system
A fruit shop sells apples and oranges. Apples cost $1 each and oranges cost $2 each. If a customer buys 3 apples and 4 oranges, how much does the total cost?","system
A fruit shop sells apples and oranges. If 3 bags of apples cost as much as 2 bags of oranges, how many bags of oranges would it take to equal the cost of 15 bags of apples?"
54,"Prepare a single basic short sum problem for a primary school student in the context of a book fair, using one missing addend. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","system
At the book fair, there were 15 books on display. If you bought 7 books, how many books did you have left?","system
At the book fair, there were 15 books on display. If you bought 7 books, how many books did you have left?","system
At the book fair, Sarah bought 5 books. She spent $20 on them. How much did each book cost?","system
At the book fair, there were 25 books on display. If you bought 10 books, how many books were left?"
55,"Create one basic short sum problem for a young math learner in the context of a school library, with no regrouping. Use whole numbers only. Use plain text only and provide no solution or explanation.","system
There are 12 books on a shelf. If you take away 3 books, how many books remain?","system
A student has 15 books on a shelf. She adds 7 more books to it. How many books are there now?","system
A bookshelf has 5 shelves. Each shelf holds 8 books. How many books are there on the bookshelf?","system
A bookshelf has 4 rows of books. Each row contains 12 books. How many books are there on the shelf?"
56,"Prepare one easy simple GCD word problem for an upper elementary student in the context of a bus trip, using an equal-packaging situation. Use whole numbers only. Return only the question in plain text, with no answer or explanation.","system
A school is planning a bus trip and needs to pack snacks equally into bags. If they have 48 apples and want to put them into bags so that each bag has the same number of apples without any leftovers, what's the largest number of apples that can go into each bag?","system
A school is planning a bus trip and needs to pack snacks equally among 5 buses. If each bus should have at least 120 snacks, what is the smallest number of snacks they need to ensure all conditions are met?","system
A bus can hold 45 passengers and needs to be filled equally from two different groups of people who each bring their own snacks. If there are 135 snacks in total, how many snacks will each group receive?","system
A school is planning a bus trip and needs to pack snacks equally into each bag. If there are 48 apples and 60 oranges that need to be packed into bags containing the same number of fruits without any leftovers, what is the largest number of fruits that can go into each bag?"
57,"Prepare one slightly challenging question about adding two quantities for a young math learner in the context of a book fair, with no regrouping. Use one direct question at the end. Output only the question in text form, without hints or an answer.","system
What is the sum of 24 and 37?","system
What is the sum of 45 and 37?","system
What is the sum of 45 and 37?","system
What is the sum of 45 and 37?"
58,"Generate one simple greater-than or less-than question for an upper elementary student in the context of a birthday party, using numbers up to 20. Avoid unnecessary details. Give only the question as plain text. Do not include the solution.","system
Which is more: 15 cookies or 18 cupcakes?","system
Which is more: 15 cookies or 18 cupcakes?","system
Which is more: 15 cookies or 18 cupcakes?","system
Which is more: 15 cookies or 18 cupcakes?"
59,"Prepare one basic question using one unknown value for an upper elementary student in the context of a sports day, using addition. Make the situation realistic. Give only the question as plain text. Do not include the solution.","system
What is the total number of points scored if Sarah scores 15 points and Tom scores 20 points?","system
What is the total number of points if Sarah scored 15 points and Tom scored 20 points?","system
What is the total number of points if Sarah scored 15 points and Tom scored 20 points?","system
What is the total number of points if Sarah scored 15 points and Tom scored 20 points?"
